samples,learner,feature,median_importance
512,LSR_RF,sex(,0.05
512,LSR_RF,Unrelated_column_one,0.02
512,LSR_RF,race(,0.03
512,LSR_RF,Age,0.29
512,LSR_RF,c_charge_degree_F,0.03
512,LSR_RF,c_charge_degree_M,0.04
512,LSR_RF,Priors_count,0.42
512,LSR_RF,Length_of_stay,0.11
512,RF_RF,sex(,0.03
512,RF_RF,Unrelated_column_one,0.04
512,RF_RF,race(,0.04
512,RF_RF,Age,0.36
512,RF_RF,c_charge_degree_F,0.02
512,RF_RF,c_charge_degree_M,0.02
512,RF_RF,Priors_count,0.26
512,RF_RF,Length_of_stay,0.22
512,SVC_RF,sex(,0.04
512,SVC_RF,Unrelated_column_one,0.02
512,SVC_RF,race(,0.02
512,SVC_RF,Age,0.26
512,SVC_RF,c_charge_degree_F,0.03
512,SVC_RF,c_charge_degree_M,0.03
512,SVC_RF,Priors_count,0.46
512,SVC_RF,Length_of_stay,0.12
512,Slack_RF,sex(,0.02
512,Slack_RF,Unrelated_column_one,0.02
512,Slack_RF,race(,0.54
512,Slack_RF,Age,0.19
512,Slack_RF,c_charge_degree_F,0.01
512,Slack_RF,c_charge_degree_M,0.01
512,Slack_RF,Priors_count,0.1
512,Slack_RF,Length_of_stay,0.11
640,LSR_RF,sex(,0.06
640,LSR_RF,Unrelated_column_one,0.02
640,LSR_RF,race(,0.02
640,LSR_RF,Age,0.28
640,LSR_RF,c_charge_degree_F,0.04
640,LSR_RF,c_charge_degree_M,0.04
640,LSR_RF,Priors_count,0.43
640,LSR_RF,Length_of_stay,0.11
640,RF_RF,sex(,0.03
640,RF_RF,Unrelated_column_one,0.04
640,RF_RF,race(,0.04
640,RF_RF,Age,0.37
640,RF_RF,c_charge_degree_F,0.02
640,RF_RF,c_charge_degree_M,0.02
640,RF_RF,Priors_count,0.27
640,RF_RF,Length_of_stay,0.22
640,SVC_RF,sex(,0.05
640,SVC_RF,Unrelated_column_one,0.02
640,SVC_RF,race(,0.02
640,SVC_RF,Age,0.27
640,SVC_RF,c_charge_degree_F,0.03
640,SVC_RF,c_charge_degree_M,0.03
640,SVC_RF,Priors_count,0.46
640,SVC_RF,Length_of_stay,0.12
640,Slack_RF,sex(,0.02
640,Slack_RF,Unrelated_column_one,0.02
640,Slack_RF,race(,0.55
640,Slack_RF,Age,0.18
640,Slack_RF,c_charge_degree_F,0.01
640,Slack_RF,c_charge_degree_M,0.01
640,Slack_RF,Priors_count,0.1
640,Slack_RF,Length_of_stay,0.11
768,LSR_RF,sex(,0.05
768,LSR_RF,Unrelated_column_one,0.02
768,LSR_RF,race(,0.02
768,LSR_RF,Age,0.29
768,LSR_RF,c_charge_degree_F,0.04
768,LSR_RF,c_charge_degree_M,0.04
768,LSR_RF,Priors_count,0.44
768,LSR_RF,Length_of_stay,0.11
768,RF_RF,sex(,0.03
768,RF_RF,Unrelated_column_one,0.04
768,RF_RF,race(,0.04
768,RF_RF,Age,0.37
768,RF_RF,c_charge_degree_F,0.01
768,RF_RF,c_charge_degree_M,0.02
768,RF_RF,Priors_count,0.26
768,RF_RF,Length_of_stay,0.22
768,SVC_RF,sex(,0.04
768,SVC_RF,Unrelated_column_one,0.02
768,SVC_RF,race(,0.02
768,SVC_RF,Age,0.27
768,SVC_RF,c_charge_degree_F,0.03
768,SVC_RF,c_charge_degree_M,0.03
768,SVC_RF,Priors_count,0.46
768,SVC_RF,Length_of_stay,0.12
768,Slack_RF,sex(,0.02
768,Slack_RF,Unrelated_column_one,0.02
768,Slack_RF,race(,0.56
768,Slack_RF,Age,0.18
768,Slack_RF,c_charge_degree_F,0.01
768,Slack_RF,c_charge_degree_M,0.01
768,Slack_RF,Priors_count,0.1
768,Slack_RF,Length_of_stay,0.11
896,LSR_RF,sex(,0.05
896,LSR_RF,Unrelated_column_one,0.02
896,LSR_RF,race(,0.02
896,LSR_RF,Age,0.29
896,LSR_RF,c_charge_degree_F,0.04
896,LSR_RF,c_charge_degree_M,0.04
896,LSR_RF,Priors_count,0.44
896,LSR_RF,Length_of_stay,0.11
896,RF_RF,sex(,0.03
896,RF_RF,Unrelated_column_one,0.04
896,RF_RF,race(,0.04
896,RF_RF,Age,0.37
896,RF_RF,c_charge_degree_F,0.02
896,RF_RF,c_charge_degree_M,0.02
896,RF_RF,Priors_count,0.26
896,RF_RF,Length_of_stay,0.23
896,SVC_RF,sex(,0.05
896,SVC_RF,Unrelated_column_one,0.02
896,SVC_RF,race(,0.02
896,SVC_RF,Age,0.26
896,SVC_RF,c_charge_degree_F,0.03
896,SVC_RF,c_charge_degree_M,0.03
896,SVC_RF,Priors_count,0.47
896,SVC_RF,Length_of_stay,0.12
896,Slack_RF,sex(,0.02
896,Slack_RF,Unrelated_column_one,0.02
896,Slack_RF,race(,0.56
896,Slack_RF,Age,0.18
896,Slack_RF,c_charge_degree_F,0.01
896,Slack_RF,c_charge_degree_M,0.01
896,Slack_RF,Priors_count,0.1
896,Slack_RF,Length_of_stay,0.11
1024,LSR_RF,sex(,0.05
1024,LSR_RF,Unrelated_column_one,0.01
1024,LSR_RF,race(,0.02
1024,LSR_RF,Age,0.3
1024,LSR_RF,c_charge_degree_F,0.04
1024,LSR_RF,c_charge_degree_M,0.04
1024,LSR_RF,Priors_count,0.43
1024,LSR_RF,Length_of_stay,0.11
1024,RF_RF,sex(,0.03
1024,RF_RF,Unrelated_column_one,0.04
1024,RF_RF,race(,0.04
