samples,learner,feature,median_importance
512,RF_RF,PAY_AMT1,0.05
512,RF_RF,PAY_AMT6,0.04
512,RF_RF,AGE,0.05
512,RF_RF,EDUCATION,0.02
512,RF_RF,BILL_AMT3,0.04
512,RF_RF,PAY_AMT2,0.05
512,RF_RF,PAY_AMT4,0.04
512,RF_RF,PAY_2,0.05
512,RF_RF,MARRIAGE,0.01
512,RF_RF,BILL_AMT6,0.04
512,RF_RF,PAY_0,0.09
512,RF_RF,PAY_5,0.02
512,RF_RF,BILL_AMT2,0.05
512,RF_RF,Unrelated_column_one,0.01
512,RF_RF,PAY_AMT5,0.04
512,RF_RF,PAY_AMT3,0.04
512,RF_RF,ID,0.06
512,RF_RF,PAY_6,0.02
512,RF_RF,BILL_AMT4,0.04
512,RF_RF,BILL_AMT5,0.04
512,RF_RF,PAY_4,0.02
512,RF_RF,LIMIT_BAL,0.05
512,RF_RF,PAY_3,0.03
512,RF_RF,SEX(,0.01
512,RF_RF,BILL_AMT1,0.05
512,Slack_RF,PAY_AMT1,0.03
512,Slack_RF,PAY_AMT6,0.03
512,Slack_RF,AGE,0.04
512,Slack_RF,EDUCATION,0.01
512,Slack_RF,BILL_AMT3,0.03
512,Slack_RF,PAY_AMT2,0.03
512,Slack_RF,PAY_AMT4,0.03
512,Slack_RF,PAY_2,0.01
512,Slack_RF,MARRIAGE,0.01
512,Slack_RF,BILL_AMT6,0.03
512,Slack_RF,PAY_0,0.01
512,Slack_RF,PAY_5,0.01
512,Slack_RF,BILL_AMT2,0.03
512,Slack_RF,Unrelated_column_one,0.01
512,Slack_RF,PAY_AMT5,0.03
512,Slack_RF,PAY_AMT3,0.03
512,Slack_RF,ID,0.05
512,Slack_RF,PAY_6,0.01
512,Slack_RF,BILL_AMT4,0.03
512,Slack_RF,BILL_AMT5,0.03
512,Slack_RF,PAY_4,0.01
512,Slack_RF,LIMIT_BAL,0.03
512,Slack_RF,SEX(,0.46
512,Slack_RF,PAY_3,0.01
512,Slack_RF,BILL_AMT1,0.03
768,RF_RF,PAY_AMT1,0.05
768,RF_RF,PAY_AMT6,0.04
768,RF_RF,AGE,0.06
768,RF_RF,EDUCATION,0.02
768,RF_RF,BILL_AMT3,0.05
