samples,learner,feature,median_importance
64,LSR_RF,Walc,0.02
64,LSR_RF,romantic_0,0.0
64,LSR_RF,paid_1,0.01
64,LSR_RF,address_U,0.01
64,LSR_RF,internet_0,0.01
64,LSR_RF,activities_1,0.01
64,LSR_RF,pstatus_T,0.0
64,LSR_RF,pstatus_A,0.0
64,LSR_RF,guardian_mother,0.01
64,LSR_RF,Famrel,0.01
64,LSR_RF,G1,0.22
64,LSR_RF,activities_0,0.0
64,LSR_RF,fjob_other,0.01
64,LSR_RF,reason_reputation,0.01
64,LSR_RF,school_GP,0.0
64,LSR_RF,guardian_other,0.0
64,LSR_RF,famsup_0,0.01
64,LSR_RF,mjob_teacher,0.0
64,LSR_RF,Traveltime,0.01
64,LSR_RF,fjob_at_home,0.0
64,LSR_RF,Health,0.02
64,LSR_RF,Unrelated_column_one,0.01
64,LSR_RF,Failures,0.02
64,LSR_RF,internet_1,0.01
64,LSR_RF,higher_0,0.0
64,LSR_RF,schoolsup_1,0.01
64,LSR_RF,mjob_services,0.0
64,LSR_RF,mjob_at_home,0.01
64,LSR_RF,Freetime,0.02
64,LSR_RF,Studytime,0.02
64,LSR_RF,nursery_1,0.01
64,LSR_RF,fjob_health,0.0
64,LSR_RF,Medu,0.02
64,LSR_RF,famsize_GT3,0.01
64,LSR_RF,mjob_health,0.0
64,LSR_RF,reason_home,0.01
64,LSR_RF,higher_1,0.0
64,LSR_RF,Age,0.01
64,LSR_RF,fjob_teacher,0.0
64,LSR_RF,schoolsup_0,0.01
64,LSR_RF,Absences,0.02
64,LSR_RF,reason_other,0.0
64,LSR_RF,mjob_other,0.01
64,LSR_RF,romantic_1,0.0
64,LSR_RF,reason_course,0.01
64,LSR_RF,paid_0,0.0
64,LSR_RF,G2,0.24
64,LSR_RF,Goout,0.01
64,LSR_RF,school_MS,0.01
64,LSR_RF,guardian_father,0.0
64,LSR_RF,sex(,0.01
64,LSR_RF,fjob_services,0.01
64,LSR_RF,famsize_LE3,0.0
64,LSR_RF,famsup_1,0.0
64,LSR_RF,Dalc,0.02
64,LSR_RF,Fedu,0.02
64,LSR_RF,address_R,0.01
64,LSR_RF,nursery_0,0.01
64,RF_RF,romantic_0,0.0
64,RF_RF,Walc,0.02
64,RF_RF,paid_1,0.0
64,RF_RF,address_U,0.01
64,RF_RF,internet_0,0.01
64,RF_RF,activities_1,0.0
64,RF_RF,pstatus_T,0.01
64,RF_RF,pstatus_A,0.01
