treatment,model_num,ranking,feature,median_occurances_pct
0,LSR,1,Priors_count,1.0
0,LSR,2,Age,1.0
0,LSR,3,sex(,1.0
0,LSR,3,c_charge_degree_F,0.0
0,LSR_RF,1,Age,0.0
0,LSR_RF,1,c_charge_degree_M,0.0
0,LSR_RF,1,Priors_count,0.92
0,LSR_RF,1,Length_of_stay,0.01
0,LSR_RF,1,c_charge_degree_F,0.07
0,LSR_RF,2,Age,0.63
0,LSR_RF,2,c_charge_degree_M,0.04
0,LSR_RF,2,sex(,0.02
0,LSR_RF,2,Priors_count,0.02
0,LSR_RF,2,Length_of_stay,0.18
0,LSR_RF,2,c_charge_degree_F,0.12
0,LSR_RF,3,Age,0.17
0,LSR_RF,3,c_charge_degree_M,0.12
0,LSR_RF,3,sex(,0.03
0,LSR_RF,3,race(,0.0
0,LSR_RF,3,Priors_count,0.01
0,LSR_RF,3,Length_of_stay,0.3
0,LSR_RF,3,c_charge_degree_F,0.36
0,RF,1,Age,0.49
0,RF,1,c_charge_degree_M,0.01
0,RF,1,Priors_count,0.49
0,RF,1,Length_of_stay,0.01
0,RF,1,c_charge_degree_F,0.01
0,RF,2,Age,0.42
0,RF,2,c_charge_degree_M,0.03
0,RF,2,race(,0.0
0,RF,2,Priors_count,0.45
0,RF,2,Length_of_stay,0.06
0,RF,2,c_charge_degree_F,0.04
0,RF,3,Age,0.06
0,RF,3,c_charge_degree_M,0.06
0,RF,3,sex(,0.01
0,RF,3,Unrelated_column_one,0.0
0,RF,3,race(,0.01
0,RF,3,Priors_count,0.02
0,RF,3,Length_of_stay,0.76
0,RF,3,c_charge_degree_F,0.07
0,RF_RF,1,Age,0.48
0,RF_RF,1,c_charge_degree_M,0.02
0,RF_RF,1,Priors_count,0.14
0,RF_RF,1,Length_of_stay,0.29
0,RF_RF,1,c_charge_degree_F,0.06
0,RF_RF,2,Age,0.23
0,RF_RF,2,c_charge_degree_M,0.08
0,RF_RF,2,Priors_count,0.27
0,RF_RF,2,Length_of_stay,0.36
0,RF_RF,2,c_charge_degree_F,0.06
0,RF_RF,3,Age,0.17
0,RF_RF,3,c_charge_degree_M,0.1
0,RF_RF,3,sex(,0.01
0,RF_RF,3,Unrelated_column_one,0.0
0,RF_RF,3,race(,0.0
0,RF_RF,3,Priors_count,0.32
0,RF_RF,3,Length_of_stay,0.19
0,RF_RF,3,c_charge_degree_F,0.2
0,SVC_RF,1,Length_of_stay,0.01
0,SVC_RF,1,Age,0.02
0,SVC_RF,1,c_charge_degree_F,0.09
0,SVC_RF,1,Priors_count,0.89
0,SVC_RF,2,Age,0.66
0,SVC_RF,2,c_charge_degree_M,0.01
0,SVC_RF,2,sex(,0.0
0,SVC_RF,2,Priors_count,0.05
0,SVC_RF,2,Length_of_stay,0.14
0,SVC_RF,2,c_charge_degree_F,0.14
0,SVC_RF,3,Age,0.25
0,SVC_RF,3,c_charge_degree_M,0.02
0,SVC_RF,3,sex(,0.01
0,SVC_RF,3,race(,0.0
0,SVC_RF,3,Priors_count,0.01
0,SVC_RF,3,Length_of_stay,0.32
0,SVC_RF,3,c_charge_degree_F,0.39
0,Slack,1,Unrelated_column_one,1.0
0,Slack,2,Age,0.06
0,Slack,2,c_charge_degree_M,0.36
