ranking,feature,occurances_pct,learner,biased_col,runtime,treatment,samples,rep
1,Age,0.568,RF,race(,115.01144075393677,100,4937,1
1,Length_of_stay,0.078,RF,race(,115.01144170761108,100,4937,1
1,Priors_count,0.327,RF,race(,115.01144218444824,100,4937,1
1,c_charge_degree_F,0.003,RF,race(,115.01144242286682,100,4937,1
1,c_charge_degree_M,0.023,RF,race(,115.01144313812256,100,4937,1
2,Age,0.21,RF,race(,115.01144361495972,100,4937,1
2,Length_of_stay,0.157,RF,race(,115.01144409179688,100,4937,1
2,Priors_count,0.593,RF,race(,115.01144433021545,100,4937,1
2,c_charge_degree_F,0.02,RF,race(,115.01144504547119,100,4937,1
2,c_charge_degree_M,0.019,RF,race(,115.01144552230835,100,4937,1
2,race(,0.001,RF,race(,115.01144576072693,100,4937,1
3,Age,0.143,RF,race(,115.01144623756409,100,4937,1
3,Length_of_stay,0.674,RF,race(,115.01144647598267,100,4937,1
3,Priors_count,0.05,RF,race(,115.01144671440125,100,4937,1
3,Unrelated_column_one,0.002,RF,race(,115.0114471912384,100,4937,1
3,c_charge_degree_F,0.036,RF,race(,115.01144766807556,100,4937,1
3,c_charge_degree_M,0.083,RF,race(,115.01144790649414,100,4937,1
3,race(,0.009,RF,race(,115.01144862174988,100,4937,1
3,sex(,0.002,RF,race(,115.01144886016846,100,4937,1
1,Unrelated_column_one,1.0,Slack,race(,187.49172639846802,100,4937,1
2,Age,0.059,Slack,race(,187.49172735214233,100,4937,1
2,Length_of_stay,0.073,Slack,race(,187.4917275905609,100,4937,1
2,Priors_count,0.074,Slack,race(,187.49172806739807,100,4937,1
2,c_charge_degree_F,0.351,Slack,race(,187.49172854423523,100,4937,1
2,c_charge_degree_M,0.334,Slack,race(,187.4917290210724,100,4937,1
2,race(,0.058,Slack,race(,187.49172925949097,100,4937,1
2,sex(,0.051,Slack,race(,187.4917299747467,100,4937,1
3,Age,0.123,Slack,race(,187.49173045158386,100,4937,1
3,Length_of_stay,0.124,Slack,race(,187.49173092842102,100,4937,1
3,Priors_count,0.126,Slack,race(,187.4917311668396,100,4937,1
3,c_charge_degree_F,0.187,Slack,race(,187.49173283576965,100,4937,1
3,c_charge_degree_M,0.194,Slack,race(,187.4917335510254,100,4937,1
3,race(,0.134,Slack,race(,187.49173402786255,100,4937,1
3,sex(,0.112,Slack,race(,187.4917345046997,100,4937,1
1,Age,0.338,RF,race(,206.28680634498596,2,256,1
1,Length_of_stay,0.327,RF,race(,206.2868070602417,2,256,1
