ranking,feature,occurances_pct,learner,biased_col,runtime,treatment,samples,rep
1,ACTDTY,0.001,RF,race(,91.25750255584717,100,3896,1
1,ACTLIM,0.18,RF,race(,91.25750350952148,100,3896,1
1,ADSMOK42,0.024,RF,race(,91.25750374794006,100,3896,1
1,AGE,0.192,RF,race(,91.2575044631958,100,3896,1
1,ARTHTYPE,0.083,RF,race(,91.25750494003296,100,3896,1
1,CHDDX,0.002,RF,race(,91.25750517845154,100,3896,1
1,COGLIM,0.001,RF,race(,91.25750541687012,100,3896,1
1,EMPST,0.001,RF,race(,91.25750589370728,100,3896,1
1,INSCOV,0.024,RF,race(,91.25750613212585,100,3896,1
1,JTPAIN,0.001,RF,race(,91.25750660896301,100,3896,1
1,K6SUM42,0.057,RF,race(,91.25750708580017,100,3896,1
1,MARRY,0.002,RF,race(,91.25750732421875,100,3896,1
1,MCS42,0.002,RF,race(,91.25750803947449,100,3896,1
1,MNHLTH,0.018,RF,race(,91.25750827789307,100,3896,1
1,PCS42,0.119,RF,race(,91.25750851631165,100,3896,1
1,PERWT15F,0.061,RF,race(,91.2575089931488,100,3896,1
1,PHQ242,0.04,RF,race(,91.25750923156738,100,3896,1
1,REGION,0.001,RF,race(,91.25750970840454,100,3896,1
1,RTHLTH,0.051,RF,race(,91.25750994682312,100,3896,1
1,WLKLIM,0.14,RF,race(,91.2575101852417,100,3896,1
2,ACTDTY,0.011,RF,race(,91.25751066207886,100,3896,1
2,ACTLIM,0.103,RF,race(,91.25751090049744,100,3896,1
2,ADSMOK42,0.067,RF,race(,91.25751161575317,100,3896,1
2,AGE,0.085,RF,race(,91.25751185417175,100,3896,1
2,ARTHTYPE,0.178,RF,race(,91.25751233100891,100,3896,1
2,CANCERDX,0.002,RF,race(,91.25751280784607,100,3896,1
2,CHDDX,0.005,RF,race(,91.25751328468323,100,3896,1
2,CHOLDX,0.002,RF,race(,91.2575135231018,100,3896,1
2,COGLIM,0.007,RF,race(,91.25751423835754,100,3896,1
2,EMPST,0.001,RF,race(,91.25751447677612,100,3896,1
2,INSCOV,0.072,RF,race(,91.25751519203186,100,3896,1
2,JTPAIN,0.003,RF,race(,91.25751543045044,100,3896,1
2,K6SUM42,0.082,RF,race(,91.25751566886902,100,3896,1
2,MARRY,0.007,RF,race(,91.25751614570618,100,3896,1
2,MCS42,0.012,RF,race(,91.25751638412476,100,3896,1
2,MNHLTH,0.012,RF,race(,91.25751686096191,100,3896,1
2,OHRTDX,0.001,RF,race(,91.2575170993805,100,3896,1
2,PCS42,0.111,RF,race(,91.25751733779907,100,3896,1
2,PERWT15F,0.064,RF,race(,91.25751781463623,100,3896,1
2,PHQ242,0.098,RF,race(,91.25751805305481,100,3896,1
2,REGION,0.001,RF,race(,91.25751876831055,100,3896,1
2,RTHLTH,0.041,RF,race(,91.25751900672913,100,3896,1
2,SOCLIM,0.001,RF,race(,91.2575192451477,100,3896,1
2,WLKLIM,0.034,RF,race(,91.25751972198486,100,3896,1
3,ACTDTY,0.011,RF,race(,91.25751996040344,100,3896,1
3,ACTLIM,0.042,RF,race(,91.25752019882202,100,3896,1
3,ADSMOK42,0.082,RF,race(,91.25752067565918,100,3896,1
3,AGE,0.047,RF,race(,91.25752091407776,100,3896,1
3,ARTHTYPE,0.123,RF,race(,91.25752139091492,100,3896,1
3,CANCERDX,0.022,RF,race(,91.25752186775208,100,3896,1
3,CHDDX,0.007,RF,race(,91.25752210617065,100,3896,1
3,CHOLDX,0.001,RF,race(,91.25752258300781,100,3896,1
3,COGLIM,0.008,RF,race(,91.25752282142639,100,3896,1
3,EMPST,0.005,RF,race(,91.25752305984497,100,3896,1
3,INSCOV,0.076,RF,race(,91.25752353668213,100,3896,1
3,JTPAIN,0.018,RF,race(,91.25752568244934,100,3896,1
3,K6SUM42,0.115,RF,race(,91.2575261592865,100,3896,1
3,MARRY,0.008,RF,race(,91.25752639770508,100,3896,1
3,MCS42,0.044,RF,race(,91.25752687454224,100,3896,1
3,MIDX,0.001,RF,race(,91.2575273513794,100,3896,1
3,MNHLTH,0.013,RF,race(,91.25752758979797,100,3896,1
3,PCS42,0.117,RF,race(,91.25752806663513,100,3896,1
3,PERWT15F,0.047,RF,race(,91.25752830505371,100,3896,1
3,PHQ242,0.129,RF,race(,91.25752902030945,100,3896,1
