recall+,precision+,accuracy+,F1_Score+,AOD-,EOD-,SPD-,FA0-,FA1-,DI-,flip_rate,feature,sample_size,model_num,smoted
0.49,0.49,1.0,0.66,-0.1,-0.19,0.19,0.28,0.32,0.51,0.0,Age(,11162,0,0
0.58,0.58,1.0,0.73,-0.05,-0.1,0.1,0.15,0.32,0.42,0.1,Age(,11162,0,1
0.51,0.51,1.0,0.68,-0.1,-0.2,0.2,0.28,0.29,0.49,0.0,Age(,11162,0,0
0.6,0.6,1.0,0.75,-0.06,-0.11,0.11,0.15,0.29,0.4,0.08,Age(,11162,0,1
0.47,0.47,1.0,0.64,-0.13,-0.26,0.26,0.35,0.27,0.53,0.0,Age(,11162,0,0
0.63,0.63,1.0,0.77,-0.06,-0.11,0.11,0.15,0.27,0.37,0.09,Age(,11162,0,1
0.48,0.48,1.0,0.65,-0.11,-0.22,0.22,0.32,0.3,0.52,0.0,Age(,11162,0,0
0.6,0.6,1.0,0.75,-0.05,-0.1,0.1,0.15,0.3,0.4,0.1,Age(,11162,0,1
0.48,0.48,1.0,0.65,-0.09,-0.18,0.18,0.28,0.33,0.52,0.0,Age(,11162,0,0
0.6,0.6,1.0,0.75,0.0,-0.0,0.0,0.0,0.4,0.4,0.11,Age(,11162,0,1
0.47,0.47,1.0,0.64,-0.18,-0.36,0.36,0.44,0.17,0.53,0.0,Age(,11162,0,0
0.56,0.56,1.0,0.72,-0.14,-0.27,0.27,0.33,0.17,0.44,0.1,Age(,11162,0,1
0.51,0.51,1.0,0.68,-0.11,-0.22,0.22,0.3,0.27,0.49,0.0,Age(,11162,0,0
0.61,0.61,1.0,0.76,-0.08,-0.16,0.16,0.21,0.23,0.39,0.09,Age(,11162,0,1
0.52,0.52,1.0,0.68,-0.24,-0.48,0.48,0.48,0.0,0.48,0.0,Age(,11162,0,0
0.61,0.61,1.0,0.76,-0.2,-0.39,0.39,0.39,0.0,0.39,0.09,Age(,11162,0,1
0.46,0.46,1.0,0.63,-0.16,-0.31,0.31,0.4,0.23,0.54,0.0,Age(,11162,0,0
0.57,0.57,1.0,0.73,-0.1,-0.2,0.2,0.26,0.23,0.43,0.09,Age(,11162,0,1
0.47,0.47,1.0,0.64,-0.23,-0.46,0.46,0.49,0.07,0.53,0.0,Age(,11162,0,0
0.56,0.56,1.0,0.72,-0.16,-0.31,0.31,0.36,0.13,0.44,0.09,Age(,11162,0,1
0.0,0.0,1.0,0.0,-0.46,-0.93,0.93,0.99,0.07,1.0,0.0,Age(,640,5,0
1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Age(,640,5,1
0.0,0.0,1.0,0.0,-0.5,-1.0,1.0,1.0,0.0,1.0,0.0,Age(,640,5,0
1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Age(,640,5,1
0.0,0.0,1.0,0.0,-0.46,-0.93,0.93,0.99,0.07,1.0,0.0,Age(,640,5,0
1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Age(,640,5,1
0.0,0.0,1.0,0.0,-0.5,-1.0,1.0,1.0,0.0,1.0,0.0,Age(,640,5,0
0.99,0.99,1.0,0.99,-0.0,-0.01,0.01,0.01,0.0,0.01,0.01,Age(,640,5,1
0.0,0.0,1.0,0.0,-0.46,-0.93,0.93,1.0,0.07,1.0,0.0,Age(,640,5,0
1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Age(,640,5,1
0.01,0.01,1.0,0.02,-0.5,-0.99,0.99,0.99,0.0,0.99,0.0,Age(,640,5,0
1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Age(,640,5,1
0.0,0.0,1.0,0.0,-0.5,-1.0,1.0,1.0,0.0,1.0,0.0,Age(,640,5,0
1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Age(,640,5,1
0.01,0.01,1.0,0.02,-0.46,-0.92,0.92,0.99,0.07,0.99,0.0,Age(,640,5,0
1.0,1.0,1.0,1.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,Age(,640,5,1
0.0,0.0,1.0,0.0,-0.43,-0.86,0.86,0.99,0.13,1.0,0.0,Age(,640,5,0
1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Age(,640,5,1
0.01,0.01,1.0,0.02,-0.46,-0.92,0.92,0.99,0.07,0.99,0.0,Age(,640,5,0
0.99,0.99,1.0,0.99,-0.0,-0.01,0.01,0.01,0.0,0.01,0.01,Age(,640,5,1
0.02,0.02,1.0,0.04,-0.39,-0.78,0.78,0.97,0.2,0.98,0.0,Age(,896,7,0
0.93,0.93,1.0,0.96,0.03,0.06,0.06,-0.07,0.13,0.07,0.04,Age(,896,7,1
0.02,0.02,1.0,0.04,-0.39,-0.78,0.78,0.97,0.2,0.98,0.0,Age(,896,7,0
0.92,0.92,1.0,0.96,-0.0,-0.01,0.01,0.01,0.07,0.08,0.05,Age(,896,7,1
0.02,0.02,1.0,0.04,-0.39,-0.78,0.78,0.97,0.2,0.98,0.0,Age(,896,7,0
0.94,0.94,1.0,0.97,0.0,0.01,0.01,-0.01,0.07,0.06,0.03,Age(,896,7,1
0.02,0.02,1.0,0.04,-0.39,-0.78,0.78,0.97,0.2,0.98,0.0,Age(,896,7,0
0.89,0.89,1.0,0.94,0.11,0.22,0.22,-0.34,0.33,0.11,0.04,Age(,896,7,1
0.01,0.01,1.0,0.02,-0.36,-0.72,0.72,0.98,0.27,0.99,0.0,Age(,896,7,0
0.89,0.89,1.0,0.94,0.01,0.02,0.02,-0.03,0.13,0.11,0.04,Age(,896,7,1
0.01,0.01,1.0,0.02,-0.4,-0.79,0.79,0.98,0.2,0.99,0.0,Age(,896,7,0
0.92,0.92,1.0,0.96,0.02,0.05,0.05,-0.06,0.13,0.08,0.05,Age(,896,7,1
0.02,0.02,1.0,0.04,-0.36,-0.71,0.71,0.97,0.27,0.98,0.0,Age(,896,7,0
0.93,0.93,1.0,0.96,0.1,0.2,0.2,-0.27,0.27,0.07,0.04,Age(,896,7,1
0.02,0.02,1.0,0.04,-0.39,-0.78,0.78,0.98,0.2,0.98,0.0,Age(,896,7,0
0.98,0.98,1.0,0.99,-0.01,-0.02,0.02,0.02,0.0,0.02,0.04,Age(,896,7,1
0.02,0.02,1.0,0.04,-0.39,-0.78,0.78,0.98,0.2,0.98,0.0,Age(,896,7,0
0.88,0.88,1.0,0.94,0.08,0.15,0.15,-0.2,0.27,0.12,0.05,Age(,896,7,1
0.01,0.01,1.0,0.02,-0.36,-0.72,0.72,0.98,0.27,0.99,0.0,Age(,896,7,0
0.94,0.94,1.0,0.97,0.0,0.01,0.01,-0.01,0.07,0.06,0.05,Age(,896,7,1
