recall+,precision+,accuracy+,F1_Score+,AOD-,EOD-,SPD-,FA0-,FA1-,DI-,flip_rate,feature,sample_size,model_num,smoted
0.0,0.25,0.0,0.0,-0.16,0.0,0.5,0.5,1.0,0.0,0.0,Racepctwhite(,123,0,0
0.0,0.25,0.0,0.0,-0.16,0.0,0.5,0.5,1.0,0.0,0.12,Racepctwhite(,123,0,1
0.0,0.5,0.0,0.0,-0.5,-1.0,0.3,0.38,0.0,0.0,0.0,Racepctwhite(,123,0,0
0.0,0.5,0.0,0.0,-0.34,-0.67,0.1,0.17,0.0,0.33,0.08,Racepctwhite(,123,0,1
0.0,0.25,0.0,0.0,-1.0,-1.0,1.0,1.0,1.0,0.0,0.0,Racepctwhite(,123,0,0
0.0,0.25,0.0,0.0,-1.0,-1.0,1.0,1.0,1.0,0.0,0.04,Racepctwhite(,123,0,1
0.0,0.0,0.0,0.0,-0.5,0.0,1.0,1.0,1.0,0.0,0.0,Racepctwhite(,123,0,0
0.0,0.0,0.0,0.0,-0.5,0.0,1.0,1.0,1.0,0.0,0.0,Racepctwhite(,123,0,1
0.0,0.75,0.0,0.0,0.0,0.0,0.0,,1.0,1.0,0.0,Racepctwhite(,123,0,0
0.0,0.75,0.0,0.0,0.0,0.0,0.0,,1.0,1.0,0.0,Racepctwhite(,123,0,1
0.5,0.67,1.0,0.67,0.25,0.5,,,0.5,0.0,0.0,Racepctwhite(,123,0,0
0.5,0.67,1.0,0.67,0.25,0.5,,,0.5,0.0,0.12,Racepctwhite(,123,0,1
0.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,Racepctwhite(,123,0,0
0.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.08,Racepctwhite(,123,0,1
0.0,0.0,0.0,0.0,-1.0,-1.0,1.0,1.0,1.0,0.0,0.0,Racepctwhite(,123,0,0
0.0,0.0,0.0,0.0,-1.0,-1.0,1.0,1.0,1.0,0.0,0.04,Racepctwhite(,123,0,1
0.5,0.5,1.0,0.67,-0.75,-0.5,0.5,0.5,0.5,0.0,0.0,Racepctwhite(,123,0,0
