ranking,feature,occurances_pct,model_num,rep
1,Balance,0.055,RF,1
1,Duration,0.888,RF,1
1,default_no,0.035,RF,1
1,default_yes,0.017,RF,1
1,housing_no,0.001,RF,1
1,housing_yes,0.001,RF,1
1,loan_no,0.0,RF,1
1,loan_yes,0.003,RF,1
2,Balance,0.514,RF,1
2,Day,0.013,RF,1
2,Duration,0.018,RF,1
2,Pdays,0.121,RF,1
2,Previous,0.002,RF,1
2,default_no,0.138,RF,1
2,default_yes,0.103,RF,1
2,housing_no,0.039,RF,1
2,housing_yes,0.045,RF,1
2,loan_no,0.001,RF,1
2,loan_yes,0.008,RF,1
3,Balance,0.119,RF,1
3,Campaign,0.001,RF,1
3,Day,0.035,RF,1
3,Duration,0.011,RF,1
3,Pdays,0.186,RF,1
3,Previous,0.017,RF,1
3,default_no,0.209,RF,1
3,default_yes,0.197,RF,1
3,housing_no,0.095,RF,1
3,housing_yes,0.075,RF,1
3,loan_no,0.036,RF,1
3,loan_yes,0.018,RF,1
1,Duration,0.98,LSR,1
1,default_yes,0.0,LSR,1
1,housing_yes,0.02,LSR,1
2,default_yes,0.006,LSR,1
2,housing_no,0.01,LSR,1
2,housing_yes,0.976,LSR,1
2,loan_yes,0.007,LSR,1
3,Pdays,0.0,LSR,1
3,default_no,0.002,LSR,1
3,default_yes,0.025,LSR,1
3,housing_no,0.867,LSR,1
3,housing_yes,0.004,LSR,1
3,loan_yes,0.102,LSR,1
1,Unrelated_column_one,0.996,Slack,1
1,default_no,0.003,Slack,1
1,default_yes,0.001,Slack,1
2,Age(,0.001,Slack,1
2,Balance,0.0,Slack,1
2,Campaign,0.004,Slack,1
2,Duration,0.0,Slack,1
2,Pdays,0.003,Slack,1
2,Previous,0.001,Slack,1
2,Unrelated_column_one,0.004,Slack,1
2,default_no,0.411,Slack,1
2,default_yes,0.422,Slack,1
2,housing_no,0.017,Slack,1
2,housing_yes,0.013,Slack,1
2,loan_no,0.061,Slack,1
2,loan_yes,0.061,Slack,1
3,Age(,0.007,Slack,1
3,Balance,0.005,Slack,1
3,Campaign,0.011,Slack,1
3,Day,0.006,Slack,1
3,Duration,0.008,Slack,1
3,Pdays,0.017,Slack,1
3,Previous,0.009,Slack,1
3,default_no,0.264,Slack,1
3,default_yes,0.26,Slack,1
3,housing_no,0.058,Slack,1
3,housing_yes,0.06,Slack,1
3,loan_no,0.142,Slack,1
3,loan_yes,0.152,Slack,1
1,Balance,0.001,RF_RF,1
1,Duration,0.804,RF_RF,1
1,default_yes,0.0,RF_RF,1
1,housing_no,0.088,RF_RF,1
1,housing_yes,0.104,RF_RF,1
1,loan_yes,0.003,RF_RF,1
2,Balance,0.001,RF_RF,1
2,Campaign,0.001,RF_RF,1
2,Duration,0.027,RF_RF,1
2,Pdays,0.012,RF_RF,1
2,Previous,0.002,RF_RF,1
2,default_no,0.052,RF_RF,1
2,default_yes,0.005,RF_RF,1
2,housing_no,0.445,RF_RF,1
2,housing_yes,0.44,RF_RF,1
2,loan_no,0.002,RF_RF,1
2,loan_yes,0.012,RF_RF,1
3,Balance,0.014,RF_RF,1
3,Campaign,0.004,RF_RF,1
3,Day,0.001,RF_RF,1
3,Duration,0.06,RF_RF,1
3,Pdays,0.018,RF_RF,1
