recall+,precision+,accuracy+,F1+,FA0-,FA1-,MSE-,AOD-,EOD-,SPD-,DI-,biased_col,samples,rep,learner
0.8,0.78,0.8,0.79,0.2,0.14,0.201,0.12,0.06,0.22,0.31,Age(,8929,1,RF
0.72,0.78,0.77,0.75,0.28,0.02,0.224,0.29,0.26,0.4,0.48,Age(,8929,1,LSR
0.71,0.79,0.78,0.75,0.29,0.02,0.221,0.28,0.27,0.39,0.48,Age(,8929,1,SVC
0.79,0.76,0.78,0.77,0.21,0.24,0.223,0.08,0.02,0.16,0.25,Age(,512,1,RF_RF
0.7,0.79,0.77,0.74,0.3,0.08,0.226,0.28,0.22,0.37,0.47,Age(,512,1,LSR_RF
0.7,0.8,0.78,0.75,0.3,0.06,0.223,0.34,0.24,0.42,0.5,Age(,512,1,SVC_RF
0.76,0.77,0.78,0.76,0.24,0.18,0.222,0.1,0.07,0.2,0.3,Age(,640,1,RF_RF
0.71,0.8,0.78,0.75,0.29,0.1,0.221,0.22,0.19,0.33,0.44,Age(,640,1,LSR_RF
0.71,0.8,0.78,0.75,0.29,0.1,0.219,0.22,0.19,0.33,0.44,Age(,640,1,SVC_RF
0.79,0.78,0.8,0.78,0.21,0.2,0.206,0.09,0.01,0.19,0.28,Age(,896,1,RF_RF
0.74,0.78,0.78,0.76,0.26,0.04,0.223,0.3,0.22,0.39,0.47,Age(,896,1,LSR_RF
0.72,0.78,0.78,0.75,0.28,0.02,0.223,0.31,0.26,0.4,0.48,Age(,896,1,SVC_RF
0.82,0.77,0.8,0.79,0.18,0.18,0.203,0.02,0.0,0.14,0.21,Age(,1024,1,RF_RF
0.72,0.78,0.77,0.75,0.28,0.06,0.228,0.29,0.22,0.38,0.46,Age(,1024,1,LSR_RF
0.72,0.79,0.78,0.75,0.28,0.04,0.222,0.28,0.24,0.38,0.47,Age(,1024,1,SVC_RF
0.82,0.77,0.8,0.79,0.18,0.2,0.201,0.07,0.02,0.17,0.25,Age(,1152,1,RF_RF
0.74,0.77,0.78,0.75,0.26,0.06,0.223,0.28,0.2,0.36,0.44,Age(,1152,1,LSR_RF
0.73,0.79,0.78,0.76,0.27,0.04,0.222,0.28,0.24,0.38,0.46,Age(,1152,1,SVC_RF
0.78,0.79,0.8,0.78,0.22,0.18,0.202,0.07,0.04,0.19,0.28,Age(,1280,1,RF_RF
0.72,0.78,0.77,0.75,0.28,0.08,0.227,0.26,0.2,0.35,0.45,Age(,1280,1,LSR_RF
0.72,0.79,0.77,0.75,0.28,0.08,0.225,0.24,0.2,0.34,0.44,Age(,1280,1,SVC_RF
0.79,0.78,0.8,0.78,0.21,0.12,0.197,0.14,0.08,0.29,0.38,Age(,8929,2,RF
0.72,0.79,0.78,0.75,0.28,0.03,0.214,0.32,0.25,0.45,0.52,Age(,8929,2,LSR
0.72,0.79,0.79,0.75,0.28,0.03,0.212,0.31,0.25,0.44,0.52,Age(,8929,2,SVC
0.76,0.77,0.79,0.76,0.24,0.17,0.215,0.14,0.08,0.27,0.37,Age(,512,2,RF_RF
0.74,0.78,0.79,0.76,0.26,0.09,0.213,0.24,0.17,0.37,0.46,Age(,512,2,LSR_RF
0.73,0.78,0.78,0.75,0.27,0.11,0.214,0.19,0.16,0.34,0.44,Age(,512,2,SVC_RF
0.79,0.76,0.79,0.77,0.21,0.15,0.207,0.15,0.06,0.27,0.36,Age(,640,2,RF_RF
0.73,0.79,0.79,0.76,0.27,0.06,0.212,0.24,0.21,0.39,0.48,Age(,640,2,LSR_RF
0.72,0.8,0.79,0.76,0.28,0.11,0.208,0.2,0.17,0.35,0.46,Age(,640,2,SVC_RF
0.79,0.76,0.79,0.77,0.21,0.14,0.212,0.08,0.08,0.24,0.34,Age(,896,2,RF_RF
0.72,0.79,0.78,0.75,0.28,0.15,0.219,0.26,0.13,0.36,0.46,Age(,896,2,LSR_RF
0.72,0.79,0.78,0.75,0.28,0.14,0.219,0.28,0.15,0.37,0.47,Age(,896,2,SVC_RF
0.76,0.76,0.78,0.76,0.24,0.21,0.22,0.07,0.03,0.21,0.32,Age(,1024,2,RF_RF
0.72,0.79,0.78,0.75,0.28,0.23,0.22,0.15,0.06,0.26,0.38,Age(,1024,2,LSR_RF
0.7,0.8,0.78,0.75,0.3,0.2,0.22,0.17,0.1,0.3,0.42,Age(,1024,2,SVC_RF
0.81,0.76,0.79,0.78,0.19,0.09,0.204,0.1,0.1,0.27,0.36,Age(,1152,2,RF_RF
0.73,0.78,0.78,0.75,0.27,0.09,0.217,0.24,0.18,0.37,0.46,Age(,1152,2,LSR_RF
0.72,0.8,0.79,0.76,0.28,0.06,0.21,0.25,0.22,0.4,0.49,Age(,1152,2,SVC_RF
0.82,0.76,0.8,0.79,0.18,0.08,0.201,0.16,0.1,0.3,0.38,Age(,1280,2,RF_RF
0.72,0.79,0.78,0.75,0.28,0.09,0.215,0.28,0.19,0.39,0.48,Age(,1280,2,LSR_RF
0.72,0.8,0.79,0.76,0.28,0.06,0.21,0.27,0.22,0.41,0.5,Age(,1280,2,SVC_RF
0.8,0.77,0.8,0.78,0.2,0.05,0.202,0.18,0.15,0.33,0.41,Age(,8929,3,RF
0.71,0.77,0.77,0.74,0.29,0.05,0.225,0.3,0.23,0.42,0.5,Age(,8929,3,LSR
0.71,0.77,0.77,0.74,0.29,0.05,0.226,0.31,0.24,0.43,0.5,Age(,8929,3,SVC
0.8,0.75,0.78,0.77,0.2,0.08,0.214,0.21,0.13,0.33,0.41,Age(,512,3,RF_RF
0.74,0.76,0.77,0.75,0.26,0.03,0.225,0.33,0.23,0.44,0.49,Age(,512,3,LSR_RF
0.73,0.76,0.77,0.74,0.27,0.01,0.229,0.48,0.26,0.52,0.54,Age(,512,3,SVC_RF
0.79,0.75,0.78,0.77,0.21,0.1,0.219,0.18,0.11,0.31,0.39,Age(,640,3,RF_RF
0.72,0.77,0.77,0.74,0.28,0.04,0.227,0.4,0.24,0.48,0.53,Age(,640,3,LSR_RF
0.71,0.77,0.77,0.74,0.29,0.04,0.227,0.35,0.25,0.45,0.52,Age(,640,3,SVC_RF
0.81,0.74,0.79,0.77,0.19,0.13,0.213,0.12,0.06,0.25,0.33,Age(,896,3,RF_RF
