rep,learner,biased_col,treatment,samples,runtime,rec+,prec+,acc+,F1+,FA0-,FA1-,MCC-,MSE-,AOD-,EOD-,SPD-,DI-,Flip
1,RF,race(,100,36177,1.45,0.48,0.65,0.87,0.55,0.52,0.47,0.48,0.18,0.05,0.06,0.09,0.42,
1,RF_s,race(,100,36177,24.61,0.52,0.6,0.87,0.56,0.48,0.35,0.45,0.22,0.12,0.13,0.17,0.55,
1,RF_m,race(,100,36177,1.21,0.03,0.78,0.84,0.06,0.97,0.85,0.31,0.22,0.06,0.12,0.04,0.84,
1,RF_x,race(,100,36177,4.38,0.4,0.55,0.85,0.46,0.6,0.32,0.45,0.22,0.2,0.27,0.21,0.63,
1,Slack,race(,100,36177,35.06,0.0,0.0,0.84,0.0,1.0,0.0,0.08,0.66,1.0,1.0,1.0,1.0,
1,RF,race(,2,512,139.62,0.48,0.63,0.87,0.54,0.52,0.4,0.46,0.2,0.1,0.12,0.14,0.53,
1,RF_s,race(,2,512,0.69,0.44,0.61,0.86,0.51,0.56,0.35,0.45,0.21,0.17,0.21,0.19,0.61,
1,RF_m,race(,2,512,0.16,0.01,1.0,0.84,0.02,0.99,0.96,0.12,0.25,0.02,0.03,0.02,0.91,
1,RF_x,race(,2,512,0.17,0.41,0.67,0.85,0.51,0.59,0.38,0.46,0.2,0.16,0.21,0.16,0.57,
1,Slack,race(,2,512,140.75,0.0,0.0,0.84,0.0,1.0,0.0,0.08,0.66,1.0,1.0,1.0,1.0,
1,Slack,race(,100,512,140.78,0.48,0.65,0.87,0.55,0.52,0.47,0.48,0.18,0.05,0.06,0.09,0.42,
2,RF,race(,100,36177,1.4,0.47,0.68,0.88,0.56,0.53,0.48,0.48,0.18,0.05,0.05,0.09,0.46,
2,RF_s,race(,100,36177,24.5,0.49,0.58,0.87,0.53,0.51,0.35,0.46,0.21,0.14,0.16,0.17,0.57,
2,RF_m,race(,100,36177,1.22,0.03,1.0,0.85,0.06,0.97,0.86,0.3,0.22,0.06,0.12,0.04,0.91,
2,RF_x,race(,100,36177,4.4,0.36,0.54,0.85,0.43,0.64,0.32,0.45,0.21,0.22,0.31,0.22,0.66,
2,Slack,race(,100,36177,34.94,0.0,0.0,0.85,0.0,1.0,0.0,0.09,0.65,1.0,1.0,1.0,1.0,
2,RF,race(,2,512,139.02,0.35,0.71,0.88,0.47,0.65,0.43,0.43,0.21,0.16,0.21,0.18,0.7,
2,RF_s,race(,2,512,0.72,0.41,0.64,0.87,0.5,0.59,0.37,0.43,0.22,0.18,0.22,0.21,0.68,
2,RF_m,race(,2,512,0.16,0.0,0.0,0.85,0.0,1.0,0.96,0.1,0.24,0.02,0.04,0.02,1.0,
2,RF_x,race(,2,512,0.17,0.3,0.78,0.83,0.43,0.7,0.43,0.41,0.21,0.2,0.27,0.18,0.67,
2,Slack,race(,2,512,140.18,0.0,0.0,0.85,0.0,1.0,0.0,0.09,0.65,1.0,1.0,1.0,1.0,
2,Slack,race(,100,512,140.21,0.47,0.68,0.88,0.56,0.53,0.48,0.48,0.18,0.05,0.05,0.09,0.46,
3,RF,race(,100,36177,1.4,0.51,0.68,0.88,0.58,0.49,0.47,0.49,0.18,0.04,0.03,0.09,0.43,
3,RF_s,race(,100,36177,24.86,0.5,0.57,0.86,0.53,0.5,0.34,0.46,0.21,0.14,0.16,0.17,0.56,
3,RF_m,race(,100,36177,1.27,0.06,1.0,0.85,0.11,0.94,0.85,0.31,0.22,0.04,0.09,0.03,0.79,
3,RF_x,race(,100,36177,4.43,0.38,0.58,0.85,0.46,0.62,0.32,0.45,0.21,0.22,0.29,0.22,0.67,
3,Slack,race(,100,36177,35.3,0.0,0.0,0.84,0.0,1.0,0.0,0.09,0.66,1.0,1.0,1.0,1.0,
3,RF,race(,2,512,139.45,0.36,0.77,0.88,0.49,0.64,0.38,0.47,0.2,0.2,0.26,0.2,0.73,
3,RF_s,race(,2,512,0.77,0.4,0.69,0.88,0.51,0.6,0.34,0.46,0.21,0.2,0.26,0.22,0.71,
3,RF_m,race(,2,512,0.16,0.01,1.0,0.84,0.02,0.99,0.96,0.09,0.25,0.02,0.03,0.02,0.96,
3,RF_x,race(,2,512,0.17,0.31,0.83,0.86,0.45,0.69,0.36,0.46,0.2,0.24,0.33,0.22,0.76,
3,Slack,race(,2,512,140.65,0.0,0.0,0.84,0.0,1.0,0.0,0.09,0.66,1.0,1.0,1.0,1.0,
3,Slack,race(,100,512,140.68,0.51,0.68,0.88,0.58,0.49,0.47,0.49,0.18,0.04,0.03,0.09,0.43,
4,RF,race(,100,36177,1.41,0.49,0.68,0.87,0.57,0.51,0.47,0.48,0.18,0.04,0.04,0.09,0.41,
4,RF_s,race(,100,36177,24.5,0.49,0.61,0.86,0.54,0.51,0.32,0.46,0.21,0.16,0.19,0.18,0.57,
4,RF_m,race(,100,36177,1.23,0.06,1.0,0.84,0.11,0.94,0.86,0.3,0.22,0.04,0.08,0.03,0.74,
4,RF_x,race(,100,36177,4.45,0.4,0.6,0.85,0.48,0.6,0.3,0.46,0.21,0.22,0.3,0.22,0.66,
4,Slack,race(,100,36177,35.03,0.0,0.0,0.83,0.0,1.0,0.0,0.07,0.66,1.0,1.0,1.0,1.0,
4,RF,race(,2,512,139.62,0.45,0.6,0.85,0.51,0.55,0.39,0.44,0.21,0.13,0.16,0.15,0.54,
4,RF_s,race(,2,512,0.71,0.49,0.57,0.85,0.53,0.51,0.33,0.45,0.22,0.15,0.18,0.17,0.54,
4,RF_m,race(,2,512,0.17,0.0,0.0,0.83,0.0,1.0,0.96,0.11,0.24,0.02,0.04,0.02,1.0,
4,RF_x,race(,2,512,0.18,0.47,0.66,0.82,0.55,0.53,0.4,0.43,0.21,0.11,0.13,0.1,0.37,
4,Slack,race(,2,512,140.78,0.0,0.0,0.83,0.0,1.0,0.0,0.07,0.66,1.0,1.0,1.0,1.0,
4,Slack,race(,100,512,140.81,0.49,0.68,0.87,0.57,0.51,0.47,0.48,0.18,0.04,0.04,0.09,0.41,
5,RF,race(,100,36177,1.41,0.5,0.7,0.89,0.58,0.5,0.45,0.5,0.17,0.05,0.05,0.1,0.49,
5,RF_s,race(,100,36177,24.28,0.51,0.6,0.88,0.55,0.49,0.32,0.48,0.2,0.15,0.17,0.18,0.59,
5,RF_m,race(,100,36177,1.23,0.07,1.0,0.86,0.13,0.93,0.84,0.32,0.21,0.05,0.09,0.04,0.77,
5,RF_x,race(,100,36177,4.4,0.41,0.58,0.86,0.48,0.59,0.3,0.48,0.2,0.22,0.29,0.22,0.67,
5,Slack,race(,100,36177,34.8,0.0,0.0,0.85,0.0,1.0,0.0,0.09,0.66,1.0,1.0,1.0,1.0,
5,RF,race(,2,512,139.76,0.52,0.64,0.88,0.57,0.48,0.36,0.48,0.2,0.12,0.12,0.16,0.56,
5,RF_s,race(,2,512,0.46,0.51,0.6,0.87,0.55,0.49,0.3,0.46,0.22,0.17,0.19,0.21,0.62,
5,RF_m,race(,2,512,0.17,0.06,0.86,0.86,0.11,0.94,0.86,0.25,0.22,0.04,0.07,0.04,0.76,
5,RF_x,race(,2,512,0.18,0.56,0.7,0.83,0.62,0.44,0.35,0.47,0.2,0.09,0.09,0.09,0.31,
5,Slack,race(,2,512,140.67,0.0,0.0,0.85,0.0,1.0,0.0,0.09,0.66,1.0,1.0,1.0,1.0,
5,Slack,race(,100,512,140.7,0.5,0.7,0.89,0.58,0.5,0.45,0.5,0.17,0.05,0.05,0.1,0.49,
6,RF,race(,100,36177,1.4,0.5,0.59,0.86,0.54,0.5,0.46,0.49,0.18,0.02,0.03,0.07,0.33,
6,RF_s,race(,100,36177,24.6,0.53,0.55,0.86,0.54,0.47,0.33,0.47,0.21,0.12,0.14,0.15,0.5,
6,RF_m,race(,100,36177,1.23,0.05,0.83,0.85,0.09,0.95,0.84,0.31,0.21,0.06,0.11,0.04,0.79,
6,RF_x,race(,100,36177,4.45,0.36,0.62,0.85,0.46,0.64,0.3,0.46,0.21,0.25,0.34,0.24,0.71,
6,Slack,race(,100,36177,35.02,0.0,0.0,0.84,0.0,1.0,0.0,0.08,0.66,1.0,1.0,1.0,1.0,
6,RF,race(,2,512,139.53,0.26,0.82,0.87,0.39,0.74,0.38,0.46,0.2,0.25,0.36,0.22,0.81,
6,RF_s,race(,2,512,0.74,0.29,0.69,0.87,0.41,0.71,0.31,0.44,0.22,0.29,0.4,0.26,0.8,
6,RF_m,race(,2,512,0.16,0.01,1.0,0.84,0.02,0.99,0.73,0.31,0.22,0.16,0.26,0.11,0.99,
6,RF_x,race(,2,512,0.18,0.21,0.67,0.84,0.32,0.79,0.34,0.47,0.2,0.3,0.45,0.24,0.81,
6,Slack,race(,2,512,140.71,0.0,0.0,0.84,0.0,1.0,0.0,0.08,0.66,1.0,1.0,1.0,1.0,
6,Slack,race(,100,512,140.73,0.5,0.59,0.86,0.54,0.5,0.46,0.49,0.18,0.02,0.03,0.07,0.33,
7,RF,race(,100,36177,1.43,0.45,0.64,0.87,0.53,0.55,0.47,0.48,0.19,0.06,0.08,0.09,0.44,
7,RF_s,race(,100,36177,24.56,0.45,0.63,0.86,0.52,0.55,0.33,0.46,0.21,0.17,0.21,0.19,0.62,
7,RF_m,race(,100,36177,1.23,0.06,0.93,0.84,0.11,0.94,0.86,0.3,0.22,0.04,0.07,0.03,0.71,
7,RF_x,race(,100,36177,4.57,0.31,0.57,0.85,0.4,0.69,0.3,0.46,0.21,0.28,0.39,0.26,0.74,
7,Slack,race(,100,36177,35.17,0.0,0.0,0.83,0.0,1.0,0.0,0.08,0.66,1.0,1.0,1.0,1.0,
7,RF,race(,2,512,139.59,0.27,0.81,0.87,0.4,0.73,0.4,0.44,0.21,0.23,0.32,0.22,0.79,
7,RF_s,race(,2,512,0.7,0.45,0.65,0.87,0.53,0.55,0.34,0.45,0.22,0.18,0.21,0.21,0.64,
7,RF_m,race(,2,512,0.16,0.0,0.0,0.83,0.0,1.0,0.97,0.06,0.25,0.02,0.03,0.02,1.0,
7,RF_x,race(,2,512,0.17,0.35,0.89,0.86,0.5,0.65,0.38,0.44,0.21,0.22,0.27,0.21,0.72,
7,Slack,race(,2,512,140.72,0.0,0.0,0.83,0.0,1.0,0.0,0.08,0.66,1.0,1.0,1.0,1.0,
7,Slack,race(,100,512,140.75,0.45,0.64,0.87,0.53,0.55,0.47,0.48,0.19,0.06,0.08,0.09,0.44,
8,RF,race(,100,36177,1.41,0.49,0.63,0.87,0.55,0.51,0.48,0.49,0.18,0.03,0.03,0.07,0.37,
8,RF_s,race(,100,36177,24.4,0.49,0.55,0.85,0.52,0.51,0.34,0.46,0.21,0.14,0.17,0.16,0.53,
8,RF_m,race(,100,36177,1.21,0.03,0.55,0.84,0.06,0.97,0.85,0.31,0.22,0.06,0.12,0.03,0.79,
8,RF_x,race(,100,36177,4.44,0.4,0.59,0.85,0.48,0.6,0.32,0.46,0.21,0.22,0.29,0.22,0.66,
