rep,learner,biased_col,runtime,treatment,samples,feature,importance
1,RF,Age(,24390,610.3929691314697,Pdays,0.491,
1,RF,Age(,24390,610.3929917812347,Campaign,0.17,
1,RF,Age(,24390,610.3930010795593,Previous,0.146,
1,RF,Age(,24390,610.3930082321167,Unrelated_column_one,0.048,
1,RF,Age(,24390,610.3930149078369,Age(,0.023,
1,RF,Age(,24390,610.3930215835571,housing_1,0.015,
1,RF,Age(,24390,610.3930277824402,day_of_week_tue,0.015,
1,RF,Age(,24390,610.3930342197418,housing_0,0.015,
1,RF,Age(,24390,610.3930401802063,day_of_week_thu,0.014,
1,RF,Age(,24390,610.3930466175079,day_of_week_mon,0.014,
1,RF,Age(,24390,610.393052816391,day_of_week_wed,0.014,
1,RF,Age(,24390,610.393059015274,day_of_week_fri,0.013,
1,RF,Age(,24390,610.3930652141571,loan_1,0.012,
1,RF,Age(,24390,610.3930711746216,loan_0,0.011,
1,RF,Age(,24390,610.3930773735046,default_1,0.0,
1,RF,Age(,24390,610.3930835723877,default_0,0.0,
1,RF,Age(,2,2402.647912502289,512,Pdays,0.63
1,Slack,Age(,2,2402.647912502289,512,Age(,0.926
1,RF,Age(,2,2402.6479489803314,512,Previous,0.132
1,Slack,Age(,2,2402.6479489803314,512,Campaign,0.027
1,RF,Age(,2,2402.6479601860046,512,Unrelated_column_one,0.059
1,Slack,Age(,2,2402.6479601860046,512,Pdays,0.008
1,RF,Age(,2,2402.6479709148407,512,Campaign,0.043
1,Slack,Age(,2,2402.6479709148407,512,Previous,0.007
1,RF,Age(,2,2402.647981405258,512,day_of_week_thu,0.022
1,Slack,Age(,2,2402.647981405258,512,Unrelated_column_one,0.007
1,RF,Age(,2,2402.6479921340942,512,day_of_week_fri,0.022
1,Slack,Age(,2,2402.6479921340942,512,day_of_week_tue,0.006
1,RF,Age(,2,2402.6480028629303,512,day_of_week_tue,0.021
1,Slack,Age(,2,2402.6480028629303,512,housing_1,0.004
1,RF,Age(,2,2402.648013114929,512,housing_0,0.016
1,Slack,Age(,2,2402.648013114929,512,day_of_week_thu,0.003
1,RF,Age(,2,2402.6480236053467,512,day_of_week_wed,0.012
1,Slack,Age(,2,2402.6480236053467,512,housing_0,0.003
1,RF,Age(,2,2402.648034095764,512,loan_1,0.012
1,Slack,Age(,2,2402.648034095764,512,day_of_week_fri,0.002
1,RF,Age(,2,2402.6480445861816,512,housing_1,0.011
1,Slack,Age(,2,2402.6480445861816,512,loan_1,0.002
1,RF,Age(,2,2402.648055076599,512,loan_0,0.007
1,Slack,Age(,2,2402.648055076599,512,day_of_week_wed,0.002
1,RF,Age(,2,2402.648065328598,512,Age(,0.007
1,Slack,Age(,2,2402.648065328598,512,loan_0,0.001
1,RF,Age(,2,2402.648076057434,512,day_of_week_mon,0.006
1,Slack,Age(,2,2402.648076057434,512,day_of_week_mon,0.001
1,RF,Age(,2,2402.64808678627,512,default_1,0.0
1,Slack,Age(,2,2402.64808678627,512,default_1,0.0
1,RF,Age(,2,2402.6480972766876,512,default_0,0.0
1,Slack,Age(,2,2402.6480972766876,512,default_0,0.0
2,RF,Age(,24390,610.9206254482269,Pdays,0.463,
2,RF,Age(,24390,610.920645236969,Campaign,0.175,
2,RF,Age(,24390,610.9206538200378,Previous,0.166,
2,RF,Age(,24390,610.920660495758,Unrelated_column_one,0.048,
2,RF,Age(,24390,610.9206669330597,Age(,0.026,
2,RF,Age(,24390,610.9206736087799,housing_0,0.016,
2,RF,Age(,24390,610.9206800460815,housing_1,0.015,
2,RF,Age(,24390,610.9206862449646,day_of_week_tue,0.014,
2,RF,Age(,24390,610.9206922054291,loan_0,0.013,
2,RF,Age(,24390,610.9206984043121,loan_1,0.013,
2,RF,Age(,24390,610.9207046031952,day_of_week_thu,0.013,
2,RF,Age(,24390,610.9207105636597,day_of_week_fri,0.013,
2,RF,Age(,24390,610.9207165241241,day_of_week_mon,0.012,
2,RF,Age(,24390,610.9207227230072,day_of_week_wed,0.012,
2,RF,Age(,24390,610.9207286834717,default_1,0.0,
2,RF,Age(,24390,610.9207344055176,default_0,0.0,
2,RF,Age(,2,2394.297085046768,512,Pdays,0.491
2,Slack,Age(,2,2394.297085046768,512,Age(,0.852
2,RF,Age(,2,2394.2971255779266,512,Previous,0.249
2,Slack,Age(,2,2394.2971255779266,512,Campaign,0.037
2,RF,Age(,2,2394.2971370220184,512,Campaign,0.057
2,Slack,Age(,2,2394.2971370220184,512,Previous,0.033
2,RF,Age(,2,2394.297147512436,512,day_of_week_mon,0.039
2,Slack,Age(,2,2394.297147512436,512,Pdays,0.012
2,RF,Age(,2,2394.297163248062,512,Unrelated_column_one,0.034
2,Slack,Age(,2,2394.297163248062,512,day_of_week_fri,0.011
2,RF,Age(,2,2394.297173976898,512,housing_1,0.023
2,Slack,Age(,2,2394.297173976898,512,housing_1,0.008
2,RF,Age(,2,2394.2971844673157,512,day_of_week_tue,0.017
2,Slack,Age(,2,2394.2971844673157,512,day_of_week_thu,0.008
2,RF,Age(,2,2394.2971959114075,512,loan_0,0.017
2,Slack,Age(,2,2394.2971959114075,512,loan_0,0.008
2,RF,Age(,2,2394.2972061634064,512,day_of_week_wed,0.015
2,Slack,Age(,2,2394.2972061634064,512,day_of_week_tue,0.007
2,RF,Age(,2,2394.297216653824,512,day_of_week_thu,0.014
2,Slack,Age(,2,2394.297216653824,512,housing_0,0.007
2,RF,Age(,2,2394.2972269058228,512,housing_0,0.013
2,Slack,Age(,2,2394.2972269058228,512,day_of_week_wed,0.005
2,RF,Age(,2,2394.2972371578217,512,loan_1,0.013
2,Slack,Age(,2,2394.2972371578217,512,day_of_week_mon,0.005
2,RF,Age(,2,2394.297247171402,512,day_of_week_fri,0.012
2,Slack,Age(,2,2394.297247171402,512,Unrelated_column_one,0.004
2,RF,Age(,2,2394.297257900238,512,Age(,0.006
2,Slack,Age(,2,2394.297257900238,512,loan_1,0.003
2,RF,Age(,2,2394.2972679138184,512,default_1,0.0
2,Slack,Age(,2,2394.2972679138184,512,default_1,0.0
2,RF,Age(,2,2394.297278881073,512,default_0,0.0
2,Slack,Age(,2,2394.297278881073,512,default_0,0.0
3,RF,Age(,24390,610.6914050579071,Pdays,0.478,
3,RF,Age(,24390,610.691427230835,Campaign,0.173,
3,RF,Age(,24390,610.691436290741,Previous,0.159,
3,RF,Age(,24390,610.6914434432983,Unrelated_column_one,0.048,
