ranking,feature,occurances_pct,learner,biased_col,runtime,treatment,samples,rep
1,credit_history_1,0.18,RF,sex(,8.858712911605835,100,800,1
1,credit_history_3,0.46,RF,sex(,8.858713865280151,100,800,1
1,savings_1,0.36,RF,sex(,8.858713865280151,100,800,1
2,credit_history_1,0.16,RF,sex(,8.858713865280151,100,800,1
2,credit_history_3,0.395,RF,sex(,8.858713865280151,100,800,1
2,savings_1,0.435,RF,sex(,8.858714818954468,100,800,1
2,savings_2,0.01,RF,sex(,8.858714818954468,100,800,1
3,credit_history_1,0.135,RF,sex(,8.858720064163208,100,800,1
3,credit_history_3,0.035,RF,sex(,8.85872483253479,100,800,1
3,employment_2,0.035,RF,sex(,8.858725786209106,100,800,1
3,employment_3,0.005,RF,sex(,8.858726978302002,100,800,1
3,foreign_worker_0,0.005,RF,sex(,8.858726978302002,100,800,1
3,foreign_worker_1,0.215,RF,sex(,8.858726978302002,100,800,1
3,savings_1,0.205,RF,sex(,8.858733177185059,100,800,1
3,savings_2,0.36,RF,sex(,8.858733177185059,100,800,1
3,savings_3,0.005,RF,sex(,8.858733892440796,100,800,1
1,Unrelated_column_one,1.0,Slack,sex(,15.109707117080688,100,800,1
2,credit_history_1,0.015,Slack,sex(,15.109707117080688,100,800,1
2,credit_history_2,0.075,Slack,sex(,15.109708070755005,100,800,1
2,credit_history_3,0.02,Slack,sex(,15.109708070755005,100,800,1
2,employment_1,0.015,Slack,sex(,15.109708070755005,100,800,1
2,employment_2,0.02,Slack,sex(,15.109708070755005,100,800,1
2,employment_3,0.2,Slack,sex(,15.109709024429321,100,800,1
2,foreign_worker_0,0.26,Slack,sex(,15.109709024429321,100,800,1
2,foreign_worker_1,0.23,Slack,sex(,15.109709024429321,100,800,1
2,savings_1,0.015,Slack,sex(,15.109709024429321,100,800,1
2,savings_2,0.08,Slack,sex(,15.109709739685059,100,800,1
2,savings_3,0.07,Slack,sex(,15.109709739685059,100,800,1
3,Age(,0.005,Slack,sex(,15.109709739685059,100,800,1
3,credit_history_1,0.07,Slack,sex(,15.109709739685059,100,800,1
3,credit_history_2,0.115,Slack,sex(,15.109709739685059,100,800,1
3,credit_history_3,0.05,Slack,sex(,15.109710931777954,100,800,1
3,employment_1,0.055,Slack,sex(,15.109710931777954,100,800,1
3,employment_2,0.035,Slack,sex(,15.109710931777954,100,800,1
3,employment_3,0.115,Slack,sex(,15.109710931777954,100,800,1
3,foreign_worker_0,0.14,Slack,sex(,15.109710931777954,100,800,1
3,foreign_worker_1,0.185,Slack,sex(,15.10971188545227,100,800,1
3,savings_1,0.05,Slack,sex(,15.10971188545227,100,800,1
3,savings_2,0.115,Slack,sex(,15.10971188545227,100,800,1
3,savings_3,0.065,Slack,sex(,15.10971188545227,100,800,1
1,employment_2,0.61,RF,sex(,15.957754850387573,2,64,1
1,foreign_worker_0,0.175,RF,sex(,15.957754850387573,2,64,1
1,foreign_worker_1,0.215,RF,sex(,15.95775580406189,2,64,1
2,credit_history_3,0.265,RF,sex(,15.95775580406189,2,64,1
2,employment_1,0.095,RF,sex(,15.95775580406189,2,64,1
2,employment_2,0.225,RF,sex(,15.95775580406189,2,64,1
2,foreign_worker_0,0.105,RF,sex(,15.957756757736206,2,64,1
2,foreign_worker_1,0.31,RF,sex(,15.957756757736206,2,64,1
3,credit_history_2,0.005,RF,sex(,15.957756757736206,2,64,1
3,credit_history_3,0.055,RF,sex(,15.957756757736206,2,64,1
3,employment_1,0.295,RF,sex(,15.957756757736206,2,64,1
3,employment_2,0.165,RF,sex(,15.957757949829102,2,64,1
3,foreign_worker_0,0.345,RF,sex(,15.957757949829102,2,64,1
3,foreign_worker_1,0.135,RF,sex(,15.957757949829102,2,64,1
1,sex(,1.0,Slack,sex(,21.51682186126709,2,64,1
