rep,learner,biased_col,runtime,treatment,samples,feature,importance
1,RF,Age(,237,2.477144956588745,Thalach,0.137,
1,RF,Age(,237,2.4771509170532227,Oldpeak,0.123,
1,RF,Age(,237,2.4771530628204346,Ca,0.121,
1,RF,Age(,237,2.477155923843384,Chol,0.098,
1,RF,Age(,237,2.4771580696105957,Cp,0.097,
1,RF,Age(,237,2.4771602153778076,Thal,0.096,
1,RF,Age(,237,2.4771628379821777,Trestbps,0.081,
1,RF,Age(,237,2.4771649837493896,Exang,0.061,
1,RF,Age(,237,2.4771671295166016,Slope,0.043,
1,RF,Age(,237,2.4771690368652344,Age(,0.033,
1,RF,Age(,237,2.4771718978881836,sex_0,0.026,
1,RF,Age(,237,2.4771740436553955,sex_1,0.024,
1,RF,Age(,237,2.4771811962127686,Unrelated_column_one,0.024,
1,RF,Age(,237,2.4771838188171387,Restecg,0.023,
1,RF,Age(,237,2.4771859645843506,Fbs,0.011,
1,RF,Age(,2,9.863248109817505,58,Thal,0.142
1,Slack,Age(,2,9.863248109817505,58,Age(,0.463
1,RF,Age(,2,9.863255977630615,58,Cp,0.141
1,Slack,Age(,2,9.863255977630615,58,Thalach,0.105
1,RF,Age(,2,9.863261222839355,58,Thalach,0.14
1,Slack,Age(,2,9.863261222839355,58,Trestbps,0.096
1,RF,Age(,2,9.863265037536621,58,Chol,0.105
1,Slack,Age(,2,9.863265037536621,58,Oldpeak,0.084
1,RF,Age(,2,9.863270044326782,58,Exang,0.09
1,Slack,Age(,2,9.863270044326782,58,Chol,0.066
1,RF,Age(,2,9.863273859024048,58,Oldpeak,0.085
1,Slack,Age(,2,9.863273859024048,58,Cp,0.034
1,RF,Age(,2,9.863277912139893,58,Ca,0.078
1,Slack,Age(,2,9.863277912139893,58,Restecg,0.034
1,RF,Age(,2,9.863283157348633,58,Trestbps,0.058
1,Slack,Age(,2,9.863283157348633,58,Exang,0.025
1,RF,Age(,2,9.863286972045898,58,Slope,0.035
1,Slack,Age(,2,9.863286972045898,58,Ca,0.024
1,RF,Age(,2,9.863291025161743,58,sex_0,0.03
1,Slack,Age(,2,9.863291025161743,58,Unrelated_column_one,0.015
1,RF,Age(,2,9.863294839859009,58,sex_1,0.028
1,Slack,Age(,2,9.863294839859009,58,Slope,0.015
1,RF,Age(,2,9.863300085067749,58,Restecg,0.019
1,Slack,Age(,2,9.863300085067749,58,Fbs,0.011
1,RF,Age(,2,9.863304138183594,58,Fbs,0.018
1,Slack,Age(,2,9.863304138183594,58,sex_1,0.011
1,RF,Age(,2,9.86330795288086,58,Unrelated_column_one,0.017
1,Slack,Age(,2,9.86330795288086,58,sex_0,0.01
1,RF,Age(,2,9.8633131980896,58,Age(,0.013
1,Slack,Age(,2,9.8633131980896,58,Thal,0.008
2,RF,Age(,237,2.028135061264038,Thalach,0.138,
2,RF,Age(,237,2.0281388759613037,Thal,0.133,
2,RF,Age(,237,2.028141975402832,Ca,0.118,
2,RF,Age(,237,2.0281450748443604,Cp,0.114,
2,RF,Age(,237,2.0281472206115723,Oldpeak,0.104,
2,RF,Age(,237,2.028148889541626,Chol,0.087,
2,RF,Age(,237,2.028151035308838,Trestbps,0.077,
2,RF,Age(,237,2.028154134750366,Slope,0.045,
2,RF,Age(,237,2.028156042098999,Exang,0.042,
2,RF,Age(,237,2.028158187866211,Age(,0.032,
2,RF,Age(,237,2.02816104888916,sex_0,0.026,
2,RF,Age(,237,2.028162956237793,Unrelated_column_one,0.026,
2,RF,Age(,237,2.028165102005005,sex_1,0.024,
2,RF,Age(,237,2.0281670093536377,Restecg,0.022,
2,RF,Age(,237,2.028169870376587,Fbs,0.012,
2,RF,Age(,2,9.473659992218018,58,Thal,0.185
2,Slack,Age(,2,9.473659992218018,58,Age(,0.409
2,RF,Age(,2,9.473668098449707,58,Thalach,0.135
2,Slack,Age(,2,9.473668098449707,58,Chol,0.117
2,RF,Age(,2,9.473672866821289,58,Cp,0.108
2,Slack,Age(,2,9.473672866821289,58,Thalach,0.108
2,RF,Age(,2,9.47367811203003,58,Ca,0.096
2,Slack,Age(,2,9.47367811203003,58,Trestbps,0.094
2,RF,Age(,2,9.473682165145874,58,Slope,0.082
2,Slack,Age(,2,9.473682165145874,58,Oldpeak,0.069
2,RF,Age(,2,9.47368597984314,58,Chol,0.078
2,Slack,Age(,2,9.47368597984314,58,Thal,0.039
2,RF,Age(,2,9.4736909866333,58,Oldpeak,0.078
2,Slack,Age(,2,9.4736909866333,58,Ca,0.037
2,RF,Age(,2,9.473694801330566,58,Trestbps,0.078
2,Slack,Age(,2,9.473694801330566,58,Cp,0.029
2,RF,Age(,2,9.473700046539307,58,Exang,0.039
2,Slack,Age(,2,9.473700046539307,58,Exang,0.019
2,RF,Age(,2,9.473704099655151,58,Age(,0.031
2,Slack,Age(,2,9.473704099655151,58,Fbs,0.018
2,RF,Age(,2,9.473708868026733,58,sex_0,0.023
2,Slack,Age(,2,9.473708868026733,58,Slope,0.018
2,RF,Age(,2,9.473713159561157,58,sex_1,0.021
2,Slack,Age(,2,9.473713159561157,58,Restecg,0.013
2,RF,Age(,2,9.473716974258423,58,Unrelated_column_one,0.021
2,Slack,Age(,2,9.473716974258423,58,Unrelated_column_one,0.012
2,RF,Age(,2,9.473721981048584,58,Restecg,0.015
2,Slack,Age(,2,9.473721981048584,58,sex_0,0.01
2,RF,Age(,2,9.473726034164429,58,Fbs,0.01
2,Slack,Age(,2,9.473726034164429,58,sex_1,0.008
