rep,learner,biased_col,samples,recall+,precision+,accuracy+,F1+,FA0-,FA1-,MCC-,MSE-,AOD-,EOD-,SPD-,DI-
1,RF_m,race(,4937,0.14,0.64,0.51,0.23,0.86,0.74,0.034,0.521,0.2,0.12,0.19,0.62
1,RF_m,race(,256,0.1,0.61,0.5,0.17,0.9,0.74,0.012,0.532,0.23,0.16,0.22,0.72
1,RF_m,race(,384,0.1,0.61,0.5,0.17,0.9,0.74,0.012,0.532,0.23,0.16,0.22,0.72
1,RF_m,race(,512,0.1,0.61,0.5,0.17,0.9,0.74,0.012,0.532,0.23,0.16,0.22,0.72
1,RF_m,race(,640,0.1,0.61,0.5,0.17,0.9,0.74,0.012,0.532,0.23,0.16,0.22,0.72
2,RF_m,race(,4937,0.19,0.71,0.55,0.3,0.81,0.69,0.113,0.484,0.18,0.12,0.18,0.56
2,RF_m,race(,256,0.19,0.71,0.55,0.3,0.81,0.69,0.106,0.487,0.18,0.12,0.18,0.57
2,RF_m,race(,384,0.19,0.71,0.55,0.3,0.81,0.69,0.116,0.483,0.18,0.12,0.17,0.56
2,RF_m,race(,512,0.19,0.71,0.55,0.3,0.81,0.69,0.106,0.487,0.18,0.12,0.18,0.57
2,RF_m,race(,640,0.19,0.71,0.55,0.3,0.81,0.69,0.106,0.487,0.18,0.12,0.18,0.57
3,RF_m,race(,4937,0.16,0.56,0.52,0.25,0.84,0.63,0.075,0.49,0.2,0.21,0.21,0.61
3,RF_m,race(,256,0.16,0.56,0.52,0.25,0.84,0.63,0.07,0.491,0.22,0.21,0.22,0.62
3,RF_m,race(,384,0.16,0.56,0.52,0.25,0.84,0.63,0.068,0.492,0.22,0.21,0.22,0.62
3,RF_m,race(,512,0.16,0.56,0.52,0.25,0.84,0.63,0.068,0.492,0.22,0.21,0.22,0.62
3,RF_m,race(,640,0.16,0.56,0.52,0.25,0.84,0.63,0.068,0.492,0.22,0.21,0.22,0.62
4,RF_m,race(,4937,0.18,0.63,0.53,0.28,0.82,0.67,0.07,0.497,0.2,0.15,0.19,0.57
4,RF_m,race(,256,0.18,0.63,0.53,0.28,0.82,0.67,0.063,0.5,0.2,0.15,0.2,0.58
4,RF_m,race(,384,0.18,0.63,0.53,0.28,0.82,0.67,0.067,0.498,0.2,0.15,0.19,0.57
4,RF_m,race(,512,0.18,0.63,0.53,0.28,0.82,0.67,0.063,0.5,0.2,0.15,0.2,0.58
4,RF_m,race(,640,0.18,0.63,0.53,0.28,0.82,0.67,0.063,0.5,0.2,0.15,0.2,0.58
5,RF_m,race(,4937,0.34,0.56,0.54,0.42,0.66,0.68,0.048,0.492,0.02,0.02,0.02,0.07
5,RF_m,race(,256,0.28,0.54,0.52,0.37,0.72,0.74,0.019,0.51,0.02,0.02,0.02,0.06
5,RF_m,race(,384,0.28,0.54,0.52,0.37,0.72,0.74,0.015,0.512,0.02,0.02,0.02,0.06
5,RF_m,race(,512,0.28,0.54,0.52,0.37,0.72,0.71,0.025,0.507,0.05,0.02,0.05,0.15
5,RF_m,race(,640,0.28,0.54,0.52,0.37,0.72,0.7,0.033,0.503,0.05,0.02,0.04,0.14
6,RF_m,race(,4937,0.16,0.6,0.53,0.25,0.84,0.74,0.039,0.506,0.16,0.1,0.15,0.54
6,RF_m,race(,256,0.16,0.58,0.53,0.25,0.84,0.68,0.032,0.506,0.23,0.17,0.22,0.62
6,RF_m,race(,384,0.16,0.58,0.53,0.25,0.84,0.68,0.032,0.506,0.23,0.17,0.22,0.62
6,RF_m,race(,512,0.16,0.58,0.53,0.25,0.84,0.68,0.032,0.506,0.23,0.17,0.22,0.62
6,RF_m,race(,640,0.16,0.58,0.53,0.25,0.84,0.68,0.037,0.504,0.22,0.17,0.21,0.62
7,RF_m,race(,4937,0.19,0.64,0.51,0.29,0.81,0.73,0.018,0.522,0.16,0.07,0.15,0.48
7,RF_m,race(,256,0.18,0.65,0.51,0.28,0.82,0.73,0.011,0.526,0.19,0.09,0.18,0.55
7,RF_m,race(,384,0.19,0.65,0.52,0.29,0.81,0.73,0.025,0.52,0.16,0.07,0.15,0.49
7,RF_m,race(,512,0.19,0.65,0.52,0.29,0.81,0.73,0.025,0.52,0.16,0.07,0.15,0.49
7,RF_m,race(,640,0.19,0.65,0.52,0.29,0.81,0.73,0.016,0.523,0.17,0.07,0.16,0.5
8,RF_m,race(,4937,0.12,0.59,0.48,0.2,0.88,0.68,0.019,0.533,0.24,0.2,0.23,0.67
8,RF_m,race(,256,0.12,0.62,0.49,0.2,0.88,0.68,0.024,0.531,0.25,0.2,0.24,0.69
