rep,learner,biased_col,samples,recall+,precision+,accuracy+,F1+,FA0-,FA1-,MCC-,MSE-,AOD-,EOD-,SPD-,DI-
1,RF_m,Age(,614,1.0,0.44,0.44,0.61,0.0,0.0,0.0,0.357,0.0,0.0,0.0,0.0
1,RF_m,Age(,64,0.0,0.0,0.56,0.0,1.0,1.0,0.0,0.643,0.0,0.0,0.0,
1,RF_m,Age(,96,0.0,0.0,0.56,0.0,1.0,1.0,0.0,0.643,0.0,0.0,0.0,
1,RF_m,Age(,128,0.0,0.0,0.56,0.0,1.0,1.0,0.0,0.643,0.0,0.0,0.0,
1,RF_m,Age(,160,0.0,0.0,0.56,0.0,1.0,1.0,0.0,0.643,0.0,0.0,0.0,
2,RF_m,Age(,614,1.0,0.57,0.57,0.73,0.0,0.0,0.0,0.292,0.0,0.0,0.0,0.0
2,RF_m,Age(,64,0.0,0.0,0.43,0.0,1.0,1.0,0.0,0.708,0.0,0.0,0.0,
2,RF_m,Age(,96,0.0,0.0,0.43,0.0,1.0,1.0,0.0,0.708,0.0,0.0,0.0,
2,RF_m,Age(,128,0.0,0.0,0.43,0.0,1.0,1.0,0.0,0.708,0.0,0.0,0.0,
2,RF_m,Age(,160,0.0,0.0,0.43,0.0,1.0,1.0,0.0,0.708,0.0,0.0,0.0,
3,RF_m,Age(,614,1.0,0.42,0.42,0.59,0.0,0.0,0.0,0.403,0.0,0.0,0.0,0.0
3,RF_m,Age(,64,0.0,0.0,0.58,0.0,1.0,1.0,0.0,0.597,0.0,0.0,0.0,
3,RF_m,Age(,96,0.0,0.0,0.58,0.0,1.0,1.0,0.0,0.597,0.0,0.0,0.0,
3,RF_m,Age(,128,0.0,0.0,0.58,0.0,1.0,1.0,0.0,0.597,0.0,0.0,0.0,
3,RF_m,Age(,160,0.0,0.0,0.58,0.0,1.0,1.0,0.0,0.597,0.0,0.0,0.0,
4,RF_m,Age(,614,1.0,0.57,0.57,0.73,0.0,0.0,0.0,0.338,0.0,0.0,0.0,0.0
4,RF_m,Age(,64,0.0,0.0,0.43,0.0,1.0,1.0,0.0,0.662,0.0,0.0,0.0,
4,RF_m,Age(,96,0.0,0.0,0.43,0.0,1.0,1.0,0.0,0.662,0.0,0.0,0.0,
4,RF_m,Age(,128,0.0,0.0,0.43,0.0,1.0,1.0,0.0,0.662,0.0,0.0,0.0,
4,RF_m,Age(,160,0.0,0.0,0.43,0.0,1.0,1.0,0.0,0.662,0.0,0.0,0.0,
5,RF_m,Age(,614,1.0,0.51,0.51,0.68,0.0,0.0,0.0,0.351,0.0,0.0,0.0,0.0
5,RF_m,Age(,64,0.0,0.0,0.49,0.0,1.0,1.0,0.0,0.649,0.0,0.0,0.0,
5,RF_m,Age(,96,0.0,0.0,0.49,0.0,1.0,1.0,0.0,0.649,0.0,0.0,0.0,
5,RF_m,Age(,128,0.0,0.0,0.49,0.0,1.0,1.0,0.0,0.649,0.0,0.0,0.0,
5,RF_m,Age(,160,0.0,0.0,0.49,0.0,1.0,1.0,0.0,0.649,0.0,0.0,0.0,
6,RF_m,Age(,614,1.0,0.47,0.47,0.64,0.0,0.0,0.0,0.331,0.0,0.0,0.0,0.0
6,RF_m,Age(,64,0.0,0.0,0.53,0.0,1.0,1.0,0.0,0.669,0.0,0.0,0.0,
6,RF_m,Age(,96,0.0,0.0,0.53,0.0,1.0,1.0,0.0,0.669,0.0,0.0,0.0,
6,RF_m,Age(,128,0.0,0.0,0.53,0.0,1.0,1.0,0.0,0.669,0.0,0.0,0.0,
6,RF_m,Age(,160,0.0,0.0,0.53,0.0,1.0,1.0,0.0,0.669,0.0,0.0,0.0,
7,RF_m,Age(,614,1.0,0.42,0.42,0.59,0.0,0.0,0.0,0.37,0.0,0.0,0.0,0.0
7,RF_m,Age(,64,0.0,0.0,0.58,0.0,1.0,1.0,0.0,0.63,0.0,0.0,0.0,
7,RF_m,Age(,96,0.0,0.0,0.58,0.0,1.0,1.0,0.0,0.63,0.0,0.0,0.0,
7,RF_m,Age(,128,0.0,0.0,0.58,0.0,1.0,1.0,0.0,0.63,0.0,0.0,0.0,
7,RF_m,Age(,160,0.0,0.0,0.58,0.0,1.0,1.0,0.0,0.63,0.0,0.0,0.0,
8,RF_m,Age(,614,1.0,0.48,0.48,0.65,0.0,0.0,0.0,0.338,0.0,0.0,0.0,0.0
8,RF_m,Age(,64,0.0,0.0,0.52,0.0,1.0,1.0,0.0,0.662,0.0,0.0,0.0,
8,RF_m,Age(,96,0.0,0.0,0.52,0.0,1.0,1.0,0.0,0.662,0.0,0.0,0.0,
8,RF_m,Age(,128,0.0,0.0,0.52,0.0,1.0,1.0,0.0,0.662,0.0,0.0,0.0,
8,RF_m,Age(,160,0.0,0.0,0.52,0.0,1.0,1.0,0.0,0.662,0.0,0.0,0.0,
9,RF_m,Age(,614,1.0,0.52,0.52,0.68,0.0,0.0,0.0,0.351,0.0,0.0,0.0,0.0
9,RF_m,Age(,64,0.0,0.0,0.48,0.0,1.0,1.0,0.0,0.649,0.0,0.0,0.0,
9,RF_m,Age(,96,0.0,0.0,0.48,0.0,1.0,1.0,0.0,0.649,0.0,0.0,0.0,
9,RF_m,Age(,128,0.0,0.0,0.48,0.0,1.0,1.0,0.0,0.649,0.0,0.0,0.0,
9,RF_m,Age(,160,0.0,0.0,0.48,0.0,1.0,1.0,0.0,0.649,0.0,0.0,0.0,
10,RF_m,Age(,614,1.0,0.53,0.53,0.69,0.0,0.0,0.0,0.383,0.0,0.0,0.0,0.0
10,RF_m,Age(,64,0.0,0.0,0.47,0.0,1.0,1.0,0.0,0.617,0.0,0.0,0.0,
10,RF_m,Age(,96,0.0,0.0,0.47,0.0,1.0,1.0,0.0,0.617,0.0,0.0,0.0,
10,RF_m,Age(,128,0.0,0.0,0.47,0.0,1.0,1.0,0.0,0.617,0.0,0.0,0.0,
10,RF_m,Age(,160,0.0,0.0,0.47,0.0,1.0,1.0,0.0,0.617,0.0,0.0,0.0,
