recall+,precision+,accuracy+,F1_Score+,AOD-,EOD-,SPD-,FA0-,FA1-,DI-,feature,sample_size,model_num,fold
0.0,0.0,0.39,0.0,1.0,1.0,1.0,1.0,1.0,0.0,sex(,200,0,1
0.0,0.0,0.49,0.0,1.0,1.0,1.0,1.0,1.0,0.0,sex(,200,0,2
0.0,0.0,0.3,0.0,1.0,1.0,1.0,1.0,1.0,0.0,sex(,200,0,3
0.0,0.0,0.34,0.0,1.0,1.0,1.0,1.0,1.0,0.0,sex(,200,0,4
0.0,0.0,0.45,0.0,1.0,1.0,1.0,1.0,1.0,0.0,sex(,200,0,5
0.0,0.0,0.45,0.0,1.0,1.0,1.0,1.0,1.0,0.0,sex(,200,0,6
0.0,0.0,0.42,0.0,1.0,1.0,1.0,1.0,1.0,0.0,sex(,200,0,7
0.0,0.0,0.3,0.0,1.0,1.0,1.0,1.0,1.0,0.0,sex(,200,0,8
0.0,0.0,0.34,0.0,1.0,1.0,1.0,1.0,1.0,0.0,sex(,200,0,9
0.0,0.0,0.38,0.0,1.0,1.0,1.0,1.0,1.0,0.0,sex(,200,0,10
0.0,0.0,0.39,0.0,1.0,1.0,1.0,1.0,1.0,0.0,sex(,200,1,1
0.31,0.82,0.61,0.45,0.81,0.69,0.81,0.81,0.69,0.0,sex(,200,1,2
0.0,0.0,0.3,0.0,1.0,1.0,1.0,1.0,1.0,0.0,sex(,200,1,3
0.0,0.0,0.34,0.0,1.0,1.0,1.0,1.0,1.0,0.0,sex(,200,1,4
0.0,0.0,0.45,0.0,1.0,1.0,1.0,1.0,1.0,0.0,sex(,200,1,5
0.14,0.8,0.51,0.24,0.91,0.86,0.9,0.9,0.86,0.0,sex(,200,1,6
0.17,1.0,0.52,0.29,0.92,0.83,0.9,0.9,0.83,0.0,sex(,200,1,7
0.22,1.0,0.45,0.36,0.89,0.78,0.85,0.85,0.78,0.0,sex(,200,1,8
0.17,0.82,0.43,0.28,0.88,0.83,0.86,0.86,0.83,0.0,sex(,200,1,9
0.15,0.75,0.45,0.25,0.88,0.85,0.88,0.88,0.85,0.0,sex(,200,1,10
0.0,0.0,0.39,0.0,1.0,1.0,1.0,1.0,1.0,0.0,sex(,200,2,1
0.03,1.0,0.51,0.06,0.98,0.97,0.98,0.98,0.97,0.0,sex(,200,2,2
0.0,0.0,0.3,0.0,1.0,1.0,1.0,1.0,1.0,0.0,sex(,200,2,3
0.02,0.5,0.34,0.04,0.97,0.98,0.97,0.97,0.98,0.0,sex(,200,2,4
0.0,0.0,0.45,0.0,1.0,1.0,1.0,1.0,1.0,0.0,sex(,200,2,5
0.0,0.0,0.45,0.0,1.0,1.0,1.0,1.0,1.0,0.0,sex(,200,2,6
0.06,1.0,0.45,0.11,0.97,0.94,0.97,0.97,0.94,0.0,sex(,200,2,7
0.0,0.0,0.3,0.0,1.0,1.0,1.0,1.0,1.0,0.0,sex(,200,2,8
0.0,0.0,0.34,0.0,1.0,1.0,1.0,1.0,1.0,0.0,sex(,200,2,9
0.0,0.0,0.38,0.0,1.0,1.0,1.0,1.0,1.0,0.0,sex(,200,2,10
0.0,0.0,0.39,0.0,1.0,1.0,1.0,1.0,1.0,0.0,sex(,200,3,1
0.0,0.0,0.49,0.0,1.0,1.0,1.0,1.0,1.0,0.0,sex(,200,3,2
0.05,0.5,0.3,0.09,0.92,0.95,0.93,0.93,0.95,0.0,sex(,200,3,3
0.0,0.0,0.32,0.0,0.98,1.0,0.99,0.99,1.0,0.0,sex(,200,3,4
0.0,0.0,0.45,0.0,1.0,1.0,1.0,1.0,1.0,0.0,sex(,200,3,5
0.0,0.0,0.45,0.0,1.0,1.0,1.0,1.0,1.0,0.0,sex(,200,3,6
0.0,0.0,0.42,0.0,1.0,1.0,1.0,1.0,1.0,0.0,sex(,200,3,7
0.0,0.0,0.3,0.0,1.0,1.0,1.0,1.0,1.0,0.0,sex(,200,3,8
0.0,0.0,0.34,0.0,1.0,1.0,1.0,1.0,1.0,0.0,sex(,200,3,9
0.0,0.0,0.38,0.0,1.0,1.0,1.0,1.0,1.0,0.0,sex(,200,3,10
0.0,0.0,0.39,0.0,1.0,1.0,1.0,1.0,1.0,0.0,sex(,200,4,1
0.0,0.0,0.49,0.0,1.0,1.0,1.0,1.0,1.0,0.0,sex(,200,4,2
0.0,0.0,0.3,0.0,1.0,1.0,1.0,1.0,1.0,0.0,sex(,200,4,3
0.0,0.0,0.34,0.0,1.0,1.0,1.0,1.0,1.0,0.0,sex(,200,4,4
0.0,0.0,0.45,0.0,1.0,1.0,1.0,1.0,1.0,0.0,sex(,200,4,5
0.0,0.0,0.45,0.0,1.0,1.0,1.0,1.0,1.0,0.0,sex(,200,4,6
0.0,0.0,0.42,0.0,1.0,1.0,1.0,1.0,1.0,0.0,sex(,200,4,7
0.0,0.0,0.3,0.0,1.0,1.0,1.0,1.0,1.0,0.0,sex(,200,4,8
0.0,0.0,0.34,0.0,1.0,1.0,1.0,1.0,1.0,0.0,sex(,200,4,9
0.0,0.0,0.38,0.0,1.0,1.0,1.0,1.0,1.0,0.0,sex(,200,4,10
0.0,0.0,0.39,0.0,1.0,1.0,1.0,1.0,1.0,0.0,sex(,200,5,1
0.0,0.0,0.49,0.0,1.0,1.0,1.0,1.0,1.0,0.0,sex(,200,5,2
0.0,0.0,0.28,0.0,0.97,1.0,0.98,0.98,1.0,0.0,sex(,200,5,3
0.02,0.5,0.34,0.04,0.97,0.98,0.97,0.97,0.98,0.0,sex(,200,5,4
0.0,0.0,0.45,0.0,1.0,1.0,1.0,1.0,1.0,0.0,sex(,200,5,5
0.0,0.0,0.45,0.0,1.0,1.0,1.0,1.0,1.0,0.0,sex(,200,5,6
0.0,0.0,0.42,0.0,1.0,1.0,1.0,1.0,1.0,0.0,sex(,200,5,7
0.0,0.0,0.3,0.0,1.0,1.0,1.0,1.0,1.0,0.0,sex(,200,5,8
0.0,0.0,0.34,0.0,1.0,1.0,1.0,1.0,1.0,0.0,sex(,200,5,9
0.0,0.0,0.38,0.0,1.0,1.0,1.0,1.0,1.0,0.0,sex(,200,5,10
