recall+,precision+,accuracy+,F1_Score+,AOD-,EOD-,SPD-,FA0-,FA1-,DI-,feature,sample_size,model_num,fold
0.0,0.0,0.48,0.0,1.0,1.0,1.0,1.0,1.0,0.0,race(,1235,0,1
0.36,0.62,0.54,0.46,0.15,0.09,0.14,0.32,0.64,0.55,sex(,1235,0,1
0.0,0.0,0.48,0.0,1.0,1.0,1.0,1.0,1.0,0.0,race(,1235,0,2
0.39,0.58,0.54,0.47,0.01,0.01,0.02,0.06,0.61,0.6,sex(,1235,0,2
0.0,0.0,0.5,0.0,1.0,1.0,1.0,1.0,1.0,0.0,race(,1235,0,3
0.39,0.57,0.55,0.46,0.06,0.03,0.05,0.13,0.61,0.64,sex(,1235,0,3
0.0,0.0,0.49,0.0,1.0,1.0,1.0,1.0,1.0,0.0,race(,1235,0,4
0.37,0.58,0.54,0.45,0.11,0.06,0.11,0.25,0.63,0.57,sex(,1235,0,4
0.0,0.0,0.44,0.0,1.0,1.0,1.0,1.0,1.0,0.0,race(,1235,0,5
0.32,0.54,0.49,0.4,0.09,0.06,0.08,0.2,0.68,0.62,sex(,1235,0,5
0.0,0.0,0.46,0.0,1.0,1.0,1.0,1.0,1.0,0.0,race(,1235,0,6
0.34,0.56,0.52,0.42,0.12,0.02,0.1,0.24,0.66,0.64,sex(,1235,0,6
0.0,0.0,0.49,0.0,1.0,1.0,1.0,1.0,1.0,0.0,race(,1235,0,7
0.38,0.56,0.53,0.45,0.06,0.01,0.05,0.13,0.62,0.61,sex(,1235,0,7
0.0,0.0,0.51,0.0,1.0,1.0,1.0,1.0,1.0,0.0,race(,1235,0,8
0.36,0.55,0.54,0.44,0.07,0.06,0.08,0.19,0.64,0.58,sex(,1235,0,8
0.0,0.0,0.5,0.0,1.0,1.0,1.0,1.0,1.0,0.0,race(,1235,0,9
0.36,0.58,0.55,0.44,0.14,0.06,0.13,0.29,0.64,0.57,sex(,1235,0,9
0.0,0.0,0.47,0.0,1.0,1.0,1.0,1.0,1.0,0.0,race(,1235,0,10
0.36,0.61,0.54,0.45,0.04,0.06,0.07,0.18,0.64,0.58,sex(,1235,0,10
0.0,0.0,0.48,0.0,1.0,1.0,1.0,1.0,1.0,0.0,race(,1235,1,1
