recall+,precision+,accuracy+,F1+,AOD-,EOD-,SPD-,DI-,FA0-,FA1-,biased_col,samples,rep
0.34,0.75,0.87,0.47,0.06,0.09,0.09,0.54,0.66,0.57,race(,36177,1
0.01,1.0,0.84,0.02,0.06,0.12,0.04,0.95,0.99,0.87,race(,250,1
0.12,0.71,0.85,0.21,0.03,0.05,0.03,0.51,0.88,0.83,race(,375,1
0.07,0.75,0.84,0.13,0.08,0.15,0.06,0.79,0.93,0.78,race(,500,1
0.06,0.72,0.84,0.11,0.11,0.19,0.07,0.84,0.94,0.75,race(,625,1
0.32,0.73,0.88,0.44,0.08,0.11,0.1,0.58,0.68,0.56,race(,36177,2
0.11,0.88,0.86,0.2,0.0,0.01,0.01,0.38,0.89,0.91,race(,258,2
0.05,0.9,0.85,0.09,0.06,0.11,0.04,0.85,0.95,0.85,race(,387,2
0.07,0.82,0.85,0.13,0.06,0.11,0.05,0.79,0.93,0.82,race(,516,2
0.07,0.76,0.85,0.13,0.08,0.14,0.06,0.82,0.93,0.79,race(,645,2
0.32,0.78,0.88,0.45,0.09,0.13,0.11,0.62,0.68,0.54,race(,36177,3
0.01,1.0,0.84,0.02,0.02,0.05,0.02,0.95,0.99,0.94,race(,248,3
0.01,1.0,0.84,0.02,0.06,0.12,0.04,0.98,0.99,0.88,race(,372,3
0.1,0.9,0.86,0.18,0.06,0.11,0.05,0.76,0.9,0.79,race(,496,3
0.08,0.94,0.86,0.15,0.06,0.1,0.05,0.78,0.92,0.81,race(,620,3
0.32,0.72,0.86,0.44,0.07,0.11,0.08,0.51,0.68,0.57,race(,36177,4
0.01,0.67,0.83,0.02,0.04,0.07,0.02,0.91,0.99,0.92,race(,262,4
0.08,0.82,0.84,0.15,0.03,0.05,0.03,0.61,0.92,0.86,race(,393,4
0.1,0.78,0.84,0.18,0.07,0.12,0.05,0.71,0.9,0.79,race(,524,4
0.1,0.78,0.84,0.18,0.08,0.13,0.06,0.72,0.9,0.78,race(,655,4
0.35,0.74,0.88,0.48,0.09,0.13,0.1,0.59,0.65,0.53,race(,36177,5
0.01,1.0,0.85,0.02,0.08,0.15,0.05,0.98,0.99,0.84,race(,258,5
0.06,0.92,0.86,0.11,0.07,0.12,0.05,0.83,0.94,0.81,race(,387,5
0.11,0.83,0.86,0.19,0.05,0.07,0.04,0.68,0.89,0.82,race(,516,5
0.11,0.83,0.86,0.19,0.08,0.14,0.06,0.77,0.89,0.75,race(,645,5
