recall+,precision+,accuracy+,F1+,AOD-,EOD-,SPD-,DI-,FA0-,FA1-,biased_col,samples,rep
0.48,0.64,0.87,0.55,0.03,0.03,0.08,0.38,0.52,0.49,race(,36177,1
0.44,0.68,0.88,0.53,0.04,0.05,0.08,0.43,0.56,0.51,race(,250,1
0.46,0.63,0.87,0.53,0.02,0.01,0.06,0.32,0.54,0.53,race(,375,1
0.48,0.6,0.86,0.53,0.02,0.02,0.06,0.3,0.52,0.5,race(,500,1
0.45,0.61,0.86,0.52,0.04,0.04,0.07,0.37,0.55,0.51,race(,625,1
0.48,0.7,0.89,0.57,0.04,0.03,0.09,0.47,0.52,0.48,race(,36177,2
0.43,0.77,0.89,0.55,0.08,0.08,0.12,0.58,0.57,0.48,race(,258,2
0.39,0.64,0.87,0.48,0.04,0.04,0.07,0.42,0.61,0.56,race(,387,2
0.44,0.7,0.88,0.54,0.04,0.02,0.09,0.47,0.56,0.54,race(,516,2
0.36,0.62,0.87,0.46,0.06,0.08,0.07,0.45,0.64,0.56,race(,645,2
0.48,0.66,0.88,0.56,0.04,0.05,0.09,0.44,0.52,0.46,race(,36177,3
0.43,0.58,0.86,0.49,0.06,0.07,0.09,0.43,0.57,0.5,race(,248,3
0.46,0.66,0.88,0.54,0.03,0.03,0.07,0.4,0.54,0.5,race(,372,3
0.26,0.78,0.87,0.39,0.14,0.22,0.13,0.71,0.74,0.52,race(,496,3
0.47,0.55,0.86,0.51,0.03,0.05,0.06,0.32,0.53,0.48,race(,620,3
0.49,0.69,0.88,0.57,0.04,0.04,0.08,0.41,0.51,0.47,race(,36177,4
0.34,0.66,0.86,0.45,0.08,0.13,0.08,0.48,0.66,0.53,race(,262,4
0.31,0.69,0.86,0.43,0.12,0.19,0.11,0.59,0.69,0.49,race(,393,4
0.33,0.76,0.87,0.46,0.12,0.17,0.12,0.62,0.67,0.5,race(,524,4
0.39,0.7,0.87,0.5,0.06,0.09,0.08,0.45,0.61,0.52,race(,655,4
0.51,0.7,0.89,0.59,0.04,0.04,0.1,0.47,0.49,0.45,race(,36177,5
0.51,0.55,0.86,0.53,0.02,0.02,0.06,0.3,0.49,0.47,race(,258,5
0.28,0.71,0.87,0.4,0.16,0.26,0.14,0.7,0.72,0.45,race(,387,5
0.43,0.7,0.89,0.53,0.06,0.08,0.09,0.49,0.57,0.49,race(,516,5
0.47,0.62,0.88,0.53,0.06,0.08,0.09,0.45,0.53,0.45,race(,645,5
0.5,0.65,0.88,0.57,0.03,0.03,0.07,0.38,0.5,0.47,race(,36177,6
0.45,0.65,0.87,0.53,0.04,0.06,0.08,0.42,0.55,0.49,race(,244,6
0.39,0.66,0.87,0.49,0.05,0.08,0.07,0.44,0.61,0.54,race(,366,6
0.49,0.63,0.87,0.55,0.01,0.0,0.06,0.32,0.51,0.51,race(,488,6
0.37,0.72,0.88,0.49,0.08,0.13,0.1,0.55,0.63,0.49,race(,610,6
0.43,0.69,0.87,0.53,0.06,0.09,0.09,0.47,0.57,0.48,race(,36177,7
0.4,0.74,0.88,0.52,0.06,0.07,0.09,0.5,0.6,0.53,race(,248,7
0.39,0.64,0.86,0.48,0.02,0.02,0.05,0.31,0.61,0.58,race(,372,7
0.35,0.74,0.87,0.48,0.09,0.14,0.1,0.56,0.65,0.51,race(,496,7
0.39,0.76,0.88,0.52,0.07,0.1,0.09,0.52,0.61,0.51,race(,620,7
0.5,0.67,0.88,0.57,0.02,0.02,0.07,0.37,0.5,0.48,race(,36177,8
0.29,0.64,0.86,0.4,0.1,0.16,0.09,0.57,0.71,0.55,race(,250,8
0.45,0.61,0.87,0.52,0.0,0.01,0.04,0.26,0.55,0.56,race(,375,8
0.47,0.61,0.87,0.53,0.04,0.06,0.08,0.4,0.53,0.48,race(,500,8
0.5,0.6,0.87,0.55,0.02,0.02,0.07,0.33,0.5,0.48,race(,625,8
0.47,0.65,0.88,0.55,0.06,0.08,0.09,0.44,0.53,0.45,race(,36177,9
0.31,0.84,0.88,0.45,0.12,0.19,0.12,0.69,0.69,0.51,race(,252,9
0.34,0.79,0.88,0.48,0.1,0.14,0.11,0.63,0.66,0.51,race(,378,9
0.48,0.62,0.87,0.54,0.04,0.05,0.08,0.4,0.52,0.47,race(,504,9
0.6,0.55,0.86,0.57,0.04,0.07,0.03,0.13,0.4,0.47,race(,630,9
0.46,0.67,0.88,0.55,0.06,0.09,0.1,0.47,0.54,0.45,race(,36177,10
0.32,0.69,0.87,0.44,0.11,0.18,0.11,0.6,0.68,0.5,race(,258,10
0.43,0.59,0.86,0.5,0.07,0.1,0.09,0.45,0.57,0.47,race(,387,10
0.48,0.58,0.86,0.53,0.04,0.06,0.07,0.36,0.52,0.47,race(,516,10
0.4,0.75,0.89,0.52,0.08,0.11,0.11,0.58,0.6,0.49,race(,645,10
0.32,0.6,0.89,0.42,0.16,0.23,0.19,0.75,0.68,0.45,sex(,36177,1
0.12,0.84,0.89,0.21,0.24,0.38,0.21,0.92,0.88,0.5,sex(,250,1
0.24,0.73,0.9,0.36,0.18,0.28,0.19,0.83,0.76,0.48,sex(,375,1
0.21,0.82,0.9,0.33,0.22,0.32,0.21,0.87,0.79,0.47,sex(,500,1
