recall+,precision+,accuracy+,F1+,AOD-,EOD-,SPD-,DI-,FA0-,FA1-,biased_col,samples,rep
0.33,0.66,0.83,0.44,0.02,0.03,0.03,0.25,0.67,0.63,SEX(,24000,1
0.26,0.58,0.81,0.36,0.02,0.03,0.03,0.22,0.74,0.71,SEX(,236,1
0.26,0.6,0.82,0.36,0.04,0.06,0.05,0.34,0.74,0.68,SEX(,354,1
0.31,0.55,0.81,0.4,0.02,0.03,0.02,0.17,0.69,0.66,SEX(,472,1
0.29,0.55,0.81,0.38,0.04,0.06,0.04,0.29,0.71,0.65,SEX(,590,1
0.36,0.69,0.83,0.47,0.02,0.03,0.04,0.24,0.64,0.6,SEX(,24000,2
0.25,0.56,0.8,0.35,0.0,0.02,0.01,0.08,0.75,0.76,SEX(,230,2
0.31,0.65,0.82,0.42,0.05,0.06,0.05,0.34,0.69,0.63,SEX(,345,2
0.16,0.59,0.8,0.25,0.02,0.03,0.02,0.25,0.84,0.8,SEX(,460,2
0.26,0.66,0.82,0.37,0.01,0.01,0.02,0.19,0.74,0.73,SEX(,575,2
0.37,0.64,0.84,0.47,0.02,0.02,0.02,0.17,0.63,0.62,SEX(,24000,3
0.29,0.6,0.83,0.39,0.04,0.05,0.04,0.3,0.71,0.66,SEX(,242,3
0.27,0.59,0.82,0.37,0.06,0.08,0.05,0.37,0.73,0.65,SEX(,363,3
0.23,0.6,0.82,0.33,0.0,0.0,0.01,0.12,0.77,0.76,SEX(,484,3
0.24,0.58,0.82,0.34,0.04,0.06,0.03,0.3,0.76,0.71,SEX(,605,3
0.37,0.69,0.83,0.48,0.0,0.0,0.02,0.13,0.63,0.63,SEX(,24000,4
0.35,0.52,0.79,0.42,0.0,0.0,0.0,0.02,0.65,0.65,SEX(,242,4
0.31,0.61,0.81,0.41,0.04,0.06,0.04,0.29,0.69,0.63,SEX(,363,4
0.31,0.66,0.82,0.42,0.0,0.0,0.01,0.08,0.69,0.69,SEX(,484,4
0.36,0.64,0.82,0.46,0.01,0.01,0.02,0.12,0.64,0.63,SEX(,605,4
0.34,0.65,0.82,0.45,0.02,0.04,0.03,0.22,0.66,0.62,SEX(,24000,5
0.28,0.63,0.81,0.39,0.03,0.05,0.02,0.21,0.72,0.67,SEX(,230,5
0.4,0.62,0.82,0.49,0.03,0.04,0.03,0.2,0.6,0.56,SEX(,345,5
0.19,0.7,0.81,0.3,0.02,0.02,0.02,0.21,0.81,0.79,SEX(,460,5
0.27,0.65,0.82,0.38,0.04,0.05,0.03,0.28,0.73,0.68,SEX(,575,5
0.36,0.66,0.82,0.47,0.02,0.02,0.03,0.21,0.64,0.63,SEX(,24000,6
0.24,0.56,0.8,0.34,0.0,0.02,0.01,0.07,0.76,0.78,SEX(,230,6
0.17,0.48,0.78,0.25,0.03,0.05,0.02,0.23,0.83,0.78,SEX(,345,6
0.32,0.58,0.8,0.41,0.04,0.06,0.04,0.28,0.68,0.62,SEX(,460,6
0.31,0.64,0.82,0.42,0.01,0.0,0.02,0.2,0.69,0.69,SEX(,575,6
0.35,0.63,0.83,0.45,0.02,0.03,0.03,0.23,0.65,0.61,SEX(,24000,7
0.31,0.62,0.82,0.41,0.0,0.01,0.02,0.14,0.69,0.7,SEX(,238,7
0.33,0.6,0.82,0.43,0.01,0.03,0.01,0.07,0.67,0.71,SEX(,357,7
0.3,0.56,0.81,0.39,0.02,0.03,0.02,0.16,0.7,0.67,SEX(,476,7
0.34,0.64,0.83,0.44,0.02,0.05,0.01,0.11,0.66,0.71,SEX(,595,7
0.35,0.66,0.83,0.46,0.03,0.05,0.03,0.19,0.65,0.6,SEX(,24000,8
0.18,0.69,0.81,0.29,0.01,0.03,0.0,0.05,0.82,0.85,SEX(,236,8
0.36,0.59,0.81,0.45,0.04,0.07,0.03,0.2,0.64,0.57,SEX(,354,8
0.22,0.64,0.81,0.33,0.01,0.02,0.0,0.0,0.78,0.79,SEX(,472,8
0.32,0.59,0.81,0.41,0.03,0.05,0.02,0.18,0.68,0.63,SEX(,590,8
0.36,0.67,0.83,0.47,0.02,0.01,0.03,0.23,0.64,0.63,SEX(,24000,9
0.29,0.66,0.82,0.4,0.02,0.01,0.02,0.19,0.71,0.7,SEX(,238,9
0.42,0.54,0.81,0.47,0.0,0.02,0.01,0.07,0.58,0.6,SEX(,357,9
0.32,0.59,0.81,0.41,0.0,0.0,0.01,0.11,0.68,0.68,SEX(,476,9
0.29,0.61,0.81,0.39,0.02,0.02,0.02,0.19,0.71,0.69,SEX(,595,9
0.35,0.67,0.83,0.46,0.02,0.04,0.03,0.21,0.65,0.61,SEX(,24000,10
0.38,0.61,0.82,0.47,0.01,0.01,0.02,0.12,0.62,0.61,SEX(,240,10
0.37,0.59,0.81,0.45,0.04,0.04,0.04,0.22,0.63,0.6,SEX(,360,10
0.33,0.58,0.81,0.42,0.02,0.02,0.02,0.15,0.67,0.64,SEX(,480,10
0.32,0.62,0.82,0.42,0.02,0.04,0.03,0.19,0.68,0.64,SEX(,600,10
