recall+,precision+,accuracy+,F1+,AOD-,EOD-,SPD-,DI-,FA0-,FA1-,biased_col,samples,rep
0.9,0.93,0.93,0.91,0.03,0.07,0.09,-0.29,0.1,0.18,sex(,835,1
0.54,0.46,0.53,0.5,0.0,0.08,0.03,-0.07,0.46,0.38,sex(,20,1
0.44,0.45,0.52,0.44,0.27,0.26,0.28,-1.82,0.56,0.82,sex(,30,1
0.65,0.58,0.65,0.61,0.26,0.26,0.28,-1.39,0.35,0.62,sex(,40,1
0.58,0.48,0.55,0.53,0.02,0.03,0.04,-0.09,0.42,0.38,sex(,50,1
0.91,0.93,0.94,0.92,0.06,0.14,0.08,-0.3,0.09,0.23,sex(,835,2
0.75,0.42,0.52,0.54,0.51,0.48,0.53,-3.72,0.25,0.73,sex(,22,2
0.7,0.46,0.57,0.56,0.28,0.27,0.29,-0.98,0.3,0.57,sex(,33,2
0.77,0.67,0.77,0.72,0.18,0.31,0.16,-0.6,0.23,0.53,sex(,44,2
0.8,0.6,0.73,0.69,0.22,0.3,0.22,-0.82,0.2,0.5,sex(,55,2
0.87,0.94,0.91,0.9,0.06,0.12,0.11,-0.31,0.13,0.25,sex(,835,3
0.42,0.46,0.48,0.44,0.04,0.06,0.06,-0.15,0.58,0.52,sex(,20,3
0.35,0.7,0.61,0.47,0.02,0.03,0.0,0.0,0.65,0.62,sex(,30,3
0.55,0.71,0.67,0.62,0.14,0.22,0.14,-0.62,0.45,0.68,sex(,40,3
0.58,0.71,0.68,0.64,0.1,0.12,0.07,0.15,0.42,0.3,sex(,50,3
0.96,0.9,0.94,0.93,0.05,0.12,0.12,-0.42,0.04,0.17,sex(,835,4
0.58,0.44,0.56,0.5,0.17,0.2,0.17,-0.52,0.42,0.62,sex(,20,4
0.51,0.49,0.61,0.5,0.17,0.18,0.19,-0.91,0.49,0.67,sex(,30,4
0.71,0.5,0.62,0.59,0.28,0.29,0.31,-1.35,0.29,0.58,sex(,40,4
0.53,0.69,0.73,0.6,0.26,0.22,0.23,0.44,0.47,0.25,sex(,50,4
0.9,0.93,0.92,0.91,0.0,0.06,0.06,-0.15,0.1,0.16,sex(,835,5
0.79,0.52,0.55,0.63,0.26,0.22,0.29,-0.65,0.21,0.44,sex(,18,5
0.48,0.67,0.64,0.56,0.1,0.02,0.09,0.21,0.52,0.5,sex(,27,5
0.62,0.62,0.64,0.62,0.1,0.15,0.11,-0.31,0.38,0.53,sex(,36,5
0.64,0.54,0.57,0.59,0.06,0.05,0.07,-0.13,0.36,0.41,sex(,45,5
0.92,0.88,0.92,0.9,0.04,0.08,0.12,-0.4,0.08,0.16,sex(,835,6
0.37,0.41,0.54,0.39,0.18,0.13,0.2,-1.32,0.63,0.76,sex(,22,6
0.57,0.67,0.72,0.62,0.11,0.17,0.12,-0.52,0.43,0.6,sex(,33,6
0.82,0.53,0.65,0.64,0.27,0.26,0.31,-1.06,0.18,0.44,sex(,44,6
0.65,0.59,0.69,0.62,0.36,0.45,0.36,-5.17,0.35,0.8,sex(,55,6
0.84,0.91,0.9,0.87,0.01,0.0,0.07,-0.21,0.16,0.16,sex(,835,7
0.68,0.5,0.57,0.58,0.08,0.16,0.07,-0.13,0.32,0.48,sex(,20,7
0.58,0.44,0.5,0.5,0.29,0.23,0.31,-1.16,0.42,0.65,sex(,30,7
0.7,0.61,0.68,0.65,0.08,0.18,0.09,-0.23,0.3,0.48,sex(,40,7
0.46,0.66,0.66,0.54,0.03,0.12,0.03,-0.1,0.54,0.42,sex(,50,7
0.86,0.96,0.92,0.91,0.04,0.03,0.02,0.06,0.14,0.11,sex(,835,8
0.29,0.43,0.53,0.35,0.25,0.25,0.25,0.46,0.71,0.46,sex(,20,8
0.57,0.5,0.57,0.53,0.06,0.08,0.05,0.09,0.43,0.35,sex(,30,8
0.73,0.57,0.65,0.64,0.07,0.17,0.04,0.07,0.27,0.11,sex(,40,8
0.29,0.6,0.61,0.39,0.34,0.46,0.31,0.6,0.71,0.24,sex(,50,8
0.96,0.9,0.93,0.93,0.1,0.15,0.1,-0.27,0.04,0.19,sex(,835,9
0.28,0.39,0.5,0.33,0.15,0.29,0.13,0.3,0.72,0.43,sex(,22,9
0.56,0.58,0.63,0.57,0.02,0.07,0.01,0.02,0.44,0.38,sex(,33,9
0.57,0.53,0.59,0.55,0.31,0.3,0.32,-1.95,0.43,0.73,sex(,44,9
0.72,0.64,0.7,0.68,0.2,0.24,0.19,-0.64,0.28,0.51,sex(,55,9
0.89,0.91,0.93,0.9,0.02,0.08,0.03,-0.08,0.11,0.19,sex(,835,10
0.57,0.53,0.64,0.55,0.34,0.48,0.31,-2.71,0.43,0.91,sex(,22,10
0.43,0.37,0.5,0.4,0.24,0.21,0.24,-1.18,0.57,0.78,sex(,33,10
0.43,0.51,0.62,0.47,0.05,0.11,0.03,0.09,0.57,0.47,sex(,44,10
0.53,0.71,0.74,0.61,0.1,0.06,0.11,0.27,0.47,0.41,sex(,55,10
