ranking,feature,occurances_pct,model_num
1,Unrelated_column_one,0.997,0
1,default_no,0.001,0
1,default_yes,0.002,0
2,Balance,0.0,0
2,Campaign,0.007,0
2,Day,0.002,0
2,Duration,0.002,0
2,Pdays,0.006,0
2,Previous,0.003,0
2,Unrelated_column_one,0.003,0
2,default_no,0.427,0
2,default_yes,0.416,0
2,housing_no,0.013,0
2,housing_yes,0.012,0
2,loan_no,0.061,0
2,loan_yes,0.046,0
3,Age(,0.004,0
3,Balance,0.007,0
3,Campaign,0.01,0
3,Day,0.006,0
3,Duration,0.009,0
3,Pdays,0.018,0
3,Previous,0.018,0
3,default_no,0.245,0
3,default_yes,0.248,0
3,housing_no,0.068,0
3,housing_yes,0.067,0
3,loan_no,0.155,0
3,loan_yes,0.148,0
1,Unrelated_column_one,0.998,1
1,default_no,0.002,1
1,default_yes,0.0,1
2,Age(,0.001,1
2,Balance,0.0,1
2,Day,0.001,1
2,Duration,0.0,1
2,Pdays,0.001,1
2,Previous,0.001,1
2,Unrelated_column_one,0.002,1
2,default_no,0.435,1
2,default_yes,0.417,1
2,housing_no,0.015,1
2,housing_yes,0.014,1
2,loan_no,0.055,1
2,loan_yes,0.058,1
3,Age(,0.004,1
3,Balance,0.006,1
3,Campaign,0.005,1
3,Day,0.006,1
3,Duration,0.005,1
3,Pdays,0.004,1
3,Previous,0.007,1
3,default_no,0.25,1
3,default_yes,0.257,1
3,housing_no,0.079,1
3,housing_yes,0.076,1
3,loan_no,0.152,1
3,loan_yes,0.15,1
1,Campaign,0.002,5
1,Duration,0.0,5
1,Pdays,0.0,5
1,Previous,0.0,5
1,Unrelated_column_one,0.987,5
1,default_no,0.003,5
1,default_yes,0.007,5
2,Age(,0.006,5
2,Balance,0.002,5
2,Campaign,0.007,5
2,Day,0.001,5
2,Duration,0.005,5
2,Pdays,0.019,5
2,Previous,0.013,5
2,Unrelated_column_one,0.012,5
2,default_no,0.407,5
2,default_yes,0.407,5
2,housing_no,0.014,5
2,housing_yes,0.013,5
2,loan_no,0.052,5
2,loan_yes,0.044,5
3,Age(,0.033,5
3,Balance,0.012,5
3,Campaign,0.021,5
3,Day,0.009,5
3,Duration,0.01,5
3,Pdays,0.057,5
3,Previous,0.038,5
3,Unrelated_column_one,0.001,5
3,default_no,0.227,5
3,default_yes,0.232,5
3,housing_no,0.059,5
3,housing_yes,0.062,5
3,loan_no,0.114,5
3,loan_yes,0.126,5
1,Unrelated_column_one,0.994,7
1,default_no,0.004,7
1,default_yes,0.002,7
2,Age(,0.071,7
2,Balance,0.008,7
2,Campaign,0.011,7
2,Day,0.0,7
2,Duration,0.004,7
2,Pdays,0.036,7
2,Previous,0.025,7
2,Unrelated_column_one,0.006,7
2,default_no,0.38,7
2,default_yes,0.381,7
2,housing_no,0.005,7
2,housing_yes,0.008,7
2,loan_no,0.031,7
2,loan_yes,0.034,7
3,Age(,0.111,7
3,Balance,0.025,7
3,Campaign,0.055,7
3,Day,0.003,7
3,Duration,0.023,7
3,Pdays,0.1,7
3,Previous,0.087,7
3,default_no,0.189,7
3,default_yes,0.185,7
3,housing_no,0.031,7
3,housing_yes,0.027,7
3,loan_no,0.076,7
3,loan_yes,0.089,7
