128_sex( 0.32 0.47 0.27 0.44 0.36 0.47 0.37 0.52 0.26 0.37
128_race( 0.08 0.11 0.77 0.02 0.11 0.1 0.18 0.0 0.12 0.18
384_sex( 0.32 0.47 0.26 0.44 0.36 0.47 0.37 0.52 0.26 0.37
384_race( 0.08 0.11 0.77 0.02 0.11 0.1 0.18 0.0 0.12 0.18
256_sex( 0.32 0.47 0.25 0.44 0.36 0.47 0.37 0.52 0.26 0.37
256_race( 0.08 0.11 0.79 0.02 0.11 0.1 0.18 0.0 0.12 0.18
512_sex( 0.32 0.47 0.27 0.44 0.36 0.47 0.37 0.52 0.26 0.35
512_race( 0.08 0.11 0.78 0.02 0.11 0.1 0.18 0.0 0.12 0.18
640_sex( 0.32 0.47 0.27 0.44 0.36 0.47 0.37 0.52 0.25 0.35
640_race( 0.08 0.11 0.8 0.02 0.11 0.1 0.18 0.0 0.12 0.18
4937_sex( 0.16 0.16 0.11 0.18 0.16 0.2 0.2 0.18 0.14 0.13
4937_race( 0.15 0.15 0.1 0.13 0.1 0.22 0.13 0.16 0.13 0.15
