recall+,precision+,accuracy+,F1_Score+,AOD-,EOD-,SPD-,FA0-,FA1-,DI-,flip_rate,feature,sample_size,model_num,smoted
0.45,0.45,1.0,0.62,-0.17,-0.34,0.34,0.43,0.55,0.21,0.0,Age(,11162,0,0
0.53,0.53,1.0,0.69,-0.05,-0.1,0.1,0.16,0.47,0.37,0.01,Age(,11162,0,1
0.44,0.44,1.0,0.61,-0.14,-0.29,0.29,0.4,0.56,0.27,0.0,Age(,11162,0,0
0.54,0.54,1.0,0.7,-0.06,-0.12,0.12,0.19,0.46,0.33,0.02,Age(,11162,0,1
0.42,0.42,1.0,0.59,-0.18,-0.35,0.35,0.46,0.58,0.22,0.0,Age(,11162,0,0
0.56,0.56,1.0,0.72,0.06,0.12,0.12,-0.26,0.44,0.56,0.03,Age(,11162,0,1
0.39,0.39,1.0,0.56,-0.28,-0.56,0.56,0.58,0.61,0.05,0.0,Age(,11162,0,0
0.51,0.51,1.0,0.68,-0.02,-0.04,0.04,0.08,0.49,0.45,0.01,Age(,11162,0,1
0.43,0.43,1.0,0.6,-0.26,-0.52,0.52,0.55,0.57,0.05,0.0,Age(,11162,0,0
0.52,0.52,1.0,0.68,-0.09,-0.18,0.18,0.25,0.48,0.3,0.01,Age(,11162,0,1
0.44,0.44,1.0,0.61,-0.2,-0.41,0.41,0.48,0.56,0.14,0.0,Age(,11162,0,0
0.53,0.53,1.0,0.69,-0.04,-0.09,0.09,0.14,0.47,0.38,0.0,Age(,11162,0,1
0.44,0.44,1.0,0.61,-0.19,-0.38,0.38,0.46,0.56,0.18,0.0,Age(,11162,0,0
0.52,0.52,1.0,0.68,-0.04,-0.07,0.07,0.12,0.48,0.41,0.0,Age(,11162,0,1
0.39,0.39,1.0,0.56,-0.19,-0.38,0.38,0.49,0.61,0.23,0.0,Age(,11162,0,0
0.52,0.52,1.0,0.68,-0.05,-0.1,0.1,0.16,0.48,0.38,0.05,Age(,11162,0,1
