recall+,precision+,accuracy+,F1_Score+,AOD-,EOD-,SPD-,FA0-,FA1-,DI-,flip_rate,feature,sample_size,model_num,smoted
0.0,0.5,0.0,0.0,-0.25,-1.0,0.5,0.5,0.0,0.0,0.0,Racepctwhite(,123,0,0
0.0,0.5,0.0,0.0,-0.25,-1.0,0.5,0.5,0.0,0.0,0.0,Racepctwhite(,123,0,1
0.5,0.33,0.5,0.5,0.25,0.5,0.33,0.33,0.0,0.5,0.0,Racepctwhite(,123,0,0
0.5,0.33,0.5,0.5,0.25,0.5,0.33,0.33,0.0,0.5,0.0,Racepctwhite(,123,0,1
0.0,1.0,0.0,0.0,-0.5,0.0,1.0,1.0,0.0,0.0,0.0,Racepctwhite(,123,0,0
0.0,1.0,0.0,0.0,-0.5,0.0,1.0,1.0,0.0,0.0,0.0,Racepctwhite(,123,0,1
0.67,0.6,0.67,0.67,-0.16,-0.33,0.07,0.1,0.0,0.33,0.0,Racepctwhite(,123,0,0
0.67,0.6,0.67,0.67,-0.42,-0.33,0.4,0.4,0.0,0.33,0.0,Racepctwhite(,123,0,1
0.5,0.5,1.0,0.67,0.25,0.5,,,0.0,0.5,0.0,Racepctwhite(,123,0,0
0.5,0.5,1.0,0.67,0.25,0.5,,,0.0,0.5,0.0,Racepctwhite(,123,0,1
0.0,0.5,0.0,0.0,-0.34,-1.0,0.75,0.75,0.0,1.0,0.0,Racepctwhite(,123,0,0
0.0,0.5,0.0,0.0,-0.34,-1.0,0.75,0.75,0.0,1.0,0.0,Racepctwhite(,123,0,1
0.0,0.67,0.0,0.0,-0.5,0.0,0.5,1.0,1.0,1.0,0.0,Racepctwhite(,123,0,0
0.0,0.67,0.0,0.0,0.0,0.0,0.0,,1.0,1.0,0.0,Racepctwhite(,123,0,1
1.0,1.0,1.0,1.0,0.0,0.0,0.75,0.75,0.0,0.0,0.0,Racepctwhite(,123,0,0
1.0,1.0,1.0,1.0,0.0,0.0,0.75,0.75,0.0,0.0,0.0,Racepctwhite(,123,0,1
0.25,0.5,1.0,0.4,0.12,0.25,,,0.0,0.75,0.0,Racepctwhite(,123,0,0
0.5,0.67,1.0,0.67,0.25,0.5,,,0.0,0.5,0.0,Racepctwhite(,123,0,1
0.25,0.5,1.0,0.4,0.12,0.25,,,0.0,0.75,0.0,Racepctwhite(,123,0,0
0.25,0.5,1.0,0.4,0.12,0.25,,,0.0,0.75,0.0,Racepctwhite(,123,0,1
0.5,0.67,1.0,0.67,0.25,0.5,,,0.0,0.5,0.0,Racepctwhite(,16,1,0
0.25,0.5,1.0,0.4,0.12,0.25,,,0.0,0.75,0.0,Racepctwhite(,16,1,1
0.5,0.67,1.0,0.67,0.25,0.5,,,0.0,0.5,0.0,Racepctwhite(,16,1,0
0.25,0.5,1.0,0.4,0.12,0.25,,,0.0,0.75,0.0,Racepctwhite(,16,1,1
0.75,0.83,1.0,0.86,0.38,0.75,,,0.0,0.25,0.0,Racepctwhite(,16,1,0
0.0,0.33,0.0,0.0,0.0,0.0,,,0.0,1.0,0.48,Racepctwhite(,16,1,1
0.5,0.67,1.0,0.67,0.25,0.5,,,0.0,0.5,0.0,Racepctwhite(,16,1,0
0.25,0.5,1.0,0.4,0.12,0.25,,,0.0,0.75,0.0,Racepctwhite(,16,1,1
0.5,0.67,1.0,0.67,0.25,0.5,,,0.0,0.5,0.0,Racepctwhite(,16,1,0
0.25,0.5,1.0,0.4,0.12,0.25,,,0.0,0.75,0.0,Racepctwhite(,16,1,1
0.5,0.67,1.0,0.67,0.25,0.5,,,0.0,0.5,0.0,Racepctwhite(,16,1,0
0.25,0.5,1.0,0.4,0.12,0.25,,,0.0,0.75,0.0,Racepctwhite(,16,1,1
0.75,0.83,1.0,0.86,0.38,0.75,,,0.0,0.25,0.0,Racepctwhite(,16,1,0
0.25,0.5,1.0,0.4,0.12,0.25,,,0.0,0.75,0.0,Racepctwhite(,16,1,1
0.5,0.67,1.0,0.67,0.25,0.5,,,0.0,0.5,0.0,Racepctwhite(,16,1,0
0.25,0.5,1.0,0.4,0.12,0.25,,,0.0,0.75,0.0,Racepctwhite(,16,1,1
