0_sex( 0.3 0.29 0.45 0.26 0.24 0.36 0.39 0.39 0.2 0.31
0_race( 0.16 0.31 0.23 0.36 0.36 0.24 0.35 0.42 0.34 0.38
1_sex( 0.32 0.22 0.32 0.44 0.3 0.38 0.38 0.41 0.25 0.38
1_race( 0.32 0.38 0.33 0.45 0.2 0.34 0.29 0.3 0.27 0.3
2_sex( 0.31 0.45 0.29 0.36 0.39 0.24 0.4 0.36 0.34 0.34
2_race( 0.35 0.29 0.37 0.36 0.33 0.28 0.36 0.46 0.38 0.41
3_sex( 0.34 0.36 0.35 0.36 0.35 0.35 0.29 0.39 0.27 0.31
3_race( 0.35 0.34 0.33 0.29 0.35 0.29 0.35 0.31 0.39 0.34
4_sex( 0.38 0.36 0.36 0.37 0.37 0.37 0.4 0.4 0.35 0.34
4_race( 0.39 0.37 0.34 0.38 0.35 0.4 0.39 0.42 0.36 0.37
