0_race( 0.07 0.26 0.19 0.27 0.21 0.2 0.05 0.07 0.18 0.11
0_sex( 0.04 0.1 0.09 0.05 0.07 0.06 0.04 0.08 0.08 0.11
1_race( 0.27 0.2 0.07 0.21 0.29 0.21 0.16 0.17 0.24 0.19
1_sex( 0.1 0.11 0.08 0.05 0.07 0.06 0.07 0.08 0.09 0.1
2_race( 0.26 0.18 0.22 0.28 0.24 0.13 0.16 0.23 0.26 0.18
2_sex( 0.09 0.13 0.09 0.06 0.11 0.09 0.05 0.12 0.11 0.12
3_race( 0.28 0.2 0.19 0.29 0.31 0.18 0.12 0.17 0.14 0.26
3_sex( 0.09 0.12 0.09 0.08 0.09 0.12 0.07 0.09 0.11 0.17
4_race( 0.33 0.35 0.34 0.35 0.34 0.36 0.29 0.35 0.36 0.31
4_sex( 0.18 0.24 0.22 0.19 0.23 0.27 0.18 0.23 0.24 0.24
