1024_RF_race( 0.61 0.65 0.66 0.64 0.84 0.59 0.82 0.65 0.59 0.71
1024_RF_sex( 0.7 0.74 0.71 0.74 0.75 0.65 0.63 0.78 0.64 0.81
1024_LSR_race( 0.76 0.82 0.76 0.73 0.87 0.76 0.84 0.79 0.75 0.76
1024_LSR_sex( 0.78 0.95 0.77 0.82 0.84 0.83 0.95 0.73 0.85 0.94
1024_SVC_race( 0.81 0.79 0.81 0.72 0.84 0.77 0.9 0.78 0.75 0.8
1024_SVC_sex( 0.77 0.91 0.78 0.81 0.8 0.81 0.88 0.76 0.92 0.92
1024_Slack_race( 0.29 0.15 0.48 0.2 0.26 0.09 0.08 0.07 0.12 0.2
1024_Slack_sex( 0.13 0.14 0.12 0.12 0.12 0.11 0.13 0.12 0.12 0.12
1536_RF_race( 0.65 0.68 0.77 0.73 0.68 0.75 0.59 0.66 0.62 0.68
1536_RF_sex( 0.72 0.6 0.57 0.53 0.58 0.68 0.82 0.76 0.65 0.73
1536_LSR_race( 0.72 0.82 0.77 0.8 0.85 0.72 0.76 0.79 0.86 0.65
1536_LSR_sex( 0.85 0.83 0.85 0.88 0.85 0.84 0.8 0.88 0.92 0.98
1536_SVC_race( 0.76 0.82 0.77 0.77 0.73 0.75 0.85 0.75 0.85 0.71
1536_SVC_sex( 0.8 0.82 0.86 0.81 0.71 0.88 0.83 0.76 0.86 0.96
1536_Slack_race( 0.14 0.17 0.03 0.25 0.1 0.41 0.02 0.27 0.31 0.3
1536_Slack_sex( 0.13 0.14 0.11 0.12 0.12 0.11 0.13 0.12 0.12 0.12
1792_RF_race( 0.65 0.68 0.65 0.71 0.67 0.67 0.71 0.66 0.71 0.78
1792_RF_sex( 0.85 0.68 0.58 0.73 0.66 0.67 0.67 0.68 0.65 0.75
1792_LSR_race( 0.71 0.82 0.74 0.76 0.81 0.67 0.81 0.75 0.84 0.72
1792_LSR_sex( 0.85 0.98 0.87 0.86 0.9 0.91 0.9 0.87 0.81 0.84
1792_SVC_race( 0.72 0.84 0.76 0.77 0.79 0.76 0.79 0.78 0.83 0.8
1792_SVC_sex( 0.87 0.94 0.82 0.75 0.88 0.91 0.86 0.85 0.75 0.86
1792_Slack_race( 0.16 0.26 0.17 0.35 0.08 0.05 0.07 0.07 0.05 0.36
1792_Slack_sex( 0.13 0.14 0.12 0.12 0.12 0.11 0.13 0.12 0.12 0.12
1280_RF_race( 0.61 0.7 0.68 0.7 0.81 0.63 0.68 0.63 0.72 0.66
1280_RF_sex( 0.68 0.62 0.64 0.65 0.63 0.63 0.68 0.73 0.72 0.66
1280_LSR_race( 0.85 0.81 0.85 0.69 0.75 0.67 0.78 0.78 0.78 0.78
1280_LSR_sex( 0.84 0.97 0.76 0.89 0.83 0.95 0.86 0.81 0.84 0.9
1280_SVC_race( 0.87 0.84 0.85 0.76 0.9 0.71 0.85 0.74 0.9 0.77
1280_SVC_sex( 0.79 0.96 0.74 0.86 0.84 0.95 0.8 0.71 0.84 0.85
1280_Slack_race( 0.0 0.21 0.12 0.27 0.16 0.14 0.31 0.48 0.21 0.3
1280_Slack_sex( 0.13 0.14 0.12 0.12 0.12 0.11 0.13 0.12 0.12 0.12
2048_RF_race( 0.6 0.63 0.65 0.69 0.66 0.56 0.73 0.71 0.64 0.68
2048_RF_sex( 0.79 0.67 0.79 0.61 0.85 0.62 0.62 0.64 0.67 0.65
2048_LSR_race( 0.74 0.77 0.73 0.81 0.84 0.71 0.73 0.84 0.85 0.72
2048_LSR_sex( 0.84 0.87 0.86 0.85 0.83 0.91 0.86 0.81 0.83 0.85
2048_SVC_race( 0.75 0.83 0.76 0.76 0.84 0.73 0.8 0.82 0.83 0.76
2048_SVC_sex( 0.84 0.86 0.81 0.77 0.77 0.85 0.76 0.79 0.82 0.84
2048_Slack_race( 0.15 0.08 0.07 0.15 0.19 0.11 0.03 0.06 0.11 0.2
2048_Slack_sex( 0.13 0.14 0.12 0.12 0.12 0.11 0.13 0.12 0.12 0.12
2304_RF_race( 0.67 0.78 0.74 0.73 0.73 0.66 0.71 0.64 0.72 0.66
2304_RF_sex( 0.72 0.69 0.66 0.6 0.78 0.71 0.64 0.61 0.64 0.78
2304_LSR_race( 0.74 0.77 0.87 0.79 0.84 0.69 0.8 0.81 0.82 0.7
2304_LSR_sex( 0.89 0.93 0.77 0.78 0.83 0.85 0.86 0.81 0.92 0.77
2304_SVC_race( 0.74 0.81 0.81 0.78 0.78 0.69 0.84 0.77 0.83 0.75
2304_SVC_sex( 0.8 0.92 0.79 0.81 0.79 0.87 0.79 0.76 0.8 0.85
2304_Slack_race( 0.11 0.02 0.04 0.19 0.1 0.31 0.11 0.0 0.09 0.14
2304_Slack_sex( 0.13 0.14 0.12 0.12 0.12 0.11 0.13 0.12 0.12 0.12
2560_RF_race( 0.62 0.75 0.71 0.74 0.65 0.64 0.75 0.72 0.66 0.73
2560_RF_sex( 0.76 0.69 0.54 0.71 0.64 0.62 0.57 0.62 0.64 0.69
2560_LSR_race( 0.76 0.74 0.82 0.82 0.77 0.67 0.79 0.79 0.71 0.74
2560_LSR_sex( 0.85 0.89 0.8 0.81 0.79 0.85 0.82 0.78 0.87 0.87
2560_SVC_race( 0.73 0.86 0.87 0.82 0.78 0.73 0.81 0.81 0.84 0.78
2560_SVC_sex( 0.83 0.89 0.78 0.71 0.79 0.81 0.78 0.69 0.84 0.87
2560_Slack_race( 0.41 0.09 0.2 0.31 0.14 0.18 0.12 0.22 0.2 0.22
2560_Slack_sex( 0.13 0.14 0.12 0.12 0.11 0.11 0.13 0.12 0.12 0.13
36177_RF_race( 0.62 0.66 0.64 0.68 0.65 0.64 0.7 0.68 0.65 0.64
36177_RF_sex( 0.6 0.6 0.54 0.57 0.63 0.59 0.6 0.6 0.58 0.62
36177_Slack_race( 0.25 0.15 0.18 0.17 0.08 0.16 0.14 0.27 0.11 0.11
