64_RF_Age( 0.67 0.74 0.57 0.65 0.61 0.76 0.5 0.73 0.72 0.87
64_LSR_Age( 0.83 0.74 0.61 0.79 0.9 0.84 0.89 0.73 0.75 0.94
64_SVC_Age( 0.79 0.79 0.65 0.85 0.77 0.76 0.89 0.73 0.75 0.9
64_Slack_Age( 0.0 0.06 0.0 0.0 0.13 0.04 0.18 0.07 0.03 0.1
96_RF_Age( 0.38 0.85 0.65 0.68 0.65 0.64 0.71 0.57 0.53 0.71
96_LSR_Age( 0.96 0.82 0.57 0.79 0.84 0.84 0.82 0.87 0.69 0.84
96_SVC_Age( 0.96 0.79 0.61 0.79 0.87 0.76 0.89 0.8 0.72 0.87
96_Slack_Age( 0.0 0.0 0.0 0.0 0.0 0.04 0.0 0.0 0.03 0.0
128_RF_Age( 0.92 0.74 0.65 0.65 0.61 0.76 0.93 0.57 0.84 0.71
128_LSR_Age( 0.79 0.91 0.74 0.82 0.77 0.84 0.93 0.8 0.66 0.9
128_SVC_Age( 0.83 0.79 0.74 0.76 0.81 0.8 0.93 0.8 0.69 0.9
128_Slack_Age( 0.04 0.06 0.0 0.0 0.03 0.0 0.07 0.0 0.03 0.03
160_RF_Age( 0.67 0.76 0.57 0.53 0.68 0.6 0.71 0.6 0.66 0.9
160_LSR_Age( 0.79 0.79 0.7 0.76 0.84 0.8 0.93 0.83 0.72 0.84
160_SVC_Age( 0.79 0.62 0.61 0.76 0.81 0.8 0.93 0.83 0.75 0.84
160_Slack_Age( 0.0 0.0 0.0 0.24 0.03 0.0 0.04 0.0 0.0 0.0
614_RF_Age( 0.71 0.62 0.65 0.62 0.68 0.6 0.82 0.53 0.62 0.84
614_Slack_Age( 0.08 0.18 0.09 0.12 0.03 0.08 0.07 0.1 0.06 0.06
614_SVC_Age( 0.71 0.76 0.61 0.71 0.74 0.6 0.79 0.63 0.62 0.81
614_LSR_Age( 0.71 0.74 0.61 0.68 0.74 0.64 0.82 0.67 0.62 0.84
