237_RF_Age( 0.82 0.77 0.76 0.78 0.85 0.85 0.64 0.72 0.67 0.74
237_Slack_Age( 0.22 0.29 0.0 0.27 0.0 0.18 0.23 0.29 0.1 0.0
237_SVC_Age( 0.82 0.71 0.73 0.83 0.91 0.86 0.74 0.75 0.82 0.82
237_LSR_Age( 0.77 0.74 0.73 0.83 0.8 0.83 0.72 0.75 0.78 0.82
145_RF_Age( 0.82 0.66 0.78 0.74 0.71 0.84 0.62 0.61 0.71 0.69
145_LSR_Age( 0.74 0.65 0.75 0.75 0.78 0.8 0.66 0.72 0.82 0.74
145_SVC_Age( 0.71 0.65 0.7 0.75 0.78 0.81 0.72 0.72 0.78 0.74
145_Slack_Age( 0.0 0.0 0.17 0.0 0.0 0.0 0.15 0.0 0.0 0.0
116_RF_Age( 0.72 0.69 0.76 0.87 0.75 0.87 0.74 0.72 0.76 0.69
116_LSR_Age( 0.79 0.67 0.8 0.8 0.78 0.8 0.64 0.72 0.76 0.77
116_SVC_Age( 0.74 0.67 0.74 0.83 0.85 0.8 0.69 0.72 0.78 0.72
116_Slack_Age( 0.0 0.0 0.17 0.0 0.0 0.2 0.0 0.0 0.0 0.0
87_RF_Age( 0.74 0.75 0.67 0.75 0.8 0.86 0.74 0.77 0.64 0.69
87_LSR_Age( 0.71 0.68 0.78 0.77 0.8 0.8 0.74 0.8 0.75 0.82
87_SVC_Age( 0.64 0.73 0.75 0.77 0.88 0.8 0.74 0.8 0.75 0.82
87_Slack_Age( 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.18 0.29 0.0
58_RF_Age( 0.74 0.45 0.67 0.7 0.79 0.69 0.64 0.67 0.83 0.74
58_LSR_Age( 0.69 0.69 0.69 0.7 0.78 0.66 0.67 0.75 0.65 0.82
58_SVC_Age( 0.71 0.67 0.67 0.78 0.76 0.65 0.64 0.75 0.7 0.77
58_Slack_Age( 0.0 0.0 0.0 0.0 0.21 0.11 0.15 0.0 0.0 0.0
