1024_LSR_race( 0.43 0.47 0.5 0.48 0.44 0.44 0.41 0.47 0.39 0.39
1024_LSR_sex( 0.25 0.29 0.32 0.21 0.3 0.42 0.2 0.23 0.18 0.32
1536_LSR_race( 0.44 0.46 0.45 0.48 0.45 0.47 0.45 0.48 0.49 0.41
1536_LSR_sex( 0.28 0.34 0.28 0.26 0.34 0.34 0.22 0.28 0.29 0.23
1792_LSR_race( 0.47 0.47 0.46 0.44 0.49 0.42 0.42 0.45 0.47 0.35
1792_LSR_sex( 0.23 0.29 0.3 0.3 0.33 0.38 0.23 0.31 0.31 0.36
1280_LSR_race( 0.4 0.43 0.46 0.45 0.46 0.46 0.45 0.42 0.47 0.37
1280_LSR_sex( 0.27 0.35 0.33 0.26 0.24 0.41 0.21 0.29 0.32 0.3
2048_LSR_race( 0.43 0.48 0.45 0.4 0.44 0.46 0.43 0.46 0.48 0.38
2048_LSR_sex( 0.25 0.28 0.3 0.28 0.31 0.31 0.24 0.35 0.22 0.34
2304_LSR_race( 0.45 0.48 0.42 0.39 0.48 0.45 0.4 0.43 0.45 0.42
2304_LSR_sex( 0.21 0.29 0.3 0.22 0.35 0.37 0.23 0.35 0.37 0.3
2560_LSR_race( 0.46 0.5 0.45 0.44 0.43 0.42 0.42 0.42 0.43 0.4
2560_LSR_sex( 0.27 0.3 0.28 0.27 0.29 0.35 0.27 0.29 0.34 0.34
36177_LSR_race( 0.47 0.44 0.45 0.44 0.48 0.45 0.42 0.46 0.46 0.4
36177_LSR_sex( 0.28 0.33 0.3 0.27 0.33 0.37 0.25 0.32 0.32 0.33
