1024_LSR_race( 0.07 0.08 0.07 0.06 0.11 0.07 0.08 0.08 0.08 0.09
1024_LSR_sex( 0.15 0.15 0.16 0.16 0.16 0.15 0.16 0.16 0.16 0.17
1536_LSR_race( 0.07 0.08 0.1 0.07 0.1 0.06 0.07 0.08 0.08 0.07
1536_LSR_sex( 0.17 0.16 0.18 0.17 0.18 0.16 0.17 0.17 0.16 0.17
1792_LSR_race( 0.06 0.09 0.09 0.07 0.09 0.07 0.08 0.07 0.08 0.09
1792_LSR_sex( 0.17 0.17 0.19 0.16 0.19 0.16 0.16 0.17 0.17 0.16
1280_LSR_race( 0.09 0.09 0.09 0.07 0.09 0.06 0.07 0.07 0.09 0.1
1280_LSR_sex( 0.17 0.15 0.17 0.18 0.18 0.16 0.17 0.16 0.16 0.16
2048_LSR_race( 0.08 0.07 0.08 0.09 0.11 0.08 0.08 0.08 0.08 0.1
2048_LSR_sex( 0.16 0.16 0.17 0.17 0.18 0.17 0.17 0.16 0.17 0.17
2304_LSR_race( 0.07 0.07 0.1 0.08 0.1 0.07 0.08 0.08 0.09 0.09
2304_LSR_sex( 0.18 0.16 0.18 0.17 0.17 0.16 0.17 0.16 0.17 0.16
2560_LSR_race( 0.08 0.07 0.1 0.08 0.1 0.07 0.08 0.08 0.08 0.1
2560_LSR_sex( 0.16 0.16 0.18 0.16 0.17 0.17 0.16 0.16 0.17 0.17
36177_LSR_race( 0.09 0.1 0.11 0.08 0.1 0.08 0.09 0.08 0.1 0.1
36177_LSR_sex( 0.18 0.17 0.19 0.18 0.19 0.17 0.18 0.17 0.17 0.17
