512_LSR_race( 0.27 0.24 0.18 0.24 0.23 0.23 0.23 0.24 0.18 0.26
512_LSR_sex( 0.28 0.28 0.24 0.32 0.22 0.31 0.28 0.33 0.27 0.23
896_LSR_race( 0.26 0.24 0.23 0.23 0.2 0.21 0.23 0.22 0.17 0.24
896_LSR_sex( 0.31 0.36 0.27 0.34 0.21 0.29 0.3 0.35 0.28 0.28
640_LSR_race( 0.24 0.23 0.21 0.23 0.19 0.24 0.24 0.23 0.16 0.26
640_LSR_sex( 0.34 0.29 0.25 0.34 0.23 0.27 0.29 0.35 0.29 0.28
768_LSR_race( 0.26 0.22 0.18 0.22 0.18 0.22 0.23 0.23 0.17 0.26
768_LSR_sex( 0.28 0.31 0.26 0.38 0.24 0.31 0.31 0.34 0.31 0.25
1024_LSR_race( 0.24 0.25 0.22 0.25 0.21 0.22 0.24 0.22 0.16 0.24
1024_LSR_sex( 0.28 0.28 0.27 0.34 0.24 0.27 0.36 0.37 0.33 0.27
1152_LSR_race( 0.25 0.23 0.21 0.26 0.2 0.23 0.23 0.23 0.18 0.25
1152_LSR_sex( 0.3 0.29 0.26 0.32 0.23 0.26 0.34 0.4 0.31 0.3
1280_LSR_race( 0.26 0.21 0.2 0.26 0.19 0.23 0.22 0.23 0.17 0.26
1280_LSR_sex( 0.26 0.31 0.27 0.34 0.23 0.25 0.32 0.34 0.29 0.24
4937_LSR_race( 0.25 0.22 0.21 0.25 0.2 0.22 0.23 0.23 0.15 0.25
4937_LSR_sex( 0.3 0.32 0.27 0.33 0.25 0.25 0.34 0.35 0.31 0.26
