1024_SVC_race( 0.45 0.47 0.48 0.49 0.42 0.48 0.34 0.44 0.45 0.43
1024_SVC_sex( 0.32 0.31 0.36 0.28 0.38 0.43 0.27 0.29 0.33 0.31
1536_SVC_race( 0.48 0.52 0.44 0.47 0.44 0.46 0.42 0.48 0.53 0.45
1536_SVC_sex( 0.28 0.36 0.3 0.29 0.4 0.38 0.3 0.3 0.36 0.33
1792_SVC_race( 0.49 0.5 0.48 0.47 0.47 0.45 0.41 0.45 0.46 0.46
1792_SVC_sex( 0.26 0.37 0.35 0.32 0.36 0.4 0.27 0.31 0.38 0.39
1280_SVC_race( 0.4 0.46 0.49 0.46 0.45 0.46 0.44 0.46 0.44 0.4
1280_SVC_sex( 0.28 0.36 0.36 0.31 0.34 0.42 0.36 0.34 0.37 0.39
2048_SVC_race( 0.48 0.5 0.48 0.47 0.47 0.44 0.45 0.47 0.49 0.45
2048_SVC_sex( 0.28 0.39 0.29 0.33 0.33 0.41 0.33 0.38 0.35 0.37
2304_SVC_race( 0.48 0.5 0.49 0.45 0.49 0.46 0.41 0.45 0.47 0.46
2304_SVC_sex( 0.29 0.36 0.36 0.31 0.34 0.4 0.28 0.36 0.38 0.36
2560_SVC_race( 0.45 0.47 0.45 0.46 0.46 0.47 0.42 0.45 0.5 0.44
2560_SVC_sex( 0.31 0.37 0.33 0.31 0.34 0.38 0.32 0.3 0.36 0.35
36177_SVC_race( 0.46 0.48 0.48 0.48 0.48 0.48 0.43 0.46 0.49 0.44
36177_SVC_sex( 0.28 0.38 0.33 0.3 0.35 0.4 0.29 0.34 0.35 0.36
