1024_Slack_race( 0.29 0.15 0.48 0.2 0.26 0.09 0.08 0.07 0.12 0.2
1024_Slack_sex( 0.13 0.14 0.12 0.12 0.12 0.11 0.13 0.12 0.12 0.12
1536_Slack_race( 0.14 0.17 0.03 0.25 0.1 0.41 0.02 0.27 0.31 0.3
1536_Slack_sex( 0.13 0.14 0.11 0.12 0.12 0.11 0.13 0.12 0.12 0.12
1792_Slack_race( 0.16 0.26 0.17 0.35 0.08 0.05 0.07 0.07 0.05 0.36
1792_Slack_sex( 0.13 0.14 0.12 0.12 0.12 0.11 0.13 0.12 0.12 0.12
1280_Slack_race( 0.0 0.21 0.12 0.27 0.16 0.14 0.31 0.48 0.21 0.3
1280_Slack_sex( 0.13 0.14 0.12 0.12 0.12 0.11 0.13 0.12 0.12 0.12
2048_Slack_race( 0.15 0.08 0.07 0.15 0.19 0.11 0.03 0.06 0.11 0.2
2048_Slack_sex( 0.13 0.14 0.12 0.12 0.12 0.11 0.13 0.12 0.12 0.12
2304_Slack_race( 0.11 0.02 0.04 0.19 0.1 0.31 0.11 0.0 0.09 0.14
2304_Slack_sex( 0.13 0.14 0.12 0.12 0.12 0.11 0.13 0.12 0.12 0.12
2560_Slack_race( 0.41 0.09 0.2 0.31 0.14 0.18 0.12 0.22 0.2 0.22
2560_Slack_sex( 0.13 0.14 0.12 0.12 0.11 0.11 0.13 0.12 0.12 0.13
36177_Slack_race( 0.25 0.15 0.18 0.17 0.08 0.16 0.14 0.27 0.11 0.11
36177_Slack_sex( 0.13 0.13 0.11 0.12 0.12 0.11 0.12 0.11 0.12 0.12
