1024_SVC_race( 0.29 0.27 0.33 0.33 0.26 0.34 0.31 0.29 0.29 0.22
1024_SVC_sex( 0.16 0.23 0.2 0.23 0.31 0.32 0.23 0.31 0.29 0.23
1024_LSR_race( 0.21 0.26 0.32 0.33 0.23 0.4 0.3 0.25 0.31 0.2
1024_LSR_sex( 0.18 0.2 0.19 0.16 0.25 0.27 0.19 0.32 0.24 0.19
1024_RF_race( 0.41 0.43 0.42 0.31 0.43 0.45 0.33 0.46 0.4 0.44
1024_RF_sex( 0.29 0.39 0.3 0.28 0.49 0.47 0.35 0.43 0.28 0.36
1536_SVC_race( 0.32 0.36 0.29 0.32 0.34 0.36 0.31 0.28 0.28 0.24
1536_SVC_sex( 0.2 0.29 0.27 0.26 0.3 0.31 0.21 0.26 0.29 0.27
1536_LSR_race( 0.37 0.39 0.25 0.33 0.34 0.27 0.33 0.25 0.29 0.17
1536_LSR_sex( 0.2 0.26 0.22 0.21 0.32 0.32 0.23 0.27 0.29 0.3
1536_RF_race( 0.49 0.39 0.38 0.38 0.45 0.48 0.39 0.49 0.41 0.39
1536_RF_sex( 0.28 0.37 0.41 0.36 0.48 0.41 0.34 0.33 0.38 0.38
1792_SVC_race( 0.32 0.32 0.27 0.31 0.29 0.32 0.29 0.36 0.31 0.21
1792_SVC_sex( 0.19 0.29 0.21 0.2 0.3 0.3 0.25 0.26 0.29 0.25
1792_LSR_race( 0.34 0.27 0.31 0.36 0.3 0.33 0.28 0.33 0.26 0.18
1792_LSR_sex( 0.23 0.31 0.26 0.19 0.37 0.24 0.23 0.2 0.24 0.33
1792_RF_race( 0.47 0.42 0.41 0.39 0.44 0.48 0.4 0.49 0.42 0.41
1792_RF_sex( 0.27 0.39 0.36 0.37 0.42 0.46 0.36 0.42 0.38 0.36
1280_SVC_race( 0.23 0.31 0.33 0.24 0.29 0.25 0.25 0.31 0.29 0.3
1280_SVC_sex( 0.2 0.26 0.24 0.23 0.29 0.33 0.23 0.26 0.24 0.27
1280_LSR_race( 0.24 0.29 0.29 0.23 0.25 0.22 0.22 0.31 0.26 0.32
1280_LSR_sex( 0.17 0.21 0.2 0.19 0.34 0.29 0.28 0.24 0.26 0.28
1280_RF_race( 0.39 0.4 0.47 0.36 0.45 0.36 0.42 0.44 0.51 0.4
1280_RF_sex( 0.32 0.43 0.32 0.37 0.33 0.39 0.29 0.36 0.32 0.38
2048_SVC_race( 0.27 0.33 0.19 0.36 0.25 0.35 0.3 0.31 0.34 0.27
2048_SVC_sex( 0.19 0.3 0.29 0.27 0.26 0.32 0.26 0.28 0.28 0.26
2048_LSR_race( 0.25 0.32 0.21 0.32 0.27 0.37 0.27 0.28 0.31 0.3
2048_LSR_sex( 0.18 0.3 0.24 0.32 0.28 0.31 0.23 0.25 0.29 0.31
2048_RF_race( 0.35 0.5 0.42 0.49 0.4 0.45 0.35 0.39 0.35 0.4
2048_RF_sex( 0.31 0.33 0.33 0.43 0.41 0.41 0.35 0.4 0.42 0.45
2304_SVC_race( 0.28 0.31 0.25 0.27 0.28 0.3 0.25 0.28 0.37 0.28
2304_SVC_sex( 0.22 0.3 0.23 0.26 0.3 0.33 0.25 0.28 0.29 0.26
2304_LSR_race( 0.33 0.28 0.32 0.24 0.38 0.33 0.31 0.3 0.32 0.3
2304_LSR_sex( 0.26 0.27 0.22 0.27 0.28 0.31 0.31 0.29 0.25 0.28
2304_RF_race( 0.53 0.48 0.45 0.42 0.48 0.4 0.44 0.42 0.42 0.32
2304_RF_sex( 0.34 0.42 0.32 0.38 0.38 0.43 0.36 0.37 0.37 0.39
2560_SVC_race( 0.3 0.33 0.31 0.36 0.32 0.32 0.25 0.29 0.34 0.32
2560_SVC_sex( 0.29 0.29 0.27 0.23 0.28 0.28 0.26 0.33 0.28 0.29
2560_LSR_race( 0.29 0.34 0.37 0.32 0.37 0.34 0.29 0.32 0.33 0.33
2560_LSR_sex( 0.27 0.27 0.25 0.26 0.29 0.27 0.23 0.35 0.26 0.29
2560_RF_race( 0.43 0.45 0.38 0.4 0.44 0.45 0.38 0.39 0.37 0.4
2560_RF_sex( 0.33 0.36 0.38 0.36 0.4 0.39 0.31 0.34 0.37 0.43
36177_RF_race( 0.52 0.52 0.51 0.5 0.56 0.51 0.44 0.54 0.53 0.48
36177_RF_sex( 0.42 0.42 0.46 0.41 0.46 0.51 0.43 0.46 0.45 0.44
36177_LSR_race( 0.77 0.79 0.75 0.75 0.76 0.79 0.79 0.76 0.71 0.69
36177_LSR_sex( 0.7 0.68 0.69 0.68 0.75 0.72 0.71 0.7 0.69 0.72
36177_SVC_race( 0.76 0.78 0.74 0.73 0.75 0.77 0.78 0.74 0.72 0.69
36177_SVC_sex( 0.69 0.67 0.68 0.67 0.73 0.71 0.7 0.69 0.69 0.7
