512_SVC_race( 0.22 0.22 0.18 0.2 0.19 0.18 0.2 0.18 0.16 0.2
512_SVC_sex( 0.16 0.19 0.12 0.15 0.16 0.12 0.17 0.17 0.14 0.1
512_LSR_race( 0.22 0.2 0.17 0.22 0.18 0.2 0.2 0.19 0.16 0.22
512_LSR_sex( 0.15 0.18 0.11 0.14 0.14 0.1 0.18 0.18 0.16 0.12
512_RF_race( 0.1 0.08 0.12 0.1 0.07 0.16 0.04 0.14 0.05 0.06
512_RF_sex( 0.14 0.01 0.06 0.08 0.05 0.11 0.04 0.16 0.09 0.02
896_SVC_race( 0.2 0.22 0.18 0.18 0.15 0.16 0.2 0.18 0.11 0.22
896_SVC_sex( 0.14 0.15 0.09 0.14 0.12 0.14 0.18 0.16 0.15 0.12
896_LSR_race( 0.24 0.22 0.17 0.2 0.16 0.18 0.2 0.2 0.14 0.24
896_LSR_sex( 0.12 0.13 0.09 0.17 0.14 0.12 0.18 0.16 0.16 0.12
896_RF_race( 0.12 0.1 0.09 0.13 0.05 0.16 0.04 0.11 0.01 0.02
896_RF_sex( 0.07 0.12 0.04 0.14 0.05 0.06 0.09 0.06 0.08 0.07
640_SVC_race( 0.16 0.18 0.16 0.19 0.16 0.18 0.2 0.2 0.14 0.2
640_SVC_sex( 0.08 0.15 0.12 0.14 0.15 0.14 0.17 0.18 0.08 0.11
640_LSR_race( 0.22 0.19 0.17 0.2 0.17 0.21 0.21 0.19 0.13 0.22
640_LSR_sex( 0.08 0.17 0.12 0.15 0.16 0.13 0.16 0.21 0.08 0.11
640_RF_race( 0.02 0.12 0.04 0.02 0.04 0.07 0.06 0.15 0.04 0.08
640_RF_sex( 0.12 0.06 0.0 0.12 0.03 0.08 0.1 0.08 0.09 0.03
768_SVC_race( 0.2 0.21 0.14 0.19 0.16 0.19 0.21 0.2 0.12 0.22
768_SVC_sex( 0.12 0.16 0.12 0.2 0.16 0.1 0.18 0.18 0.14 0.12
768_LSR_race( 0.22 0.2 0.16 0.21 0.16 0.2 0.2 0.22 0.11 0.22
768_LSR_sex( 0.11 0.15 0.11 0.17 0.15 0.11 0.17 0.2 0.15 0.12
768_RF_race( 0.11 0.13 0.06 0.09 0.08 0.11 0.12 0.08 0.06 0.06
768_RF_sex( 0.13 0.07 0.08 0.12 0.04 0.03 0.12 0.13 0.02 0.05
1024_SVC_race( 0.2 0.22 0.16 0.2 0.15 0.16 0.18 0.19 0.1 0.22
1024_SVC_sex( 0.12 0.16 0.1 0.1 0.12 0.17 0.15 0.18 0.14 0.08
1024_LSR_race( 0.22 0.22 0.16 0.2 0.16 0.2 0.18 0.2 0.1 0.22
1024_LSR_sex( 0.11 0.13 0.1 0.12 0.15 0.14 0.16 0.17 0.14 0.08
1024_RF_race( 0.12 0.1 0.05 0.09 0.0 0.08 0.12 0.06 0.08 0.07
1024_RF_sex( 0.06 0.11 0.02 0.1 0.02 0.06 0.14 0.11 0.08 0.01
1152_SVC_race( 0.2 0.2 0.16 0.18 0.16 0.18 0.2 0.2 0.11 0.2
1152_SVC_sex( 0.1 0.11 0.07 0.14 0.08 0.15 0.15 0.18 0.11 0.14
1152_LSR_race( 0.2 0.21 0.14 0.19 0.16 0.18 0.18 0.2 0.11 0.2
1152_LSR_sex( 0.08 0.12 0.08 0.13 0.1 0.15 0.17 0.18 0.11 0.12
1152_RF_race( 0.14 0.09 0.06 0.1 0.08 0.12 0.1 0.11 0.04 0.06
1152_RF_sex( 0.08 0.14 0.06 0.12 0.11 0.12 0.04 0.03 0.07 0.0
1280_SVC_race( 0.21 0.18 0.14 0.16 0.18 0.2 0.2 0.19 0.13 0.2
1280_SVC_sex( 0.1 0.14 0.13 0.14 0.13 0.12 0.15 0.16 0.14 0.12
1280_LSR_race( 0.2 0.18 0.18 0.18 0.18 0.19 0.2 0.19 0.14 0.21
1280_LSR_sex( 0.1 0.13 0.12 0.12 0.12 0.11 0.16 0.18 0.12 0.1
1280_RF_race( 0.12 0.12 0.11 0.12 0.01 0.12 0.1 0.12 0.06 0.11
1280_RF_sex( 0.01 0.07 0.01 0.08 0.04 0.08 0.11 0.14 0.08 0.04
4937_RF_race( 0.07 0.08 0.08 0.06 0.02 0.14 0.04 0.12 0.04 0.06
4937_RF_sex( 0.06 0.06 0.01 0.05 0.02 0.08 0.04 0.12 0.02 0.04
4937_LSR_race( 0.01 0.0 0.1 0.03 0.08 0.08 0.06 0.04 0.09 0.02
4937_LSR_sex( 0.06 0.05 0.14 0.08 0.08 0.06 0.05 0.02 0.1 0.08
4937_SVC_race( 0.05 0.04 0.1 0.05 0.08 0.06 0.06 0.06 0.1 0.04
4937_SVC_sex( 0.08 0.06 0.15 0.07 0.08 0.08 0.08 0.01 0.12 0.12
