64_LSR_Age( 0.25 0.21 0.43 0.21 0.08 0.07 0.2 0.31 0.06 
64_SVC_Age( 0.17 0.26 0.43 0.18 0.19 0.28 0.07 0.2 0.38 0.06
64_RF_Age( 0.5 0.5 0.52 0.44 0.48 0.36 0.39 0.47 0.5 0.16
96_SVC_Age( 0.25 0.35 0.35 0.09 0.16 0.12 0.11 0.23 0.28 0.13
96_LSR_Age( 0.17 0.35 0.35 0.12 0.16 0.08 0.18 0.23 0.22 0.06
96_RF_Age( 0.46 0.41 0.35 0.47 0.16 0.32 0.32 0.23 0.56 0.26
128_SVC_Age( 0.29 0.18 0.48 0.21 0.19 0.32 0.07 0.17 0.25 0.13
128_LSR_Age( 0.21 0.24 0.48 0.09 0.16 0.2 0.07 0.13 0.19 0.06
128_RF_Age( 0.38 0.21 0.3 0.41 0.23 0.28 0.21 0.3 0.41 0.29
160_SVC_Age( 0.21 0.18 0.35 0.24 0.06 0.24 0.07 0.17 0.31 0.06
160_LSR_Age( 0.33 0.21 0.3 0.12 0.1 0.2 0.07 0.1 0.34 0.13
160_RF_Age( 0.29 0.35 0.48 0.26 0.45 0.48 0.29 0.33 0.44 0.13
614_RF_Age( 0.25 0.24 0.35 0.32 0.29 0.32 0.36 0.4 0.34 0.13
614_LSR_Age( 0.29 0.26 0.52 0.18 0.32 0.28 0.21 0.3 0.34 0.19
614_SVC_Age( 0.38 0.26 0.48 0.26 0.35 0.28 0.21 0.37 0.34 0.16
