58_LSR_Age( 0.0 0.12 0.0 0.0 0.0 0.0 0.11 0.06 0.05 
58_SVC_Age( 0.0 0.06 0.0 0.0 0.0 0.0 0.05 0.06 0.0 0.0
58_RF_Age( 0.19 0.0 0.15 0.0 0.0 0.06 0.05 0.0 0.0 0.0
237_RF_Age( 0.12 0.06 0.0 0.11 0.0 0.0 0.11 0.06 0.0 0.05
237_LSR_Age( 0.19 0.06 0.15 0.05 0.0 0.06 0.05 0.06 0.0 0.05
237_SVC_Age( 0.12 0.06 0.1 0.05 0.06 0.06 0.05 0.11 0.0 0.05
145_SVC_Age( 0.06 0.06 0.0 0.0 0.0 0.0 0.05 0.06 0.0 0.05
145_LSR_Age( 0.06 0.06 0.0 0.0 0.0 0.0 0.05 0.06 0.0 0.05
145_RF_Age( 0.06 0.24 0.0 0.0 0.06 0.06 0.05 0.06 0.0 0.19
116_SVC_Age( 0.0 0.06 0.05 0.05 0.0 0.06 0.05 0.0 0.0 0.05
116_LSR_Age( 0.0 0.12 0.0 0.05 0.0 0.11 0.05 0.0 0.0 0.05
116_RF_Age( 0.0 0.18 0.05 0.05 0.0 0.11 0.11 0.11 0.0 0.1
87_SVC_Age( 0.0 0.06 0.05 0.0 0.0 0.06 0.05 0.0 0.0 0.1
87_LSR_Age( 0.0 0.12 0.1 0.05 0.06 0.06 0.05 0.0 0.0 0.14
87_RF_Age( 0.0 0.18 0.05 0.0 0.0 0.06 0.05 0.0 0.0 0.1
