1024_LSR_race( 0.11 0.1 0.09 0.08 0.13 0.06 0.09 0.11 0.09 0.11
1024_LSR_sex( 0.17 0.16 0.17 0.16 0.16 0.15 0.17 0.13 0.16 0.18
1536_LSR_race( 0.08 0.08 0.11 0.08 0.1 0.09 0.08 0.1 0.1 0.13
1536_LSR_sex( 0.18 0.15 0.18 0.15 0.16 0.15 0.16 0.16 0.14 0.16
1792_LSR_race( 0.09 0.09 0.11 0.07 0.1 0.1 0.09 0.08 0.1 0.12
1792_LSR_sex( 0.17 0.16 0.17 0.16 0.14 0.16 0.16 0.16 0.16 0.15
1280_LSR_race( 0.1 0.09 0.09 0.11 0.12 0.11 0.11 0.08 0.11 0.09
1280_LSR_sex( 0.18 0.17 0.17 0.17 0.16 0.16 0.15 0.15 0.16 0.16
2048_LSR_race( 0.1 0.09 0.12 0.08 0.12 0.07 0.09 0.1 0.1 0.09
2048_LSR_sex( 0.17 0.16 0.18 0.13 0.18 0.15 0.16 0.15 0.15 0.15
2304_LSR_race( 0.08 0.11 0.1 0.1 0.09 0.08 0.09 0.09 0.09 0.09
2304_LSR_sex( 0.15 0.15 0.18 0.16 0.17 0.15 0.15 0.15 0.16 0.16
2560_LSR_race( 0.1 0.09 0.09 0.08 0.09 0.09 0.1 0.09 0.1 0.09
2560_LSR_sex( 0.15 0.16 0.17 0.16 0.16 0.16 0.16 0.14 0.16 0.16
36177_LSR_race( 0.06 0.07 0.1 0.05 0.11 0.06 0.07 0.07 0.08 0.1
36177_LSR_sex( 0.11 0.09 0.11 0.09 0.1 0.08 0.09 0.09 0.09 0.09
