1024_LSR_race( 0.21 0.26 0.32 0.33 0.23 0.4 0.3 0.25 0.31 0.2
1024_LSR_sex( 0.18 0.2 0.19 0.16 0.25 0.27 0.19 0.32 0.24 0.19
1536_LSR_race( 0.37 0.39 0.25 0.33 0.34 0.27 0.33 0.25 0.29 0.17
1536_LSR_sex( 0.2 0.26 0.22 0.21 0.32 0.32 0.23 0.27 0.29 0.3
1792_LSR_race( 0.34 0.27 0.31 0.36 0.3 0.33 0.28 0.33 0.26 0.18
1792_LSR_sex( 0.23 0.31 0.26 0.19 0.37 0.24 0.23 0.2 0.24 0.33
1280_LSR_race( 0.24 0.29 0.29 0.23 0.25 0.22 0.22 0.31 0.26 0.32
1280_LSR_sex( 0.17 0.21 0.2 0.19 0.34 0.29 0.28 0.24 0.26 0.28
2048_LSR_race( 0.25 0.32 0.21 0.32 0.27 0.37 0.27 0.28 0.31 0.3
2048_LSR_sex( 0.18 0.3 0.24 0.32 0.28 0.31 0.23 0.25 0.29 0.31
2304_LSR_race( 0.33 0.28 0.32 0.24 0.38 0.33 0.31 0.3 0.32 0.3
2304_LSR_sex( 0.26 0.27 0.22 0.27 0.28 0.31 0.31 0.29 0.25 0.28
2560_LSR_race( 0.29 0.34 0.37 0.32 0.37 0.34 0.29 0.32 0.33 0.33
2560_LSR_sex( 0.27 0.27 0.25 0.26 0.29 0.27 0.23 0.35 0.26 0.29
36177_LSR_race( 0.77 0.79 0.75 0.75 0.76 0.79 0.79 0.76 0.71 0.69
36177_LSR_sex( 0.7 0.68 0.69 0.68 0.75 0.72 0.71 0.7 0.69 0.72
