512_LSR_race( 0.3 0.3 0.24 0.3 0.25 0.27 0.27 0.27 0.22 0.29
512_LSR_sex( 0.21 0.21 0.15 0.2 0.17 0.13 0.21 0.19 0.2 0.17
896_LSR_race( 0.32 0.31 0.26 0.29 0.23 0.25 0.26 0.28 0.21 0.3
896_LSR_sex( 0.17 0.19 0.13 0.21 0.2 0.15 0.2 0.19 0.2 0.17
640_LSR_race( 0.31 0.28 0.24 0.29 0.25 0.28 0.28 0.26 0.2 0.3
640_LSR_sex( 0.13 0.23 0.16 0.19 0.21 0.16 0.19 0.23 0.11 0.16
768_LSR_race( 0.31 0.3 0.24 0.3 0.23 0.27 0.27 0.3 0.19 0.28
768_LSR_sex( 0.17 0.2 0.14 0.22 0.21 0.15 0.19 0.23 0.18 0.17
1024_LSR_race( 0.31 0.31 0.24 0.29 0.23 0.27 0.24 0.28 0.17 0.29
1024_LSR_sex( 0.17 0.19 0.15 0.18 0.2 0.18 0.19 0.21 0.17 0.15
1152_LSR_race( 0.29 0.29 0.22 0.29 0.24 0.25 0.25 0.27 0.18 0.27
1152_LSR_sex( 0.13 0.17 0.12 0.18 0.18 0.18 0.19 0.21 0.14 0.18
1280_LSR_race( 0.29 0.26 0.25 0.28 0.25 0.26 0.25 0.26 0.21 0.28
1280_LSR_sex( 0.15 0.19 0.17 0.18 0.19 0.14 0.18 0.21 0.16 0.15
4937_LSR_race( 0.05 0.03 0.12 0.01 0.06 0.1 0.09 0.03 0.13 0.01
4937_LSR_sex( 0.03 0.01 0.19 0.05 0.02 0.05 0.03 0.02 0.12 0.05
