512_LSR_race( 0.15 0.11 0.08 0.17 0.15 0.12 0.11 0.1 0.09 0.14
512_LSR_sex( 0.11 0.1 0.06 0.11 0.09 0.06 0.08 0.08 0.09 0.12
896_LSR_race( 0.16 0.12 0.12 0.14 0.13 0.11 0.12 0.14 0.07 0.15
896_LSR_sex( 0.1 0.08 0.06 0.11 0.11 0.06 0.1 0.09 0.08 0.13
640_LSR_race( 0.16 0.12 0.08 0.15 0.14 0.11 0.13 0.1 0.05 0.15
640_LSR_sex( 0.1 0.11 0.08 0.11 0.11 0.08 0.1 0.12 0.04 0.11
768_LSR_race( 0.16 0.14 0.11 0.16 0.14 0.13 0.13 0.14 0.06 0.14
768_LSR_sex( 0.11 0.09 0.07 0.11 0.13 0.05 0.09 0.11 0.06 0.13
1024_LSR_race( 0.16 0.14 0.11 0.15 0.12 0.12 0.11 0.12 0.06 0.15
1024_LSR_sex( 0.1 0.08 0.09 0.11 0.11 0.08 0.08 0.1 0.07 0.12
1152_LSR_race( 0.15 0.09 0.08 0.16 0.13 0.11 0.12 0.13 0.07 0.13
1152_LSR_sex( 0.07 0.08 0.06 0.1 0.11 0.11 0.08 0.1 0.07 0.14
1280_LSR_race( 0.14 0.08 0.1 0.13 0.13 0.11 0.12 0.1 0.06 0.15
1280_LSR_sex( 0.09 0.05 0.09 0.1 0.12 0.06 0.08 0.1 0.07 0.1
4937_LSR_race( 0.04 0.12 0.12 0.07 0.05 0.12 0.11 0.08 0.16 0.06
4937_LSR_sex( 0.07 0.09 0.15 0.06 0.02 0.09 0.07 0.03 0.12 0.02
