512_LSR_race( 0.74 0.74 0.8 0.73 0.75 0.74 0.72 0.72 0.8 0.75
512_LSR_sex( 0.85 0.85 0.89 0.84 0.87 0.89 0.81 0.84 0.85 0.83
896_LSR_race( 0.72 0.76 0.78 0.73 0.75 0.76 0.77 0.71 0.78 0.74
896_LSR_sex( 0.87 0.85 0.89 0.86 0.81 0.88 0.84 0.86 0.87 0.82
640_LSR_race( 0.74 0.76 0.81 0.73 0.73 0.75 0.72 0.72 0.81 0.74
640_LSR_sex( 0.88 0.81 0.88 0.86 0.81 0.87 0.84 0.83 0.88 0.84
768_LSR_race( 0.73 0.74 0.79 0.72 0.73 0.76 0.73 0.71 0.77 0.73
768_LSR_sex( 0.86 0.84 0.89 0.84 0.82 0.86 0.85 0.81 0.88 0.82
1024_LSR_race( 0.74 0.75 0.79 0.73 0.75 0.76 0.74 0.71 0.81 0.76
1024_LSR_sex( 0.86 0.86 0.86 0.85 0.85 0.86 0.84 0.84 0.89 0.83
1152_LSR_race( 0.74 0.77 0.81 0.72 0.73 0.76 0.74 0.72 0.78 0.76
1152_LSR_sex( 0.89 0.86 0.9 0.84 0.8 0.87 0.84 0.85 0.87 0.8
1280_LSR_race( 0.76 0.76 0.79 0.74 0.73 0.77 0.76 0.72 0.78 0.75
1280_LSR_sex( 0.88 0.85 0.87 0.85 0.82 0.88 0.86 0.85 0.86 0.84
4937_LSR_race( 0.73 0.73 0.79 0.71 0.72 0.74 0.73 0.71 0.77 0.72
4937_LSR_sex( 0.78 0.73 0.83 0.78 0.75 0.8 0.76 0.76 0.8 0.75
