1024_RF_race( 0.195 0.188 0.187 0.189 0.178 0.193 0.196 0.179 0.182 0.184
1024_RF_sex( 0.192 0.192 0.188 0.182 0.185 0.2 0.191 0.193 0.179 0.19
1536_RF_race( 0.195 0.191 0.191 0.18 0.182 0.187 0.19 0.184 0.185 0.179
1536_RF_sex( 0.197 0.185 0.19 0.191 0.186 0.181 0.186 0.194 0.182 0.192
1792_RF_race( 0.197 0.189 0.187 0.193 0.183 0.187 0.194 0.19 0.181 0.186
1792_RF_sex( 0.191 0.189 0.189 0.189 0.186 0.187 0.182 0.188 0.182 0.182
1280_RF_race( 0.19 0.195 0.193 0.193 0.184 0.19 0.189 0.188 0.185 0.19
1280_RF_sex( 0.191 0.202 0.181 0.19 0.186 0.191 0.193 0.188 0.183 0.179
2048_RF_race( 0.19 0.187 0.184 0.187 0.182 0.187 0.191 0.188 0.188 0.179
2048_RF_sex( 0.195 0.189 0.187 0.192 0.18 0.188 0.191 0.184 0.186 0.189
2304_RF_race( 0.196 0.187 0.189 0.19 0.186 0.188 0.189 0.188 0.188 0.191
2304_RF_sex( 0.187 0.192 0.19 0.189 0.177 0.193 0.191 0.182 0.179 0.188
2560_RF_race( 0.189 0.193 0.183 0.189 0.181 0.189 0.183 0.187 0.185 0.185
2560_RF_sex( 0.192 0.192 0.187 0.197 0.191 0.186 0.189 0.183 0.184 0.186
36177_RF_race( 0.217 0.214 0.21 0.21 0.211 0.21 0.211 0.211 0.21 0.213
36177_RF_sex( 0.214 0.209 0.206 0.211 0.2 0.209 0.209 0.204 0.212 0.205
