1024_RF_race( 0.87 0.89 0.88 0.86 0.88 0.87 0.87 0.88 0.89 0.87
1024_RF_sex( 0.88 0.87 0.9 0.9 0.89 0.89 0.89 0.89 0.9 0.88
1536_RF_race( 0.87 0.88 0.87 0.87 0.88 0.87 0.87 0.87 0.88 0.87
1536_RF_sex( 0.88 0.89 0.89 0.89 0.89 0.91 0.89 0.9 0.89 0.88
1792_RF_race( 0.87 0.88 0.88 0.86 0.87 0.87 0.88 0.86 0.88 0.87
1792_RF_sex( 0.9 0.88 0.89 0.88 0.9 0.9 0.9 0.89 0.9 0.9
1280_RF_race( 0.87 0.88 0.87 0.86 0.88 0.87 0.88 0.87 0.87 0.88
1280_RF_sex( 0.89 0.87 0.91 0.89 0.91 0.9 0.89 0.89 0.89 0.89
2048_RF_race( 0.87 0.89 0.88 0.87 0.88 0.87 0.87 0.87 0.87 0.88
2048_RF_sex( 0.88 0.9 0.9 0.89 0.9 0.91 0.89 0.89 0.89 0.88
2304_RF_race( 0.87 0.88 0.88 0.87 0.88 0.87 0.88 0.87 0.88 0.86
2304_RF_sex( 0.88 0.88 0.91 0.89 0.9 0.89 0.89 0.9 0.89 0.89
2560_RF_race( 0.87 0.89 0.88 0.87 0.88 0.87 0.87 0.86 0.88 0.88
2560_RF_sex( 0.89 0.89 0.9 0.89 0.9 0.91 0.9 0.9 0.89 0.89
36177_RF_race( 0.85 0.88 0.87 0.87 0.87 0.85 0.86 0.87 0.88 0.85
36177_RF_sex( 0.87 0.86 0.87 0.86 0.88 0.88 0.87 0.87 0.86 0.87
