512_SVC_race( 0.08 0.15 0.1 0.11 0.08 0.13 0.16 0.18 0.09 0.12
512_SVC_sex( 0.03 0.04 0.03 0.05 0.03 0.05 0.11 0.07 0.06 0.05
896_SVC_race( 0.12 0.11 0.09 0.13 0.13 0.13 0.11 0.17 0.15 0.11
896_SVC_sex( 0.03 0.07 0.05 0.06 0.07 0.05 0.08 0.05 0.07 0.07
640_SVC_race( 0.11 0.13 0.11 0.13 0.12 0.13 0.15 0.18 0.13 0.12
640_SVC_sex( 0.03 0.1 0.04 0.03 0.07 0.06 0.06 0.04 0.08 0.03
768_SVC_race( 0.1 0.12 0.1 0.14 0.12 0.11 0.13 0.16 0.14 0.12
768_SVC_sex( 0.03 0.06 0.04 0.07 0.06 0.07 0.06 0.08 0.06 0.04
1024_SVC_race( 0.09 0.1 0.1 0.12 0.13 0.12 0.15 0.16 0.13 0.09
1024_SVC_sex( 0.04 0.07 0.06 0.03 0.05 0.05 0.09 0.05 0.05 0.06
1152_SVC_race( 0.1 0.14 0.11 0.12 0.12 0.12 0.15 0.16 0.14 0.11
1152_SVC_sex( 0.04 0.07 0.04 0.05 0.09 0.04 0.09 0.05 0.06 0.04
1280_SVC_race( 0.08 0.15 0.12 0.13 0.12 0.11 0.12 0.16 0.12 0.11
1280_SVC_sex( 0.03 0.09 0.05 0.06 0.09 0.07 0.07 0.07 0.07 0.06
4937_SVC_race( 0.33 0.39 0.33 0.37 0.31 0.35 0.37 0.36 0.39 0.34
4937_SVC_sex( 0.31 0.37 0.32 0.29 0.25 0.31 0.33 0.27 0.35 0.29
