64_SVC_sex( 0.24 0.11 0.14 0.36 0.02 0.21 0.33 0.08 0.15 0.16
64_LSR_sex( 0.33 0.13 0.01 0.41 0.04 0.29 0.29 0.08 0.17 0.04
64_RF_sex( 0.08 0.08 0.02 0.33 0.05 0.28 0.3 0.03 0.02 0.09
96_SVC_sex( 0.15 0.15 0.06 0.34 0.07 0.11 0.35 0.02 0.1 0.05
96_LSR_sex( 0.09 0.22 0.06 0.14 0.06 0.11 0.42 0.04 0.13 0.05
96_RF_sex( 0.12 0.18 0.01 0.26 0.0 0.22 0.26 0.0 0.19 0.08
128_SVC_sex( 0.16 0.15 0.12 0.24 0.05 0.29 0.19 0.04 0.11 0.09
128_LSR_sex( 0.05 0.25 0.11 0.33 0.06 0.23 0.09 0.16 0.12 0.01
128_RF_sex( 0.03 0.23 0.16 0.27 0.01 0.32 0.24 0.06 0.11 0.1
835_RF_sex( 0.21 0.17 0.13 0.14 0.16 0.14 0.36 0.04 0.23 0.1
835_LSR_sex( 0.11 0.32 0.12 0.35 0.01 0.37 0.2 0.21 0.14 0.06
835_SVC_sex( 0.24 0.26 0.34 0.31 0.04 0.27 0.32 0.07 0.23 0.01
160_SVC_sex( 0.22 0.29 0.14 0.17 0.0 0.4 0.24 0.04 0.16 0.02
160_LSR_sex( 0.15 0.24 0.06 0.25 0.01 0.2 0.36 0.09 0.24 0.08
160_RF_sex( 0.17 0.19 0.15 0.14 0.06 0.4 0.2 0.04 0.19 0.1
