64_SVC_sex( 0.01 0.03 0.05 0.03 0.06 0.02 0.08 0.1 0.02 0.01
64_LSR_sex( 0.03 0.03 0.05 0.08 0.04 0.04 0.01 0.09 0.08 0.08
64_RF_sex( 0.07 0.02 0.1 0.14 0.06 0.04 0.1 0.05 0.05 0.03
96_SVC_sex( 0.05 0.08 0.06 0.09 0.04 0.1 0.1 0.03 0.04 0.04
96_LSR_sex( 0.07 0.12 0.01 0.03 0.02 0.1 0.04 0.08 0.08 0.04
96_RF_sex( 0.06 0.04 0.05 0.01 0.09 0.04 0.11 0.02 0.03 0.01
128_SVC_sex( 0.0 0.07 0.01 0.06 0.12 0.02 0.1 0.06 0.05 0.08
128_LSR_sex( 0.09 0.1 0.02 0.03 0.04 0.02 0.16 0.17 0.06 0.08
128_RF_sex( 0.1 0.12 0.03 0.03 0.11 0.04 0.05 0.1 0.01 0.09
835_RF_sex( 0.02 0.08 0.01 0.05 0.03 0.08 0.06 0.01 0.15 0.02
835_LSR_sex( 0.04 0.19 0.06 0.1 0.04 0.04 0.07 0.11 0.09 0.02
835_SVC_sex( 0.01 0.14 0.15 0.04 0.02 0.02 0.02 0.01 0.11 0.07
160_SVC_sex( 0.02 0.12 0.05 0.05 0.12 0.04 0.13 0.08 0.05 0.0
160_LSR_sex( 0.05 0.09 0.09 0.05 0.06 0.04 0.02 0.15 0.08 0.01
160_RF_sex( 0.06 0.09 0.02 0.01 0.11 0.04 0.14 0.02 0.06 0.02
