0_race( 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0
0_sex( 0.09 0.09 0.08 0.07 0.09 0.08 0.09 0.07 0.09 0.09
1_race( 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0
1_sex( 0.09 0.09 0.08 0.07 0.09 0.08 0.09 0.07 0.09 0.09
2_race( 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0
2_sex( 0.09 0.09 0.08 0.07 0.09 0.08 0.09 0.07 0.09 0.09
3_race( 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0
3_sex( 0.09 0.09 0.08 0.07 0.09 0.08 0.09 0.07 0.09 0.09
4_race( 0.89 0.89 0.91 0.91 0.9 0.89 0.89 0.9 0.89 0.9
4_sex( 0.08 0.08 0.07 0.06 0.07 0.07 0.07 0.05 0.09 0.08
