256_race( 0.47 0.41 0.27 0.31 0.33 0.48 0.5 0.34 0.46 0.47
256_sex( 0.37 0.41 0.31 0.42 0.4 0.39 0.35 0.49 0.37 0.42
640_race( 0.38 0.36 0.32 0.43 0.3 0.29 0.42 0.36 0.32 0.39
640_sex( 0.39 0.44 0.29 0.41 0.32 0.35 0.4 0.41 0.37 0.34
384_race( 0.43 0.34 0.4 0.44 0.28 0.27 0.43 0.4 0.39 0.4
384_sex( 0.32 0.46 0.33 0.39 0.31 0.37 0.41 0.38 0.35 0.41
512_race( 0.42 0.27 0.34 0.39 0.26 0.39 0.45 0.42 0.39 0.41
512_sex( 0.38 0.38 0.19 0.4 0.26 0.28 0.4 0.43 0.39 0.32
4937_race( 0.31 0.28 0.26 0.32 0.24 0.28 0.29 0.3 0.2 0.31
4937_sex( 0.33 0.36 0.3 0.39 0.29 0.29 0.37 0.39 0.34 0.3
