1024_race( 0.35 0.42 0.67 0.35 0.57 0.46 0.38 0.37 0.42 0.59
1024_sex( 0.88 0.77 0.84 0.81 0.8 0.74 0.84 0.78 0.78 0.84
512_race( 0.3 0.34 0.34 0.68 0.62 0.42 0.64 0.27 0.46 0.36
512_sex( 0.81 0.79 0.85 0.75 0.76 0.78 0.84 0.86 0.83 0.83
768_race( 0.39 0.54 0.52 0.34 0.64 0.23 0.48 0.46 0.58 0.52
768_sex( 0.75 0.84 0.78 0.77 0.8 0.79 0.81 0.83 0.74 0.81
1280_race( 0.34 0.32 0.54 0.41 0.47 0.36 0.65 0.37 0.46 0.52
1280_sex( 0.83 0.75 0.77 0.73 0.77 0.85 0.79 0.85 0.8 0.78
36177_race( 0.4 0.48 0.47 0.4 0.48 0.39 0.46 0.39 0.42 0.49
36177_sex( 0.73 0.72 0.74 0.74 0.76 0.75 0.76 0.74 0.72 0.75
