512_sex( 0.09 0.14 0.11 0.11 0.12 0.1 0.11 0.08 0.1 0.11
512_race( 0.02 0.02 0.08 0.0 0.04 0.04 0.02 0.0 0.04 0.04
1280_sex( 0.13 0.15 0.13 0.14 0.14 0.11 0.14 0.13 0.12 0.11
1280_race( 0.05 0.06 0.03 0.03 0.05 0.02 0.06 0.02 0.08 0.1
768_sex( 0.12 0.11 0.12 0.08 0.15 0.1 0.15 0.12 0.1 0.08
768_race( 0.01 0.05 0.08 0.06 0.02 0.03 0.06 0.03 0.02 0.05
1024_sex( 0.14 0.11 0.12 0.14 0.15 0.11 0.14 0.12 0.11 0.12
1024_race( 0.04 0.06 0.08 0.0 0.06 0.06 0.03 0.02 0.06 0.08
36177_sex( 0.16 0.12 0.15 0.16 0.16 0.1 0.14 0.13 0.13 0.14
36177_race( 0.04 0.04 0.06 0.04 0.08 0.04 0.07 0.04 0.05 0.07
