recall+,precision+,accuracy+,F1+,AOD-,EOD-,SPD-,DI-,FA0-,FA1-,biased_col,samples,rep
0.1,0.53,0.49,0.17,0.81,0.78,0.8,0.89,0.9,0.12,race(,4937,1
0.04,0.75,0.5,0.08,0.96,0.95,0.96,0.97,0.96,0.01,race(,256,1
0.01,0.36,0.48,0.02,0.96,0.95,0.96,0.98,0.99,0.04,race(,384,1
0.02,0.5,0.48,0.04,0.96,0.96,0.96,0.98,0.98,0.02,race(,512,1
0.03,0.65,0.49,0.06,0.94,0.95,0.95,0.97,0.97,0.02,race(,640,1
0.1,0.54,0.5,0.17,0.8,0.81,0.8,0.89,0.9,0.09,race(,4937,2
0.02,0.44,0.49,0.04,0.96,0.96,0.95,0.98,0.98,0.02,race(,256,2
0.02,0.64,0.5,0.04,0.96,0.95,0.96,0.99,0.98,0.03,race(,384,2
0.02,0.71,0.5,0.04,0.98,0.97,0.98,0.98,0.98,0.0,race(,512,2
0.04,0.59,0.5,0.07,0.94,0.94,0.94,0.96,0.96,0.02,race(,640,2
0.12,0.62,0.53,0.2,0.8,0.77,0.8,0.89,0.88,0.1,race(,4937,3
0.04,0.65,0.51,0.08,0.9,0.91,0.9,0.97,0.96,0.05,race(,256,3
0.04,0.78,0.52,0.08,0.95,0.93,0.95,0.97,0.96,0.03,race(,384,3
0.01,0.55,0.51,0.02,0.94,0.96,0.95,0.99,0.99,0.02,race(,512,3
0.02,0.54,0.51,0.04,0.97,0.97,0.97,0.98,0.98,0.01,race(,640,3
0.1,0.51,0.49,0.17,0.8,0.8,0.8,0.89,0.9,0.09,race(,4937,4
0.01,0.43,0.49,0.02,0.96,0.95,0.96,0.98,0.99,0.04,race(,256,4
0.03,0.7,0.5,0.06,0.94,0.95,0.95,0.97,0.97,0.01,race(,384,4
0.05,0.81,0.51,0.09,0.94,0.91,0.94,0.97,0.95,0.04,race(,512,4
0.01,0.67,0.5,0.02,0.94,0.94,0.94,0.99,0.99,0.04,race(,640,4
0.11,0.51,0.5,0.18,0.8,0.82,0.81,0.88,0.89,0.07,race(,4937,5
0.02,0.54,0.5,0.04,0.96,0.95,0.96,0.98,0.98,0.03,race(,256,5
0.06,0.66,0.51,0.11,0.95,0.93,0.95,0.96,0.94,0.02,race(,384,5
0.05,0.71,0.51,0.09,0.95,0.94,0.95,0.96,0.95,0.02,race(,512,5
