recall+,precision+,accuracy+,F1+,AOD-,EOD-,SPD-,DI-,FA0-,FA1-,biased_col,samples,rep
0.15,0.58,0.58,0.24,0.8,0.77,0.81,0.88,0.85,0.09,sex(,835,1
0.19,0.56,0.58,0.28,0.65,0.67,0.63,0.81,0.81,0.15,sex(,64,1
0.15,0.58,0.58,0.24,0.76,0.74,0.75,0.87,0.85,0.12,sex(,96,1
0.15,0.88,0.62,0.26,0.86,0.85,0.85,0.92,0.85,0.0,sex(,128,1
0.17,0.42,0.54,0.24,0.78,0.8,0.78,0.82,0.83,0.03,sex(,160,1
0.09,0.36,0.6,0.14,0.8,0.78,0.81,0.9,0.91,0.13,sex(,835,2
0.09,0.67,0.64,0.16,0.78,0.74,0.8,0.94,0.91,0.17,sex(,64,2
0.25,0.55,0.64,0.34,0.72,0.65,0.73,0.81,0.75,0.1,sex(,96,2
0.11,0.29,0.56,0.16,0.84,0.89,0.82,0.85,0.89,0.0,sex(,128,2
0.05,1.0,0.64,0.1,0.92,0.89,0.92,0.98,0.95,0.07,sex(,160,2
0.07,0.36,0.49,0.12,0.8,0.8,0.81,0.89,0.93,0.12,sex(,835,3
0.02,0.07,0.41,0.03,0.7,0.81,0.7,0.85,0.98,0.18,sex(,64,3
0.02,0.33,0.5,0.04,0.88,0.91,0.87,0.97,0.98,0.08,sex(,96,3
0.15,0.47,0.5,0.23,0.8,0.8,0.81,0.84,0.85,0.05,sex(,128,3
0.11,0.5,0.51,0.18,0.76,0.74,0.76,0.88,0.89,0.15,sex(,160,3
0.09,0.36,0.59,0.14,0.8,0.79,0.81,0.9,0.91,0.12,sex(,835,4
0.09,0.36,0.59,0.14,0.68,0.66,0.69,0.88,0.91,0.25,sex(,64,4
0.13,0.46,0.61,0.2,0.74,0.74,0.72,0.87,0.87,0.12,sex(,96,4
0.02,0.17,0.58,0.04,0.82,0.77,0.85,0.94,0.98,0.21,sex(,128,4
0.0,0.0,0.56,0.0,0.84,0.92,0.81,0.93,1.0,0.08,sex(,160,4
0.08,0.38,0.5,0.13,0.82,0.89,0.81,0.89,0.92,0.03,sex(,835,5
0.03,0.5,0.52,0.06,0.89,0.87,0.9,0.97,0.97,0.09,sex(,64,5
0.0,0.0,0.47,0.0,0.92,0.94,0.92,0.95,1.0,0.06,sex(,96,5
0.05,0.5,0.52,0.09,0.89,0.89,0.89,0.95,0.95,0.06,sex(,128,5
0.05,0.5,0.52,0.09,0.92,0.92,0.92,0.95,0.95,0.03,sex(,160,5
0.04,0.2,0.56,0.07,0.8,0.8,0.8,0.91,0.96,0.16,sex(,835,6
0.06,0.5,0.6,0.11,0.69,0.74,0.67,0.93,0.94,0.2,sex(,64,6
0.06,0.21,0.54,0.09,0.78,0.82,0.78,0.87,0.94,0.12,sex(,96,6
0.08,0.57,0.61,0.14,0.82,0.76,0.84,0.94,0.92,0.16,sex(,128,6
0.04,0.33,0.59,0.07,0.76,0.72,0.79,0.94,0.96,0.24,sex(,160,6
0.1,0.42,0.55,0.16,0.8,0.77,0.81,0.89,0.9,0.13,sex(,835,7
0.06,0.43,0.56,0.11,0.8,0.81,0.79,0.93,0.94,0.13,sex(,64,7
0.14,0.58,0.58,0.23,0.82,0.76,0.83,0.89,0.86,0.1,sex(,96,7
0.06,0.3,0.53,0.1,0.85,0.84,0.86,0.91,0.94,0.1,sex(,128,7
0.04,0.15,0.49,0.06,0.9,0.96,0.89,0.89,0.96,0.0,sex(,160,7
0.06,0.43,0.56,0.11,0.8,0.78,0.8,0.93,0.94,0.16,sex(,835,8
0.02,0.1,0.5,0.03,0.74,0.85,0.73,0.9,0.98,0.14,sex(,64,8
0.02,0.2,0.55,0.04,0.81,0.79,0.81,0.95,0.98,0.19,sex(,96,8
0.12,0.43,0.55,0.19,0.79,0.77,0.79,0.87,0.88,0.11,sex(,128,8
0.06,0.38,0.55,0.1,0.84,0.86,0.84,0.93,0.94,0.08,sex(,160,8
0.15,0.5,0.56,0.23,0.82,0.85,0.82,0.86,0.85,0.0,sex(,835,9
0.09,0.33,0.52,0.14,0.7,0.77,0.69,0.85,0.91,0.14,sex(,64,9
0.17,0.5,0.56,0.25,0.81,0.75,0.82,0.85,0.83,0.08,sex(,96,9
0.02,0.12,0.51,0.03,0.9,0.98,0.89,0.93,0.98,0.0,sex(,128,9
0.13,0.88,0.61,0.23,0.9,0.87,0.9,0.93,0.87,0.0,sex(,160,9
0.13,0.38,0.58,0.19,0.82,0.84,0.82,0.86,0.87,0.03,sex(,835,10
0.13,0.27,0.53,0.18,0.73,0.75,0.73,0.8,0.87,0.12,sex(,64,10
0.13,0.46,0.6,0.2,0.72,0.78,0.7,0.87,0.87,0.09,sex(,96,10
0.06,0.21,0.55,0.09,0.73,0.72,0.74,0.86,0.94,0.22,sex(,128,10
0.3,0.61,0.65,0.4,0.76,0.67,0.79,0.81,0.7,0.03,sex(,160,10
