256_race( 0.62 0.67 0.66 0.63 0.63 0.63 0.62 0.67 0.64 0.63
256_sex( 0.64 0.64 0.64 0.62 0.61 0.63 0.64 0.62 0.65 0.64
640_race( 0.65 0.68 0.68 0.64 0.64 0.66 0.66 0.66 0.67 0.65
640_sex( 0.65 0.64 0.66 0.65 0.64 0.65 0.65 0.66 0.67 0.64
384_race( 0.66 0.65 0.64 0.66 0.63 0.65 0.66 0.65 0.68 0.64
384_sex( 0.65 0.65 0.65 0.63 0.63 0.64 0.64 0.66 0.66 0.63
512_race( 0.64 0.69 0.65 0.65 0.63 0.66 0.64 0.65 0.66 0.66
512_sex( 0.65 0.67 0.65 0.64 0.61 0.64 0.66 0.65 0.66 0.63
4937_race( 0.7 0.69 0.7 0.68 0.65 0.67 0.69 0.7 0.69 0.67
4937_sex( 0.68 0.67 0.69 0.68 0.64 0.65 0.68 0.68 0.69 0.65
