256_sex( 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
256_race( 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
1024_sex( 0.21 0.19 0.2 0.22 0.19 0.15 0.18 0.17 0.2 0.21
1024_race( 0.07 0.07 0.12 0.06 0.11 0.08 0.06 0.07 0.08 0.12
512_sex( 0.17 0.16 0.19 0.2 0.21 0.19 0.16 0.19 0.2 0.2
512_race( 0.06 0.05 0.06 0.12 0.11 0.07 0.12 0.05 0.07 0.07
768_sex( 0.18 0.19 0.19 0.19 0.22 0.19 0.19 0.19 0.17 0.22
768_race( 0.07 0.1 0.1 0.06 0.13 0.04 0.08 0.08 0.11 0.1
1280_sex( 0.22 0.17 0.18 0.17 0.18 0.2 0.18 0.19 0.18 0.2
1280_race( 0.07 0.06 0.11 0.08 0.1 0.07 0.12 0.07 0.09 0.1
36177_sex( 0.18 0.18 0.19 0.19 0.19 0.19 0.19 0.18 0.18 0.19
36177_race( 0.08 0.1 0.09 0.08 0.1 0.08 0.09 0.08 0.08 0.1
