512_race( 0.73 0.78 0.86 0.73 0.83 0.84 0.78 0.7 0.8 0.82
512_sex( 0.93 0.92 0.92 0.91 0.93 0.94 0.93 0.86 0.87 0.84
1280_race( 0.75 0.8 0.73 0.75 0.74 0.71 0.78 0.75 0.8 0.82
1280_sex( 0.86 0.85 0.87 0.88 0.87 0.84 0.89 0.89 0.87 0.83
768_race( 0.74 0.77 0.84 0.81 0.75 0.78 0.79 0.78 0.78 0.82
768_sex( 0.89 0.86 0.91 0.86 0.9 0.85 0.92 0.89 0.87 0.83
1024_race( 0.74 0.77 0.79 0.73 0.72 0.8 0.75 0.75 0.79 0.8
1024_sex( 0.89 0.86 0.88 0.91 0.9 0.86 0.92 0.89 0.85 0.84
36177_race( 0.67 0.65 0.66 0.65 0.66 0.64 0.71 0.65 0.64 0.69
36177_sex( 0.82 0.76 0.78 0.81 0.77 0.73 0.82 0.77 0.76 0.76
