recall+,precision+,accuracy+,F1+,AOD-,EOD-,SPD-,DI-,FA0-,FA1-,biased_col,samples,rep
0.33,0.75,0.87,0.46,0.04,0.06,0.07,0.5,0.67,0.61,race(,36177,1
0.27,0.7,0.86,0.39,0.02,0.02,0.04,0.39,0.73,0.7,race(,512,1
0.26,0.71,0.86,0.38,0.01,0.01,0.03,0.35,0.74,0.73,race(,768,1
0.26,0.71,0.86,0.38,0.04,0.05,0.05,0.46,0.74,0.68,race(,1024,1
0.25,0.72,0.86,0.37,0.05,0.07,0.06,0.49,0.75,0.68,race(,1280,1
0.35,0.77,0.88,0.48,0.04,0.05,0.08,0.52,0.65,0.6,race(,36177,2
0.22,0.71,0.87,0.34,0.02,0.03,0.04,0.45,0.78,0.75,race(,512,2
0.23,0.73,0.87,0.35,0.05,0.07,0.06,0.54,0.77,0.71,race(,768,2
0.23,0.75,0.87,0.35,0.06,0.09,0.07,0.59,0.77,0.68,race(,1024,2
0.2,0.78,0.87,0.32,0.06,0.1,0.07,0.63,0.8,0.7,race(,1280,2
0.34,0.81,0.88,0.48,0.06,0.09,0.09,0.58,0.66,0.58,race(,36177,3
0.14,0.88,0.86,0.24,0.08,0.14,0.07,0.74,0.86,0.72,race(,512,3
0.16,0.91,0.87,0.27,0.08,0.12,0.07,0.71,0.84,0.72,race(,768,3
0.21,0.85,0.87,0.34,0.08,0.13,0.08,0.68,0.79,0.66,race(,1024,3
0.27,0.76,0.87,0.4,0.03,0.04,0.05,0.48,0.73,0.69,race(,1280,3
0.35,0.77,0.87,0.48,0.04,0.06,0.06,0.45,0.65,0.59,race(,36177,4
0.27,0.76,0.86,0.4,0.0,0.01,0.03,0.31,0.73,0.74,race(,512,4
0.19,0.75,0.85,0.3,0.06,0.11,0.06,0.59,0.81,0.7,race(,768,4
0.27,0.78,0.86,0.4,0.0,0.0,0.03,0.33,0.73,0.73,race(,1024,4
0.25,0.76,0.86,0.38,0.03,0.04,0.05,0.44,0.75,0.7,race(,1280,4
0.34,0.79,0.89,0.48,0.08,0.11,0.09,0.59,0.66,0.55,race(,36177,5
0.17,0.84,0.87,0.28,0.04,0.06,0.04,0.59,0.83,0.77,race(,512,5
0.25,0.84,0.88,0.39,0.02,0.02,0.04,0.49,0.75,0.73,race(,768,5
0.28,0.77,0.88,0.41,0.06,0.08,0.07,0.55,0.72,0.64,race(,1024,5
0.26,0.73,0.87,0.38,0.05,0.07,0.06,0.52,0.74,0.67,race(,1280,5
0.36,0.72,0.88,0.48,0.04,0.05,0.07,0.46,0.64,0.59,race(,36177,6
0.16,0.7,0.86,0.26,0.04,0.07,0.04,0.53,0.84,0.77,race(,512,6
0.22,0.74,0.86,0.34,0.03,0.05,0.04,0.48,0.78,0.72,race(,768,6
0.2,0.71,0.86,0.31,0.06,0.09,0.06,0.55,0.8,0.71,race(,1024,6
0.29,0.71,0.87,0.41,0.02,0.02,0.04,0.39,0.71,0.69,race(,1280,6
0.29,0.82,0.87,0.43,0.07,0.1,0.08,0.57,0.71,0.61,race(,36177,7
0.22,0.7,0.85,0.33,0.02,0.02,0.03,0.36,0.78,0.76,race(,512,7
0.21,0.74,0.86,0.33,0.06,0.09,0.06,0.54,0.79,0.7,race(,768,7
0.25,0.71,0.86,0.37,0.03,0.05,0.04,0.43,0.75,0.7,race(,1024,7
0.22,0.77,0.86,0.34,0.06,0.11,0.06,0.58,0.78,0.67,race(,1280,7
0.35,0.72,0.87,0.47,0.04,0.06,0.07,0.47,0.65,0.59,race(,36177,8
0.3,0.7,0.87,0.42,0.0,0.01,0.03,0.33,0.7,0.71,race(,512,8
0.22,0.7,0.86,0.33,0.03,0.05,0.04,0.45,0.78,0.73,race(,768,8
0.25,0.68,0.86,0.37,0.02,0.04,0.04,0.43,0.75,0.71,race(,1024,8
0.25,0.73,0.86,0.37,0.02,0.04,0.04,0.45,0.75,0.71,race(,1280,8
0.36,0.78,0.88,0.49,0.05,0.06,0.08,0.51,0.64,0.58,race(,36177,9
0.2,0.8,0.87,0.32,0.04,0.06,0.05,0.58,0.8,0.74,race(,512,9
0.22,0.75,0.87,0.34,0.02,0.04,0.04,0.47,0.78,0.74,race(,768,9
0.21,0.8,0.87,0.33,0.06,0.09,0.06,0.6,0.79,0.7,race(,1024,9
0.2,0.87,0.87,0.33,0.08,0.13,0.08,0.67,0.8,0.67,race(,1280,9
0.31,0.74,0.87,0.44,0.07,0.11,0.09,0.57,0.69,0.58,race(,36177,10
0.18,0.71,0.86,0.29,0.04,0.08,0.05,0.54,0.82,0.74,race(,512,10
0.18,0.73,0.86,0.29,0.05,0.09,0.05,0.57,0.82,0.72,race(,768,10
0.2,0.7,0.86,0.31,0.08,0.14,0.08,0.63,0.8,0.66,race(,1024,10
0.18,0.76,0.86,0.29,0.1,0.17,0.09,0.69,0.82,0.65,race(,1280,10
0.18,0.68,0.89,0.28,0.16,0.25,0.15,0.83,0.82,0.57,sex(,36177,1
0.07,0.81,0.89,0.13,0.09,0.16,0.08,0.88,0.93,0.77,sex(,512,1
0.11,0.63,0.89,0.19,0.12,0.2,0.11,0.83,0.89,0.69,sex(,768,1
0.11,0.61,0.89,0.19,0.14,0.24,0.13,0.86,0.89,0.65,sex(,1024,1
0.14,0.64,0.89,0.23,0.13,0.22,0.12,0.83,0.86,0.65,sex(,1280,1
