recall+,precision+,accuracy+,F1+,AOD-,EOD-,SPD-,DI-,FA0-,FA1-,biased_col,samples,rep
0.2,0.73,0.82,0.31,0.02,0.03,0.03,0.34,0.8,0.77,SEX(,24000,1
0.0,0.67,0.8,0.0,0.0,0.01,0.0,0.67,1.0,0.99,SEX(,236,1
0.02,0.84,0.8,0.04,0.04,0.08,0.03,0.85,0.98,0.89,SEX(,354,1
0.03,0.83,0.8,0.06,0.03,0.06,0.02,0.74,0.97,0.9,SEX(,472,1
0.05,0.85,0.81,0.09,0.02,0.03,0.01,0.55,0.95,0.93,SEX(,590,1
0.21,0.73,0.82,0.33,0.04,0.06,0.03,0.34,0.79,0.73,SEX(,24000,2
0.01,0.8,0.79,0.02,0.03,0.06,0.02,0.89,0.99,0.92,SEX(,230,2
0.02,0.73,0.79,0.04,0.01,0.02,0.01,0.59,0.98,0.96,SEX(,345,2
0.03,0.75,0.79,0.06,0.04,0.07,0.03,0.77,0.97,0.9,SEX(,460,2
0.04,0.75,0.79,0.08,0.04,0.08,0.03,0.72,0.96,0.88,SEX(,575,2
0.22,0.73,0.83,0.34,0.02,0.04,0.03,0.31,0.78,0.74,SEX(,24000,3
0.01,0.82,0.81,0.02,0.01,0.02,0.01,0.72,0.99,0.97,SEX(,242,3
0.02,0.78,0.81,0.04,0.0,0.01,0.01,0.52,0.98,0.97,SEX(,363,3
0.03,0.75,0.81,0.06,0.03,0.06,0.02,0.77,0.97,0.91,SEX(,484,3
0.05,0.81,0.82,0.09,0.02,0.04,0.01,0.53,0.95,0.91,SEX(,605,3
0.2,0.73,0.81,0.31,0.02,0.03,0.02,0.28,0.8,0.77,SEX(,24000,4
0.01,0.79,0.79,0.02,0.0,0.01,0.0,0.56,0.99,0.98,SEX(,242,4
0.02,0.8,0.79,0.04,0.05,0.09,0.03,0.88,0.98,0.89,SEX(,363,4
0.02,0.78,0.79,0.04,0.03,0.06,0.02,0.75,0.98,0.92,SEX(,484,4
0.09,0.79,0.8,0.16,0.0,0.01,0.0,0.13,0.91,0.92,SEX(,605,4
0.2,0.75,0.82,0.32,0.05,0.08,0.04,0.41,0.8,0.72,SEX(,24000,5
0.01,0.61,0.79,0.02,0.01,0.02,0.0,0.5,0.99,0.97,SEX(,230,5
0.02,0.63,0.79,0.04,0.02,0.03,0.01,0.67,0.98,0.95,SEX(,345,5
0.03,0.71,0.79,0.06,0.01,0.02,0.01,0.42,0.97,0.95,SEX(,460,5
0.09,0.71,0.8,0.16,0.03,0.06,0.02,0.45,0.91,0.86,SEX(,575,5
0.21,0.76,0.82,0.33,0.02,0.02,0.02,0.26,0.79,0.77,SEX(,24000,6
0.01,0.89,0.79,0.02,0.0,0.01,0.0,0.66,0.99,0.98,SEX(,230,6
0.02,0.72,0.79,0.04,0.02,0.03,0.01,0.7,0.98,0.95,SEX(,345,6
0.05,0.84,0.8,0.09,0.05,0.07,0.03,0.69,0.95,0.88,SEX(,460,6
0.03,0.79,0.79,0.06,0.03,0.06,0.02,0.7,0.97,0.91,SEX(,575,6
0.23,0.73,0.83,0.35,0.02,0.02,0.02,0.28,0.77,0.75,SEX(,24000,7
0.02,0.6,0.8,0.04,0.0,0.01,0.0,0.38,0.98,0.97,SEX(,238,7
0.03,0.62,0.8,0.06,0.02,0.02,0.01,0.51,0.97,0.95,SEX(,357,7
0.04,0.62,0.8,0.08,0.02,0.03,0.01,0.54,0.96,0.93,SEX(,476,7
0.04,0.64,0.8,0.08,0.03,0.05,0.02,0.63,0.96,0.91,SEX(,595,7
0.21,0.75,0.82,0.33,0.03,0.06,0.03,0.33,0.79,0.73,SEX(,24000,8
0.01,0.57,0.79,0.02,0.01,0.02,0.01,0.6,0.99,0.97,SEX(,236,8
0.02,0.62,0.79,0.04,0.02,0.04,0.01,0.61,0.98,0.94,SEX(,354,8
0.01,0.65,0.79,0.02,0.01,0.02,0.01,0.6,0.99,0.96,SEX(,472,8
0.02,0.62,0.79,0.04,0.03,0.06,0.02,0.72,0.98,0.92,SEX(,590,8
0.22,0.75,0.82,0.34,0.02,0.02,0.03,0.31,0.78,0.76,SEX(,24000,9
0.01,0.77,0.79,0.02,0.0,0.01,0.01,0.59,0.99,0.97,SEX(,238,9
0.02,0.62,0.79,0.04,0.02,0.04,0.01,0.69,0.98,0.94,SEX(,357,9
0.06,0.76,0.8,0.11,0.02,0.03,0.01,0.44,0.94,0.91,SEX(,476,9
0.03,0.67,0.8,0.06,0.06,0.1,0.04,0.78,0.97,0.87,SEX(,595,9
0.2,0.74,0.82,0.31,0.03,0.05,0.03,0.32,0.8,0.75,SEX(,24000,10
0.03,0.67,0.8,0.06,0.03,0.06,0.02,0.63,0.97,0.9,SEX(,240,10
0.04,0.7,0.8,0.08,0.04,0.07,0.02,0.64,0.96,0.89,SEX(,360,10
0.03,0.66,0.8,0.06,0.02,0.04,0.01,0.49,0.97,0.93,SEX(,480,10
0.03,0.68,0.8,0.06,0.02,0.05,0.01,0.58,0.97,0.91,SEX(,600,10
