ranking,feature,occurances_pct,model_num
1,BILL_AMT1,0.0,0
1,PAY_AMT1,0.001,0
1,PAY_AMT2,0.004,0
1,PAY_AMT3,0.002,0
1,PAY_AMT4,0.001,0
1,PAY_AMT5,0.001,0
1,PAY_AMT6,0.003,0
1,SEX(,0.0,0
1,Unrelated_column_one,0.988,0
2,AGE,0.049,0
2,BILL_AMT1,0.046,0
2,BILL_AMT2,0.037,0
2,BILL_AMT3,0.041,0
2,BILL_AMT4,0.03,0
2,BILL_AMT5,0.031,0
2,BILL_AMT6,0.032,0
2,EDUCATION,0.019,0
2,ID,0.023,0
2,LIMIT_BAL,0.031,0
2,MARRIAGE,0.026,0
2,PAY_0,0.016,0
2,PAY_2,0.02,0
2,PAY_3,0.022,0
2,PAY_4,0.025,0
2,PAY_5,0.021,0
2,PAY_6,0.024,0
2,PAY_AMT1,0.075,0
2,PAY_AMT2,0.079,0
2,PAY_AMT3,0.083,0
2,PAY_AMT4,0.078,0
2,PAY_AMT5,0.079,0
2,PAY_AMT6,0.088,0
2,SEX(,0.047,0
2,Unrelated_column_one,0.004,0
3,AGE,0.066,0
3,BILL_AMT1,0.051,0
3,BILL_AMT2,0.045,0
3,BILL_AMT3,0.039,0
3,BILL_AMT4,0.039,0
3,BILL_AMT5,0.034,0
3,BILL_AMT6,0.041,0
3,EDUCATION,0.025,0
3,ID,0.032,0
3,LIMIT_BAL,0.033,0
3,MARRIAGE,0.035,0
3,PAY_0,0.021,0
3,PAY_2,0.023,0
3,PAY_3,0.021,0
3,PAY_4,0.029,0
3,PAY_5,0.031,0
3,PAY_6,0.03,0
3,PAY_AMT1,0.066,0
3,PAY_AMT2,0.056,0
3,PAY_AMT3,0.062,0
3,PAY_AMT4,0.062,0
3,PAY_AMT5,0.063,0
3,PAY_AMT6,0.064,0
3,SEX(,0.063,0
3,Unrelated_column_one,0.001,0
1,Unrelated_column_one,1.0,1
2,AGE,0.1,1
2,BILL_AMT1,0.049,1
2,BILL_AMT2,0.048,1
2,BILL_AMT3,0.05,1
2,BILL_AMT4,0.048,1
2,BILL_AMT5,0.046,1
2,BILL_AMT6,0.052,1
2,EDUCATION,0.042,1
2,ID,0.051,1
2,LIMIT_BAL,0.045,1
2,MARRIAGE,0.05,1
2,PAY_0,0.025,1
2,PAY_2,0.033,1
2,PAY_3,0.033,1
2,PAY_4,0.045,1
2,PAY_5,0.049,1
2,PAY_6,0.048,1
2,PAY_AMT1,0.034,1
2,PAY_AMT2,0.029,1
2,PAY_AMT3,0.036,1
2,PAY_AMT4,0.029,1
2,PAY_AMT5,0.033,1
2,PAY_AMT6,0.029,1
2,SEX(,0.047,1
3,AGE,0.108,1
3,BILL_AMT1,0.05,1
3,BILL_AMT2,0.051,1
3,BILL_AMT3,0.046,1
3,BILL_AMT4,0.05,1
3,BILL_AMT5,0.05,1
3,BILL_AMT6,0.056,1
3,EDUCATION,0.041,1
3,ID,0.052,1
3,LIMIT_BAL,0.048,1
3,MARRIAGE,0.059,1
3,PAY_0,0.03,1
3,PAY_2,0.031,1
3,PAY_3,0.034,1
3,PAY_4,0.038,1
3,PAY_5,0.046,1
3,PAY_6,0.046,1
3,PAY_AMT1,0.028,1
3,PAY_AMT2,0.025,1
3,PAY_AMT3,0.024,1
3,PAY_AMT4,0.027,1
3,PAY_AMT5,0.03,1
3,PAY_AMT6,0.027,1
3,SEX(,0.059,1
1,BILL_AMT1,0.0,5
1,BILL_AMT2,0.0,5
1,BILL_AMT4,0.0,5
1,BILL_AMT5,0.0,5
1,BILL_AMT6,0.001,5
1,PAY_AMT1,0.016,5
1,PAY_AMT2,0.043,5
1,PAY_AMT3,0.002,5
1,PAY_AMT4,0.004,5
1,PAY_AMT5,0.026,5
1,PAY_AMT6,0.002,5
1,Unrelated_column_one,0.905,5
2,AGE,0.017,5
2,BILL_AMT1,0.023,5
2,BILL_AMT2,0.028,5
2,BILL_AMT3,0.035,5
2,BILL_AMT4,0.02,5
2,BILL_AMT5,0.029,5
2,BILL_AMT6,0.034,5
2,EDUCATION,0.007,5
2,ID,0.008,5
2,LIMIT_BAL,0.009,5
2,MARRIAGE,0.01,5
2,PAY_0,0.009,5
2,PAY_2,0.009,5
2,PAY_3,0.007,5
2,PAY_4,0.006,5
2,PAY_5,0.009,5
2,PAY_6,0.01,5
2,PAY_AMT1,0.146,5
2,PAY_AMT2,0.181,5
2,PAY_AMT3,0.056,5
2,PAY_AMT4,0.074,5
2,PAY_AMT5,0.18,5
2,PAY_AMT6,0.053,5
2,SEX(,0.014,5
2,Unrelated_column_one,0.034,5
3,AGE,0.024,5
3,BILL_AMT1,0.033,5
3,BILL_AMT2,0.046,5
3,BILL_AMT3,0.053,5
3,BILL_AMT4,0.03,5
3,BILL_AMT5,0.045,5
3,BILL_AMT6,0.054,5
3,EDUCATION,0.01,5
3,ID,0.013,5
3,LIMIT_BAL,0.014,5
3,MARRIAGE,0.013,5
3,PAY_0,0.01,5
3,PAY_2,0.011,5
3,PAY_3,0.012,5
3,PAY_4,0.014,5
3,PAY_5,0.012,5
3,PAY_6,0.016,5
3,PAY_AMT1,0.128,5
3,PAY_AMT2,0.09,5
3,PAY_AMT3,0.064,5
3,PAY_AMT4,0.084,5
3,PAY_AMT5,0.125,5
3,PAY_AMT6,0.065,5
3,SEX(,0.018,5
3,Unrelated_column_one,0.028,5
1,BILL_AMT1,0.001,7
1,BILL_AMT2,0.0,7
