recall+,precision+,accuracy+,F1+,FA0-,FA1-,MSE-,AOD-,EOD-,SPD-,DI-,biased_col,samples,rep,learner
0.52,0.62,0.87,0.57,0.48,0.49,0.185,0.02,0.0,0.07,0.32,race(,36177,1,RF
0.34,0.75,0.87,0.47,0.66,0.57,0.187,0.06,0.09,0.09,0.54,race(,36177,1,LSR
0.33,0.75,0.87,0.46,0.67,0.61,0.189,0.04,0.06,0.07,0.5,race(,36177,1,SVC
0.15,0.25,0.79,0.19,0.85,0.09,0.619,0.78,0.75,0.8,0.89,race(,36177,1,Slack
0.43,0.61,0.86,0.5,0.57,0.52,0.182,0.04,0.05,0.06,0.36,race(,1024,1,RF_RF
0.3,0.76,0.87,0.43,0.7,0.6,0.184,0.06,0.09,0.07,0.53,race(,1024,1,LSR_RF
0.31,0.81,0.88,0.45,0.69,0.63,0.184,0.04,0.06,0.07,0.51,race(,1024,1,SVC_RF
0.02,0.29,0.83,0.04,0.98,0.04,0.64,0.94,0.94,0.95,0.99,race(,1024,1,Slack_RF
0.46,0.61,0.86,0.52,0.54,0.48,0.184,0.04,0.06,0.08,0.39,race(,1280,1,RF_RF
0.26,0.85,0.87,0.4,0.74,0.6,0.188,0.08,0.13,0.09,0.64,race(,1280,1,LSR_RF
0.26,0.87,0.87,0.4,0.74,0.64,0.187,0.06,0.1,0.07,0.6,race(,1280,1,SVC_RF
0.0,0.0,0.82,0.0,1.0,0.02,0.642,0.96,0.98,0.96,0.99,race(,1280,1,Slack_RF
0.5,0.65,0.87,0.57,0.5,0.48,0.182,0.02,0.02,0.08,0.37,race(,1536,1,RF_RF
0.32,0.72,0.87,0.44,0.68,0.61,0.189,0.05,0.07,0.07,0.48,race(,1536,1,LSR_RF
0.35,0.76,0.88,0.48,0.65,0.62,0.186,0.02,0.03,0.06,0.42,race(,1536,1,SVC_RF
0.04,0.14,0.8,0.06,0.96,0.03,0.648,0.92,0.93,0.92,0.95,race(,1536,1,Slack_RF
0.42,0.65,0.87,0.51,0.58,0.53,0.188,0.04,0.05,0.08,0.42,race(,1792,1,RF_RF
0.35,0.71,0.87,0.47,0.65,0.59,0.184,0.04,0.06,0.06,0.44,race(,1792,1,LSR_RF
0.37,0.72,0.87,0.49,0.63,0.62,0.187,0.02,0.02,0.05,0.39,race(,1792,1,SVC_RF
0.04,0.16,0.81,0.06,0.96,0.02,0.646,0.94,0.94,0.93,0.96,race(,1792,1,Slack_RF
0.52,0.6,0.87,0.56,0.48,0.5,0.181,0.0,0.02,0.05,0.25,race(,2048,1,RF_RF
0.3,0.74,0.87,0.43,0.7,0.59,0.185,0.06,0.1,0.08,0.54,race(,2048,1,LSR_RF
0.35,0.75,0.88,0.48,0.65,0.62,0.185,0.02,0.03,0.05,0.41,race(,2048,1,SVC_RF
0.01,0.15,0.83,0.02,0.99,0.03,0.644,0.96,0.96,0.96,0.99,race(,2048,1,Slack_RF
0.46,0.67,0.87,0.55,0.54,0.51,0.18,0.03,0.03,0.07,0.38,race(,2304,1,RF_RF
0.32,0.74,0.87,0.45,0.68,0.6,0.187,0.06,0.08,0.07,0.52,race(,2304,1,LSR_RF
0.36,0.74,0.87,0.48,0.64,0.62,0.186,0.02,0.02,0.05,0.41,race(,2304,1,SVC_RF
0.02,0.11,0.81,0.03,0.98,0.03,0.645,0.94,0.95,0.94,0.97,race(,2304,1,Slack_RF
0.46,0.62,0.87,0.53,0.54,0.5,0.185,0.04,0.04,0.07,0.38,race(,2560,1,RF_RF
0.33,0.76,0.87,0.46,0.67,0.58,0.184,0.06,0.08,0.08,0.52,race(,2560,1,LSR_RF
0.33,0.73,0.87,0.45,0.67,0.62,0.186,0.04,0.05,0.06,0.44,race(,2560,1,SVC_RF
0.03,0.41,0.83,0.06,0.97,0.02,0.638,0.94,0.94,0.95,0.99,race(,2560,1,Slack_RF
0.48,0.66,0.88,0.56,0.52,0.48,0.185,0.04,0.03,0.09,0.45,race(,36177,2,RF
