ranking,feature,occurances_pct,model_num,rep
1,Age,0.569,RF,1
1,Length_of_stay,0.053,RF,1
1,Priors_count,0.352,RF,1
1,c_charge_degree_F,0.012,RF,1
1,c_charge_degree_M,0.013,RF,1
2,Age,0.241,RF,1
2,Length_of_stay,0.131,RF,1
2,Priors_count,0.58,RF,1
2,c_charge_degree_F,0.031,RF,1
2,c_charge_degree_M,0.017,RF,1
3,Age,0.131,RF,1
3,Length_of_stay,0.673,RF,1
3,Priors_count,0.023,RF,1
3,Unrelated_column_one,0.006,RF,1
3,c_charge_degree_F,0.075,RF,1
3,c_charge_degree_M,0.073,RF,1
3,race(,0.012,RF,1
3,sex(,0.006,RF,1
1,Priors_count,1.0,LSR,1
2,Age,1.0,LSR,1
3,Length_of_stay,0.001,LSR,1
3,c_charge_degree_F,0.006,LSR,1
3,sex(,0.994,LSR,1
1,Unrelated_column_one,1.0,Slack,1
2,Age,0.073,Slack,1
2,Length_of_stay,0.066,Slack,1
2,Priors_count,0.062,Slack,1
2,c_charge_degree_F,0.327,Slack,1
2,c_charge_degree_M,0.353,Slack,1
2,race(,0.057,Slack,1
2,sex(,0.062,Slack,1
3,Age,0.119,Slack,1
3,Length_of_stay,0.136,Slack,1
3,Priors_count,0.119,Slack,1
3,c_charge_degree_F,0.19,Slack,1
3,c_charge_degree_M,0.194,Slack,1
3,race(,0.126,Slack,1
3,sex(,0.117,Slack,1
1,Age,0.228,RF_RF,1
1,Length_of_stay,0.018,RF_RF,1
1,Priors_count,0.664,RF_RF,1
1,c_charge_degree_F,0.057,RF_RF,1
1,c_charge_degree_M,0.026,RF_RF,1
1,race(,0.006,RF_RF,1
2,Age,0.372,RF_RF,1
2,Length_of_stay,0.132,RF_RF,1
2,Priors_count,0.22,RF_RF,1
2,Unrelated_column_one,0.002,RF_RF,1
2,c_charge_degree_F,0.1,RF_RF,1
2,c_charge_degree_M,0.16,RF_RF,1
2,race(,0.015,RF_RF,1
3,Age,0.13,RF_RF,1
3,Length_of_stay,0.263,RF_RF,1
3,Priors_count,0.053,RF_RF,1
3,Unrelated_column_one,0.006,RF_RF,1
3,c_charge_degree_F,0.127,RF_RF,1
3,c_charge_degree_M,0.372,RF_RF,1
3,race(,0.049,RF_RF,1
1,Age,0.332,LSR_RF,1
1,Priors_count,0.664,LSR_RF,1
1,c_charge_degree_F,0.001,LSR_RF,1
1,c_charge_degree_M,0.003,LSR_RF,1
2,Age,0.581,LSR_RF,1
2,Length_of_stay,0.011,LSR_RF,1
2,Priors_count,0.303,LSR_RF,1
2,Unrelated_column_one,0.001,LSR_RF,1
2,c_charge_degree_F,0.048,LSR_RF,1
2,c_charge_degree_M,0.047,LSR_RF,1
2,race(,0.005,LSR_RF,1
2,sex(,0.004,LSR_RF,1
3,Age,0.025,LSR_RF,1
3,Length_of_stay,0.083,LSR_RF,1
3,Priors_count,0.006,LSR_RF,1
3,Unrelated_column_one,0.003,LSR_RF,1
3,c_charge_degree_F,0.64,LSR_RF,1
3,c_charge_degree_M,0.158,LSR_RF,1
3,race(,0.016,LSR_RF,1
3,sex(,0.068,LSR_RF,1
1,Age,0.291,SVC_RF,1
1,Priors_count,0.7,SVC_RF,1
1,c_charge_degree_F,0.006,SVC_RF,1
1,c_charge_degree_M,0.002,SVC_RF,1
1,sex(,0.001,SVC_RF,1
2,Age,0.626,SVC_RF,1
2,Length_of_stay,0.028,SVC_RF,1
2,Priors_count,0.265,SVC_RF,1
2,Unrelated_column_one,0.001,SVC_RF,1
2,c_charge_degree_F,0.032,SVC_RF,1
2,c_charge_degree_M,0.029,SVC_RF,1
2,race(,0.012,SVC_RF,1
2,sex(,0.007,SVC_RF,1
3,Age,0.023,SVC_RF,1
3,Length_of_stay,0.245,SVC_RF,1
3,Priors_count,0.006,SVC_RF,1
3,c_charge_degree_F,0.15,SVC_RF,1
3,c_charge_degree_M,0.484,SVC_RF,1
3,race(,0.043,SVC_RF,1
3,sex(,0.049,SVC_RF,1
1,c_charge_degree_F,0.005,Slack_RF,1
1,race(,0.995,Slack_RF,1
2,Age,0.196,Slack_RF,1
2,Length_of_stay,0.033,Slack_RF,1
2,Priors_count,0.179,Slack_RF,1
2,Unrelated_column_one,0.037,Slack_RF,1
2,c_charge_degree_F,0.468,Slack_RF,1
2,c_charge_degree_M,0.07,Slack_RF,1
2,race(,0.005,Slack_RF,1
2,sex(,0.011,Slack_RF,1
3,Age,0.206,Slack_RF,1
3,Length_of_stay,0.083,Slack_RF,1
3,Priors_count,0.216,Slack_RF,1
3,Unrelated_column_one,0.069,Slack_RF,1
3,c_charge_degree_F,0.111,Slack_RF,1
3,c_charge_degree_M,0.28,Slack_RF,1
3,sex(,0.035,Slack_RF,1
1,Age,0.402,RF_RF,1
1,Length_of_stay,0.389,RF_RF,1
1,Priors_count,0.168,RF_RF,1
1,c_charge_degree_F,0.017,RF_RF,1
1,c_charge_degree_M,0.023,RF_RF,1
2,Age,0.256,RF_RF,1
2,Length_of_stay,0.404,RF_RF,1
2,Priors_count,0.272,RF_RF,1
2,Unrelated_column_one,0.001,RF_RF,1
2,c_charge_degree_F,0.041,RF_RF,1
2,c_charge_degree_M,0.023,RF_RF,1
2,race(,0.001,RF_RF,1
2,sex(,0.002,RF_RF,1
3,Age,0.23,RF_RF,1
3,Length_of_stay,0.135,RF_RF,1
3,Priors_count,0.477,RF_RF,1
3,Unrelated_column_one,0.006,RF_RF,1
3,c_charge_degree_F,0.075,RF_RF,1
3,c_charge_degree_M,0.057,RF_RF,1
3,race(,0.009,RF_RF,1
3,sex(,0.011,RF_RF,1
1,Age,0.164,LSR_RF,1
1,Priors_count,0.75,LSR_RF,1
1,c_charge_degree_M,0.087,LSR_RF,1
2,Age,0.612,LSR_RF,1
2,Length_of_stay,0.004,LSR_RF,1
2,Priors_count,0.155,LSR_RF,1
2,c_charge_degree_F,0.049,LSR_RF,1
2,c_charge_degree_M,0.18,LSR_RF,1
3,Age,0.079,LSR_RF,1
3,Length_of_stay,0.051,LSR_RF,1
3,Priors_count,0.023,LSR_RF,1
3,c_charge_degree_F,0.317,LSR_RF,1
3,c_charge_degree_M,0.523,LSR_RF,1
3,sex(,0.007,LSR_RF,1
1,Age,0.048,SVC_RF,1
1,Priors_count,0.874,SVC_RF,1
1,c_charge_degree_F,0.014,SVC_RF,1
1,c_charge_degree_M,0.065,SVC_RF,1
2,Age,0.734,SVC_RF,1
2,Length_of_stay,0.006,SVC_RF,1
2,Priors_count,0.046,SVC_RF,1
2,c_charge_degree_F,0.094,SVC_RF,1
2,c_charge_degree_M,0.12,SVC_RF,1
3,Age,0.074,SVC_RF,1
3,Length_of_stay,0.054,SVC_RF,1
3,Priors_count,0.012,SVC_RF,1
3,c_charge_degree_F,0.479,SVC_RF,1
3,c_charge_degree_M,0.341,SVC_RF,1
3,sex(,0.04,SVC_RF,1
1,c_charge_degree_F,0.001,Slack_RF,1
1,c_charge_degree_M,0.012,Slack_RF,1
1,race(,0.987,Slack_RF,1
2,Age,0.119,Slack_RF,1
2,Length_of_stay,0.396,Slack_RF,1
2,Priors_count,0.038,Slack_RF,1
2,Unrelated_column_one,0.004,Slack_RF,1
2,c_charge_degree_F,0.228,Slack_RF,1
2,c_charge_degree_M,0.209,Slack_RF,1
2,race(,0.006,Slack_RF,1
3,Age,0.167,Slack_RF,1
3,Length_of_stay,0.119,Slack_RF,1
3,Priors_count,0.15,Slack_RF,1
3,Unrelated_column_one,0.028,Slack_RF,1
3,c_charge_degree_F,0.274,Slack_RF,1
3,c_charge_degree_M,0.251,Slack_RF,1
3,race(,0.006,Slack_RF,1
3,sex(,0.005,Slack_RF,1
1,Age,0.534,RF_RF,1
1,Length_of_stay,0.134,RF_RF,1
1,Priors_count,0.313,RF_RF,1
1,c_charge_degree_F,0.008,RF_RF,1
1,c_charge_degree_M,0.011,RF_RF,1
2,Age,0.198,RF_RF,1
2,Length_of_stay,0.221,RF_RF,1
2,Priors_count,0.444,RF_RF,1
2,Unrelated_column_one,0.006,RF_RF,1
2,c_charge_degree_F,0.024,RF_RF,1
2,c_charge_degree_M,0.107,RF_RF,1
3,Age,0.143,RF_RF,1
3,Length_of_stay,0.324,RF_RF,1
3,Priors_count,0.148,RF_RF,1
3,Unrelated_column_one,0.053,RF_RF,1
3,c_charge_degree_F,0.085,RF_RF,1
3,c_charge_degree_M,0.234,RF_RF,1
3,race(,0.008,RF_RF,1
3,sex(,0.004,RF_RF,1
1,Age,0.27,LSR_RF,1
1,Length_of_stay,0.009,LSR_RF,1
1,Priors_count,0.694,LSR_RF,1
1,c_charge_degree_F,0.026,LSR_RF,1
1,c_charge_degree_M,0.002,LSR_RF,1
2,Age,0.572,LSR_RF,1
2,Length_of_stay,0.141,LSR_RF,1
2,Priors_count,0.183,LSR_RF,1
2,c_charge_degree_F,0.095,LSR_RF,1
2,c_charge_degree_M,0.008,LSR_RF,1
2,sex(,0.001,LSR_RF,1
3,Age,0.124,LSR_RF,1
3,Length_of_stay,0.264,LSR_RF,1
3,Priors_count,0.065,LSR_RF,1
3,c_charge_degree_F,0.445,LSR_RF,1
3,c_charge_degree_M,0.093,LSR_RF,1
3,race(,0.005,LSR_RF,1
3,sex(,0.004,LSR_RF,1
1,Age,0.143,SVC_RF,1
1,Length_of_stay,0.016,SVC_RF,1
1,Priors_count,0.82,SVC_RF,1
1,c_charge_degree_M,0.02,SVC_RF,1
2,Age,0.665,SVC_RF,1
2,Length_of_stay,0.146,SVC_RF,1
2,Priors_count,0.091,SVC_RF,1
2,c_charge_degree_F,0.009,SVC_RF,1
2,c_charge_degree_M,0.087,SVC_RF,1
2,sex(,0.002,SVC_RF,1
3,Age,0.143,SVC_RF,1
3,Length_of_stay,0.377,SVC_RF,1
3,Priors_count,0.031,SVC_RF,1
3,c_charge_degree_F,0.059,SVC_RF,1
3,c_charge_degree_M,0.385,SVC_RF,1
3,race(,0.003,SVC_RF,1
3,sex(,0.002,SVC_RF,1
1,Length_of_stay,0.009,Slack_RF,1
1,c_charge_degree_M,0.004,Slack_RF,1
1,race(,0.987,Slack_RF,1
2,Age,0.129,Slack_RF,1
2,Length_of_stay,0.185,Slack_RF,1
2,Priors_count,0.111,Slack_RF,1
2,Unrelated_column_one,0.023,Slack_RF,1
2,c_charge_degree_F,0.287,Slack_RF,1
2,c_charge_degree_M,0.232,Slack_RF,1
2,race(,0.013,Slack_RF,1
2,sex(,0.021,Slack_RF,1
3,Age,0.088,Slack_RF,1
3,Length_of_stay,0.104,Slack_RF,1
3,Priors_count,0.142,Slack_RF,1
3,Unrelated_column_one,0.036,Slack_RF,1
3,c_charge_degree_F,0.289,Slack_RF,1
3,c_charge_degree_M,0.301,Slack_RF,1
3,sex(,0.04,Slack_RF,1
1,Age,0.514,RF_RF,1
1,Length_of_stay,0.075,RF_RF,1
1,Priors_count,0.378,RF_RF,1
1,c_charge_degree_F,0.005,RF_RF,1
1,c_charge_degree_M,0.028,RF_RF,1
2,Age,0.2,RF_RF,1
2,Length_of_stay,0.188,RF_RF,1
2,Priors_count,0.522,RF_RF,1
2,Unrelated_column_one,0.001,RF_RF,1
2,c_charge_degree_F,0.032,RF_RF,1
2,c_charge_degree_M,0.056,RF_RF,1
2,race(,0.002,RF_RF,1
3,Age,0.16,RF_RF,1
3,Length_of_stay,0.374,RF_RF,1
3,Priors_count,0.048,RF_RF,1
3,Unrelated_column_one,0.012,RF_RF,1
3,c_charge_degree_F,0.187,RF_RF,1
3,c_charge_degree_M,0.187,RF_RF,1
3,race(,0.032,RF_RF,1
1,Age,0.301,LSR_RF,1
1,Priors_count,0.655,LSR_RF,1
1,c_charge_degree_F,0.022,LSR_RF,1
1,c_charge_degree_M,0.022,LSR_RF,1
2,Age,0.566,LSR_RF,1
2,Length_of_stay,0.048,LSR_RF,1
2,Priors_count,0.281,LSR_RF,1
2,c_charge_degree_F,0.046,LSR_RF,1
2,c_charge_degree_M,0.059,LSR_RF,1
3,Age,0.059,LSR_RF,1
3,Length_of_stay,0.147,LSR_RF,1
3,Priors_count,0.015,LSR_RF,1
3,c_charge_degree_F,0.185,LSR_RF,1
3,c_charge_degree_M,0.594,LSR_RF,1
1,Age,0.201,SVC_RF,1
1,Priors_count,0.737,SVC_RF,1
1,c_charge_degree_F,0.058,SVC_RF,1
1,c_charge_degree_M,0.004,SVC_RF,1
2,Age,0.622,SVC_RF,1
2,Length_of_stay,0.049,SVC_RF,1
2,Priors_count,0.202,SVC_RF,1
2,c_charge_degree_F,0.07,SVC_RF,1
2,c_charge_degree_M,0.057,SVC_RF,1
3,Age,0.087,SVC_RF,1
3,Length_of_stay,0.135,SVC_RF,1
3,Priors_count,0.006,SVC_RF,1
3,c_charge_degree_F,0.457,SVC_RF,1
